OA11CD,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other Religion,No Religion,Not Stated
E00016118,64.15584415584415,1.8181818181818181,0.0,0.0,5.454545454545454,0.7792207792207793,0.2597402597402597,17.92207792207792,9.61038961038961
E00016154,68.51851851851852,0.0,3.7037037037037037,0.0,2.962962962962963,0.0,0.37037037037037035,18.14814814814815,6.296296296296297
E00016155,54.232804232804234,1.5873015873015872,4.761904761904762,0.0,5.026455026455026,0.0,0.26455026455026454,22.22222222222222,11.904761904761905
E00016156,56.81063122923588,0.33222591362126247,2.6578073089700998,0.0,8.970099667774086,0.0,0.33222591362126247,22.259136212624586,8.637873754152825
E00016157,50.0,1.1627906976744187,4.069767441860465,0.0,5.813953488372093,0.29069767441860467,0.29069767441860467,27.03488372093023,11.337209302325581
E00016112,62.7831715210356,1.6181229773462784,1.6181229773462784,0.32362459546925565,4.207119741100324,0.970873786407767,0.0,19.41747572815534,9.06148867313916
E00016119,67.6923076923077,0.0,4.0,0.0,8.0,0.0,0.0,9.23076923076923,11.076923076923077
E00016121,73.1800766283525,0.0,1.9157088122605364,0.0,3.0651340996168583,0.0,0.0,17.24137931034483,4.597701149425287
E00016123,64.97005988023952,0.0,2.9940119760479043,1.1976047904191616,8.383233532934131,0.0,0.0,11.377245508982035,11.077844311377245
E00016158,65.09433962264151,1.2578616352201257,3.459119496855346,0.31446540880503143,8.176100628930818,0.0,0.0,15.723270440251572,5.9748427672955975
E00016113,58.717948717948715,1.5384615384615385,2.8205128205128207,0.2564102564102564,7.6923076923076925,0.0,0.5128205128205128,20.76923076923077,7.6923076923076925
E00016120,60.68111455108359,1.238390092879257,3.0959752321981426,0.0,9.597523219814242,0.0,0.0,18.575851393188856,6.811145510835913
