OA11CD,English is main language,Can speak English well or very well,Cannot speak English well or at all
E00016620,90.53627760252365,7.886435331230285,1.5772870662460567
E00016622,91.53225806451613,7.258064516129032,1.2096774193548385
E00016588,83.33333333333333,15.555555555555555,1.1111111111111112
E00016592,83.52601156069365,14.16184971098266,2.3121387283236996
E00016604,86.15384615384616,12.307692307692307,1.5384615384615383
E00016611,87.76595744680851,9.574468085106384,2.6595744680851063
E00016612,92.53731343283582,5.970149253731344,1.492537313432836
E00016616,72.65306122448979,22.04081632653061,5.3061224489795915
E00016590,87.22222222222223,11.666666666666668,1.1111111111111112
E00016591,94.44444444444444,4.57516339869281,0.9803921568627451
E00016603,94.08033826638477,5.496828752642706,0.42283298097251587
E00016606,90.02695417789758,8.89487870619946,1.0781671159029649
E00016610,85.95890410958904,11.643835616438356,2.397260273972603
E00016653,88.47583643122677,9.66542750929368,1.858736059479554
E00016655,70.7641196013289,23.25581395348837,5.980066445182724
E00016656,77.35849056603773,18.553459119496857,4.088050314465409
E00016662,89.453125,9.765625,0.78125
E00016664,82.93413173652695,15.868263473053892,1.1976047904191616
E00016631,80.84415584415585,15.584415584415584,3.571428571428571
E00016658,73.45971563981043,21.32701421800948,5.213270142180095
E00016659,87.16814159292035,8.849557522123895,3.9823008849557526
E00016660,87.38461538461539,11.384615384615385,1.2307692307692308
E00016663,78.79656160458453,18.33810888252149,2.865329512893983
E00016632,85.85526315789474,12.828947368421051,1.3157894736842106
E00016666,84.11552346570397,13.71841155234657,2.166064981949458
E00016667,85.785536159601,9.476309226932669,4.738154613466334
E00016669,76.33587786259542,20.229007633587784,3.4351145038167936
E00016673,87.89625360230548,8.93371757925072,3.170028818443804
E00016668,88.20960698689956,9.606986899563319,2.183406113537118
E00016670,87.64478764478764,10.81081081081081,1.5444015444015444
E00016671,87.01298701298701,11.03896103896104,1.948051948051948
E00016672,78.23529411764706,17.352941176470587,4.411764705882353
E00173708,72.72727272727273,25.874125874125873,1.3986013986013985
E00173710,84.66898954703832,13.588850174216027,1.7421602787456447
E00016661,89.43661971830986,8.450704225352112,2.112676056338028
E00173936,83.60655737704919,14.344262295081968,2.0491803278688523
E00173937,78.97435897435898,20.0,1.0256410256410255
E00173938,78.67132867132867,17.832167832167833,3.4965034965034962
E00174035,79.29292929292929,20.2020202020202,0.5050505050505051
E00016796,86.98060941828255,10.526315789473685,2.4930747922437675
E00016799,79.78142076502732,17.486338797814206,2.73224043715847
E00016804,75.36585365853658,19.75609756097561,4.878048780487805
E00016805,78.85714285714286,15.142857142857142,6.0
E00016806,82.8125,16.40625,0.78125
E00016781,88.53754940711462,9.881422924901186,1.5810276679841897
E00016793,85.44061302681992,12.643678160919539,1.9157088122605364
E00016794,83.41013824884793,12.903225806451612,3.686635944700461
E00016801,84.75336322869956,10.762331838565023,4.4843049327354265
E00016803,81.25,15.833333333333332,2.9166666666666665
E00016808,80.88888888888889,15.555555555555555,3.5555555555555554
E00016813,81.22866894197952,17.406143344709896,1.3651877133105803
