OA11CD,Main language is English,Main language is not English: Can speak English very well,Main language is not English: Can speak English well,Main language is not English: Cannot speak English well,Main language is not English: Cannot speak English
E00016752,88.4272997032641,5.341246290801187,3.264094955489614,2.9673590504451037,0.0
E00016753,92.88537549407114,4.743083003952569,1.976284584980237,0.3952569169960474,0.0
E00016758,92.8082191780822,1.36986301369863,5.47945205479452,0.3424657534246575,0.0
E00016763,92.76315789473684,3.6184210526315788,2.960526315789474,0.0,0.6578947368421053
E00016738,82.52427184466019,8.009708737864077,8.495145631067961,0.970873786407767,0.0
E00016739,94.13793103448276,2.7586206896551726,2.0689655172413794,1.0344827586206897,0.0
E00016740,80.4733727810651,6.21301775147929,11.242603550295858,2.0710059171597632,0.0
E00016749,89.03654485049834,5.980066445182724,2.990033222591362,1.6611295681063123,0.33222591362126247
E00016755,79.74683544303798,6.582278481012659,8.860759493670885,4.556962025316456,0.25316455696202533
E00016745,85.22427440633246,8.70712401055409,3.6939313984168867,2.37467018469657,0.0
E00016746,92.16867469879519,4.216867469879518,2.108433734939759,1.5060240963855422,0.0
E00016751,87.67123287671232,7.191780821917808,4.794520547945205,0.3424657534246575,0.0
E00016754,86.47686832740213,8.185053380782918,3.5587188612099645,1.7793594306049823,0.0
E00016757,91.25,3.75,4.166666666666667,0.8333333333333334,0.0
E00016732,81.51515151515152,10.0,5.757575757575758,2.727272727272727,0.0
E00016735,84.91124260355029,7.6923076923076925,5.621301775147929,1.183431952662722,0.591715976331361
E00016741,91.08527131782945,5.038759689922481,1.937984496124031,1.550387596899225,0.3875968992248062
E00016742,87.41496598639456,5.442176870748299,5.782312925170068,1.3605442176870748,0.0
E00016733,89.8360655737705,6.885245901639344,1.639344262295082,1.639344262295082,0.0
E00016734,89.53488372093024,6.976744186046512,1.937984496124031,1.1627906976744187,0.3875968992248062
E00016743,89.28571428571429,7.142857142857143,2.142857142857143,1.4285714285714286,0.0
E00016744,89.28571428571429,5.654761904761905,3.869047619047619,1.1904761904761905,0.0
E00016747,89.9581589958159,2.510460251046025,5.857740585774058,1.6736401673640167,0.0
E00016261,82.68156424581005,7.82122905027933,6.983240223463687,2.2346368715083798,0.27932960893854747
E00016282,87.57396449704142,5.325443786982248,5.621301775147929,0.8875739644970414,0.591715976331361
E00016288,81.5347721822542,3.8369304556354917,9.112709832134293,5.5155875299760195,0.0
E00016289,84.52380952380952,7.738095238095238,5.357142857142857,2.380952380952381,0.0
E00016294,88.65671641791045,4.776119402985074,4.776119402985074,1.1940298507462686,0.5970149253731343
E00016260,90.64327485380117,5.847953216374269,2.3391812865497075,1.1695906432748537,0.0
E00016262,85.7707509881423,6.324110671936759,6.719367588932807,1.1857707509881423,0.0
E00016266,86.85714285714286,8.0,3.142857142857143,2.0,0.0
