LSOA11CD,Total,English,Welsh/Cymraeg (in England only),Other UK language: Total,Other UK language: Gaelic (Irish),Other UK language: Gaelic (Scottish),Other UK language: Manx Gaelic,Other UK language: Gaelic (Not otherwise specified),Other UK language: Cornish,Other UK language: Scots,Other UK language: Gypsy/Traveller languages,French,Portuguese,Spanish,Other European Language (EU): Total,Other European Language (EU): Italian,Other European Language (EU): German,Other European Language (EU): Polish,Other European Language (EU): Slovak,Other European Language (EU): Czech,Other European Language (EU): Romanian,Other European Language (EU): Lithuanian,Other European Language (EU): Latvian,Other European Language (EU): Hungarian,Other European Language (EU): Bulgarian,Other European Language (EU): Greek,Other European Language (EU): Dutch,Other European Language (EU): Swedish,Other European Language (EU): Danish,Other European Language (EU): Finnish,Other European Language (EU): Estonian,Other European Language (EU): Slovenian,Other European Language (EU): Maltese,Other European Language (EU): Any other European Language (EU),Other European Language (non EU): Total,Other European Language (non EU): Albanian,Other European Language (non EU): Serbian/Croatian/Bosnian,Other European Language (non EU): Ukrainian,Other European Language (non EU): Any other Eastern European Language (non EU),Other European Language (non EU): Northern European Language (non EU),Other European Language (non-national): Total,Other European Language (non-national): Romani language (any),Other European Language (non-national): Yiddish,Russian,Turkish,Arabic,West/Central Asian Language: Total,West/Central Asian Language: Hebrew,West/Central Asian Language: Kurdish,West/Central Asian Language: Persian/Farsi,West/Central Asian Language: Pashto,West/Central Asian Language: West/Central Asian Language (all other),South Asian Language: Total,South Asian Language: Urdu,South Asian Language: Hindi,South Asian Language: Panjabi,South Asian Language: Pakistani Pahari (with Mirpuri and Potwari),South Asian Language: Bengali (with Sylheti and Chatgaya),South Asian Language: Gujarati,South Asian Language: Marathi,South Asian Language: Telugu,South Asian Language: Tamil,South Asian Language: Malayalam,South Asian Language: Sinhala,South Asian Language: Nepalese,South Asian Language: South Asian Language (all other),East Asian Language: Total,East Asian Language: Mandarin Chinese,East Asian Language: Cantonese Chinese,East Asian Language: All other Chinese,East Asian Language: Japanese,East Asian Language: Korean,East Asian Language: Vietnamese,East Asian Language: Thai,East Asian Language: Malay,East Asian Language: Tagalog/Filipino,East Asian Language: East Asian Language (all other),Oceanic/Australian language (any),North/South American language (any),Caribbean Creole: Total,Caribbean Creole: Caribbean Creole (English-based),Caribbean Creole: Caribbean Creole (all other),African Language: Total,African Language: Amharic,African Language: Tigrinya,African Language: Somali,African Language: Krio,African Language: Akan,African Language: Yoruba,African Language: Igbo,African Language: Swahili/Kiswahili,African Language: Luganda,African Language: Lingala,African Language: Shona,African Language: Afrikaans,African Language: Any other Nigerian language,African Language: West African language (all other),African Language: African language (all other),Other Languages: Total,Other Languages: All other languages,Sign Language: Total,Sign Language: British sign language,Sign Language: Sign Language (all other),Sign Language: Any Sign Communication System
E01003244,1512,1142,0,0,0,0,0,0,0,0,0,56,26,27,59,9,3,24,1,6,0,10,0,1,2,0,1,1,0,0,1,0,0,0,17,15,0,2,0,0,0,0,0,1,4,9,7,0,0,7,0,0,35,4,5,0,0,5,0,0,0,14,7,0,0,0,69,0,3,27,0,0,37,0,2,0,0,0,0,0,0,0,59,0,0,12,1,11,10,7,2,0,2,5,0,1,4,4,1,1,0,0,0,0
E01003245,1476,1161,0,0,0,0,0,0,0,0,0,25,13,23,45,16,0,11,3,0,1,6,1,3,0,2,2,0,0,0,0,0,0,0,17,15,0,2,0,0,0,0,0,7,7,11,20,0,10,9,1,0,19,6,0,2,0,2,1,0,0,6,0,0,0,2,88,6,9,31,6,0,33,1,0,0,2,0,0,0,0,0,37,1,1,13,0,8,5,2,0,1,0,1,2,0,3,0,3,3,0,0,0,0
E01003246,1388,1069,0,0,0,0,0,0,0,0,0,28,10,12,54,7,2,21,3,0,2,6,1,2,0,3,2,3,0,1,1,0,0,0,10,9,0,0,0,1,0,0,0,9,19,2,21,1,8,0,12,0,28,4,0,0,0,4,5,1,0,5,0,6,3,0,82,1,19,40,0,0,21,1,0,0,0,0,0,0,0,0,41,1,2,10,0,3,8,2,5,0,0,0,3,2,3,2,2,2,1,1,0,0
E01003247,1634,1071,0,0,0,0,0,0,0,0,0,50,58,39,172,51,8,43,7,0,9,10,3,12,16,5,2,4,1,1,0,0,0,0,9,6,0,0,0,3,0,0,0,28,14,11,19,0,2,1,12,4,46,1,2,0,0,26,7,2,2,3,0,1,0,2,93,4,20,30,1,13,16,8,0,1,0,0,0,0,0,0,22,0,0,4,0,1,4,0,2,2,0,0,8,0,1,0,2,2,0,0,0,0
E01003248,1536,1114,1,0,0,0,0,0,0,0,0,26,22,13,99,12,7,41,6,0,6,12,4,6,2,2,0,0,0,0,1,0,0,0,13,7,3,1,0,2,0,0,0,7,9,10,26,0,0,20,1,5,29,2,4,0,0,5,4,0,0,12,0,2,0,0,92,5,11,23,4,5,32,2,0,10,0,0,0,0,0,0,68,0,2,12,1,10,19,5,1,1,1,0,6,6,4,0,5,5,2,2,0,0
E01003249,1856,1407,0,0,0,0,0,0,0,0,0,36,24,35,98,14,12,27,0,7,4,10,0,1,2,9,1,5,2,2,0,0,0,2,13,8,3,2,0,0,0,0,0,20,21,6,15,0,7,7,0,1,17,1,4,0,0,6,0,0,0,4,0,0,1,1,105,5,8,47,2,11,23,3,2,4,0,0,0,0,0,0,57,0,3,16,3,12,3,5,4,0,1,1,4,2,3,0,2,2,0,0,0,0
E01003250,1688,1260,0,0,0,0,0,0,0,0,0,55,24,28,101,20,11,33,0,0,6,15,2,0,1,7,1,0,0,0,4,0,0,1,12,11,0,0,0,1,1,1,0,12,2,5,2,1,0,1,0,0,18,1,2,0,0,1,3,0,0,11,0,0,0,0,72,8,13,28,2,4,12,3,1,1,0,0,0,1,1,0,91,2,1,25,1,8,24,1,1,3,0,3,7,6,4,5,4,4,0,0,0,0
E01003251,1888,1370,0,0,0,0,0,0,0,0,0,50,23,27,70,11,2,14,2,0,7,15,3,4,1,7,3,1,0,0,0,0,0,0,18,14,3,0,0,1,0,0,0,14,9,60,18,0,10,8,0,0,26,4,1,0,0,7,1,0,0,11,0,0,1,1,118,5,14,37,1,1,52,2,0,0,6,0,0,0,0,0,81,2,2,31,6,15,5,2,1,0,3,4,2,2,3,3,4,4,0,0,0,0
E01003252,1471,1077,0,0,0,0,0,0,0,0,0,27,14,16,23,8,4,0,0,0,0,7,0,0,0,0,3,1,0,0,0,0,0,0,20,17,3,0,0,0,0,0,0,4,7,12,20,0,2,11,7,0,30,3,0,2,0,7,1,0,0,17,0,0,0,0,141,7,23,55,2,0,49,0,1,3,1,0,0,0,0,0,73,1,1,20,0,12,21,6,2,1,1,0,0,1,6,1,7,7,0,0,0,0
E01003253,1380,1074,0,0,0,0,0,0,0,0,0,37,13,13,41,8,3,12,4,0,0,4,5,2,0,2,0,1,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,7,13,3,8,1,2,1,3,1,32,3,0,2,0,0,2,0,1,15,0,1,8,0,77,12,5,40,1,0,18,1,0,0,0,0,0,0,0,0,51,2,1,19,6,5,9,2,1,1,0,0,0,2,1,2,1,1,4,4,0,0
E01003254,1381,1261,0,0,0,0,0,0,0,0,0,16,1,6,43,7,10,11,3,0,1,0,0,0,1,3,3,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,6,3,4,6,1,0,4,1,0,9,3,0,0,0,3,2,0,0,1,0,0,0,0,12,3,3,3,0,0,2,0,0,1,0,0,0,0,0,0,12,0,0,2,0,2,0,0,0,3,0,2,0,0,1,2,0,0,1,1,0,0
E01003255,1805,1538,0,0,0,0,0,0,0,0,0,21,9,16,112,9,10,24,6,7,7,14,1,18,3,2,2,4,3,1,1,0,0,0,8,7,1,0,0,0,0,0,0,6,12,7,6,0,5,0,0,1,15,6,0,2,0,3,0,0,0,1,0,2,1,0,36,2,4,4,16,2,0,3,0,5,0,0,0,0,0,0,15,0,0,2,3,1,3,0,0,1,0,3,2,0,0,0,1,1,3,2,1,0
E01003256,1948,1508,0,0,0,0,0,0,0,0,0,34,29,14,230,16,9,88,4,0,9,5,2,3,71,7,9,2,1,0,0,0,0,4,9,7,1,0,0,1,0,0,0,9,4,13,9,0,5,2,0,2,24,8,2,1,0,8,2,0,0,3,0,0,0,0,36,2,12,5,12,0,3,0,0,2,0,0,0,0,0,0,27,2,2,8,0,0,3,3,2,2,1,1,1,0,0,2,1,1,1,1,0,0
E01003257,1602,1403,0,0,0,0,0,0,0,0,0,23,6,0,85,9,8,27,3,0,4,8,0,3,11,4,6,0,1,1,0,0,0,0,7,5,0,1,0,1,0,0,0,2,10,5,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,7,0,0,0,0,21,6,1,8,0,0,4,2,0,0,0,0,0,0,0,0,31,2,2,8,0,2,1,1,3,2,1,1,2,4,0,2,0,0,0,0,0,0
E01003258,1408,1169,0,0,0,0,0,0,0,0,0,26,12,6,39,6,1,10,1,2,0,3,3,0,8,2,3,0,0,0,0,0,0,0,22,20,1,1,0,0,0,0,0,3,12,1,15,0,0,11,4,0,22,5,0,2,0,1,2,0,1,10,0,0,0,1,25,0,7,9,1,0,2,0,0,5,1,0,0,0,0,0,54,3,0,12,1,5,11,3,1,0,2,2,2,4,6,2,0,0,2,2,0,0
E01003259,1514,1305,1,0,0,0,0,0,0,0,0,31,6,15,80,11,7,22,2,3,5,7,0,1,4,13,0,1,1,0,0,0,1,2,12,11,1,0,0,0,0,0,0,3,6,1,10,0,2,7,0,1,5,0,0,2,0,0,0,0,0,2,0,1,0,0,22,1,2,5,4,2,2,0,0,6,0,0,0,0,0,0,17,0,0,2,0,2,2,0,1,0,0,6,3,0,0,1,0,0,0,0,0,0
E01003260,1702,1420,1,0,0,0,0,0,0,0,0,33,11,28,46,9,0,18,0,1,1,0,0,1,5,5,2,0,2,1,0,0,1,0,14,13,0,0,0,1,0,0,0,2,14,10,4,0,1,2,0,1,68,4,0,5,0,3,11,2,0,42,1,0,0,0,19,3,2,3,1,2,1,3,3,1,0,0,0,0,0,0,31,0,0,0,0,18,7,0,0,0,0,4,0,0,0,2,0,0,1,1,0,0
E01003261,1426,1302,0,0,0,0,0,0,0,0,0,15,4,9,30,5,4,11,0,2,0,1,0,0,0,3,1,1,0,2,0,0,0,0,6,2,0,1,0,3,0,0,0,0,2,4,3,0,0,1,2,0,14,0,0,0,0,2,3,0,0,9,0,0,0,0,16,0,6,5,2,0,3,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,1,4,0,0,5,0,0,0,2,4,0,0,4,4,0,0
E01003262,1283,1092,0,0,0,0,0,0,0,0,0,11,14,10,68,10,6,22,5,1,2,0,0,11,3,4,1,2,0,1,0,0,0,0,6,3,2,0,0,1,0,0,0,2,15,5,11,0,0,2,4,5,13,1,1,0,0,0,0,0,0,11,0,0,0,0,21,3,6,1,7,0,0,0,3,1,0,0,0,0,0,0,14,0,0,0,3,5,1,0,0,0,0,2,2,0,1,0,1,1,0,0,0,0
E01003263,1585,1369,0,0,0,0,0,0,0,0,0,17,15,10,64,5,4,13,0,1,7,17,0,0,7,3,2,1,1,1,0,0,1,1,8,7,0,0,0,1,0,0,0,1,22,9,5,0,0,5,0,0,34,6,2,0,0,2,0,0,0,22,0,0,0,2,12,3,6,0,0,0,1,1,0,1,0,0,0,0,0,0,19,0,1,1,2,1,5,2,0,0,2,1,1,2,0,1,0,0,0,0,0,0
E01003264,1537,1346,0,0,0,0,0,0,0,0,0,13,4,6,49,1,3,17,0,1,0,13,5,0,2,5,0,1,1,0,0,0,0,0,13,10,2,1,0,0,0,0,0,5,30,7,2,0,0,1,1,0,33,5,8,1,0,6,2,0,1,9,0,0,0,1,14,1,5,0,0,2,3,3,0,0,0,0,0,0,0,0,12,0,0,0,0,0,8,0,1,0,0,3,0,0,0,0,2,2,1,1,0,0
E01003265,1432,1155,0,0,0,0,0,0,0,0,0,21,16,14,104,8,2,38,3,1,4,24,1,6,9,1,4,0,0,1,2,0,0,0,14,13,1,0,0,0,0,0,0,10,7,5,1,0,0,1,0,0,28,1,2,2,0,1,4,0,0,18,0,0,0,0,11,3,1,1,1,0,0,2,0,3,0,0,0,0,0,0,46,0,0,8,0,5,8,7,0,0,0,3,1,6,3,5,0,0,0,0,0,0
E01003266,1651,1467,0,0,0,0,0,0,0,0,0,23,11,7,30,2,3,4,1,0,1,13,0,0,5,1,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,4,12,5,13,0,7,5,1,0,30,0,0,2,0,1,4,0,0,19,4,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,32,0,0,5,0,2,4,5,0,1,0,12,1,1,0,1,3,3,1,1,0,0
E01003267,1501,1306,1,0,0,0,0,0,0,0,0,6,3,13,64,0,1,21,1,0,1,29,0,1,9,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,14,2,5,0,1,0,0,4,49,0,0,0,0,5,0,0,0,40,0,0,4,0,8,0,0,4,0,0,2,0,0,2,0,0,0,0,0,0,24,0,0,0,0,6,4,4,6,0,0,0,1,0,0,3,0,0,2,1,1,0
E01003268,1592,1344,0,0,0,0,0,0,0,0,0,17,0,13,67,10,3,19,3,2,7,10,1,4,2,2,0,2,1,0,0,1,0,0,5,3,1,0,0,1,0,0,0,1,19,8,21,0,0,10,8,3,64,5,0,3,0,11,1,3,0,38,0,0,3,0,28,0,0,13,1,1,6,4,0,1,2,0,0,0,0,0,5,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
E01003269,1469,1264,4,0,0,0,0,0,0,0,0,26,7,2,43,0,1,14,1,0,6,17,0,0,0,2,1,0,0,0,0,0,1,0,7,5,0,0,0,2,0,0,0,6,16,1,10,0,0,10,0,0,49,1,0,2,0,2,0,0,4,32,4,2,2,0,14,2,2,5,1,0,4,0,0,0,0,0,0,0,0,0,18,1,0,1,0,10,2,0,0,0,1,1,1,0,0,1,0,0,2,2,0,0
E01003270,1575,1367,0,0,0,0,0,0,0,0,0,8,11,8,63,7,2,29,2,1,4,11,3,1,0,1,1,1,0,0,0,0,0,0,9,4,1,0,4,0,0,0,0,0,20,4,11,0,1,9,0,1,40,1,4,7,0,4,6,0,7,9,0,2,0,0,14,0,1,6,2,0,1,2,0,2,0,0,0,0,0,0,20,1,0,1,0,7,2,0,0,1,0,1,2,1,0,4,0,0,0,0,0,0
E01003271,1609,1418,1,0,0,0,0,0,0,0,0,3,20,2,26,1,3,12,0,3,0,3,0,0,2,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,5,22,2,9,0,0,9,0,0,69,5,0,4,0,2,5,2,8,39,0,3,1,0,14,4,3,2,2,0,2,0,1,0,0,0,0,0,0,0,10,0,0,0,0,1,3,3,0,0,0,0,0,0,0,3,2,2,0,0,0,0
E01003272,1848,1527,0,0,0,0,0,0,0,0,0,45,19,14,132,10,16,30,4,1,6,40,0,1,10,3,2,6,0,0,3,0,0,0,4,2,1,0,0,1,0,0,0,7,13,3,9,0,3,2,4,0,29,15,3,0,0,4,1,0,0,1,2,1,0,2,24,0,2,10,1,3,0,2,1,2,3,0,0,0,0,0,19,0,0,5,0,2,2,4,0,0,0,0,4,1,0,1,3,3,0,0,0,0
E01003273,1937,1358,0,2,0,0,0,0,0,2,0,60,14,18,268,13,3,179,0,0,1,7,0,3,55,1,2,1,3,0,0,0,0,0,7,7,0,0,0,0,0,0,0,5,13,16,4,0,0,1,1,2,75,5,0,0,0,3,2,1,0,60,1,1,1,1,28,0,2,20,1,0,3,0,1,0,1,0,0,0,0,0,68,0,0,1,0,1,1,8,2,27,0,1,0,22,2,3,0,0,1,0,0,1
E01003274,1630,1373,0,0,0,0,0,0,0,0,0,19,12,8,63,3,9,13,5,1,7,8,1,2,6,1,5,1,0,0,1,0,0,0,16,15,0,0,0,1,0,0,0,10,12,1,9,0,0,3,5,1,43,0,8,1,0,4,3,0,0,27,0,0,0,0,30,1,0,10,4,0,11,1,3,0,0,0,0,0,0,0,32,3,1,7,0,1,3,0,0,0,0,0,2,13,1,1,0,0,2,1,0,1
E01003275,1642,1330,0,0,0,0,0,0,0,0,0,16,7,14,66,7,5,13,2,0,10,15,0,1,4,5,2,2,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,8,22,5,19,0,5,10,3,1,92,11,7,2,0,0,0,0,0,67,0,4,1,0,27,2,6,8,4,1,4,0,0,2,0,0,0,2,2,0,24,0,2,1,0,2,0,4,0,0,7,0,2,0,5,1,1,1,4,4,0,0
E01003276,1762,1482,0,0,0,0,0,0,0,0,0,16,12,16,81,11,5,17,0,0,5,4,4,2,25,0,2,6,0,0,0,0,0,0,12,11,0,1,0,0,0,0,0,7,25,5,5,0,1,0,4,0,63,27,0,6,0,8,2,0,0,17,0,3,0,0,18,0,0,2,0,1,2,1,3,0,9,0,0,0,0,0,18,0,0,6,1,1,2,1,1,0,0,0,1,0,4,1,1,1,1,0,1,0
E01003277,1644,1458,0,0,0,0,0,0,0,0,0,23,10,17,68,13,9,23,6,0,3,1,0,2,1,2,1,6,1,0,0,0,0,0,4,1,2,0,1,0,0,0,0,4,9,4,7,2,1,3,1,0,12,2,0,0,0,0,10,0,0,0,0,0,0,0,11,1,0,5,2,0,1,1,0,1,0,0,0,0,0,0,16,1,0,2,0,3,1,2,0,0,0,1,2,0,4,0,1,1,0,0,0,0
E01003278,1831,1438,0,0,0,0,0,0,0,0,0,25,8,49,109,9,6,44,1,1,10,12,0,8,7,4,1,3,1,1,1,0,0,0,5,3,0,1,0,1,0,0,0,8,18,8,2,1,1,0,0,0,59,3,0,0,0,3,4,0,2,29,0,8,10,0,61,1,2,43,3,0,8,3,1,0,0,0,0,0,0,0,37,0,0,8,1,2,3,2,0,2,0,2,0,15,2,0,4,4,0,0,0,0
E01003279,1538,1324,1,1,0,0,0,0,0,1,0,22,4,17,71,14,4,34,0,1,1,7,2,3,2,2,0,0,0,1,0,0,0,0,13,10,0,2,0,1,0,0,0,3,12,11,7,4,2,1,0,0,26,1,0,0,0,2,9,0,2,12,0,0,0,0,13,0,0,5,0,2,4,0,0,2,0,0,0,0,0,0,13,0,0,1,0,1,1,3,0,0,0,0,1,4,0,2,0,0,0,0,0,0
E01003280,1534,1286,0,0,0,0,0,0,0,0,0,7,2,10,61,1,4,16,6,0,1,3,1,2,6,6,3,4,8,0,0,0,0,0,5,4,0,1,0,0,0,0,0,7,6,5,9,0,0,7,2,0,71,5,1,2,0,9,2,0,1,47,1,2,1,0,35,4,10,8,0,0,11,2,0,0,0,0,0,0,0,0,27,1,2,9,0,1,9,0,0,2,2,0,0,0,0,1,2,2,1,1,0,0
E01003281,1471,1350,0,0,0,0,0,0,0,0,0,3,4,9,24,2,3,13,0,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,3,11,4,2,0,0,1,1,0,30,3,0,2,0,3,1,0,0,19,0,0,2,0,18,2,2,4,0,0,5,1,0,3,1,0,0,0,0,0,7,0,0,0,0,3,2,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1
E01003282,2322,1754,1,0,0,0,0,0,0,0,0,39,19,93,168,16,11,75,1,2,8,33,2,13,1,4,1,1,0,0,0,0,0,0,20,17,2,1,0,0,0,0,0,10,31,14,17,0,4,8,4,1,45,1,2,1,0,5,8,0,0,25,0,3,0,0,68,3,2,34,3,0,12,2,1,10,1,0,0,0,0,0,37,0,0,9,0,3,5,0,0,0,0,0,0,17,0,3,6,6,0,0,0,0
E01003283,1994,1758,1,0,0,0,0,0,0,0,0,25,14,11,88,23,11,14,1,1,1,11,0,5,10,7,3,0,0,0,0,0,1,0,2,1,0,0,0,1,0,0,0,13,16,9,16,0,0,5,0,11,9,0,1,0,0,3,0,0,0,0,0,4,1,0,10,0,2,5,1,0,2,0,0,0,0,0,0,1,1,0,19,1,0,9,0,0,2,0,1,0,0,2,1,1,1,1,1,1,1,0,0,1
E01003284,1663,1458,0,0,0,0,0,0,0,0,0,30,17,7,37,8,5,9,0,0,1,6,0,0,0,0,4,3,0,1,0,0,0,0,7,4,2,0,0,1,0,0,0,4,15,4,2,0,0,0,1,1,34,2,6,1,0,1,6,0,0,17,1,0,0,0,29,3,0,19,4,0,0,3,0,0,0,0,0,0,0,0,16,0,4,1,0,3,2,1,1,0,3,0,1,0,0,0,2,2,1,1,0,0
E01003285,1535,1286,0,0,0,0,0,0,0,0,0,21,14,8,69,16,4,21,1,1,5,8,0,0,4,3,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,7,18,4,4,0,0,2,0,2,69,6,0,13,0,7,8,1,1,22,0,8,3,0,19,1,0,12,5,0,0,1,0,0,0,0,0,0,0,0,15,0,0,1,0,0,5,7,1,0,0,0,0,0,1,0,0,0,1,0,0,1
E01003286,1539,1288,0,0,0,0,0,0,0,0,0,19,14,11,57,8,3,25,0,1,1,7,0,1,0,6,0,0,0,0,1,2,1,1,1,0,1,0,0,0,0,0,0,2,16,4,6,0,0,5,0,1,48,1,0,0,0,16,1,0,0,29,0,0,0,1,31,4,6,8,1,0,9,1,0,2,0,0,0,0,0,0,38,0,0,5,1,6,9,3,1,3,0,0,0,1,7,2,2,2,2,2,0,0
E01003287,1802,1633,1,0,0,0,0,0,0,0,0,15,10,9,61,7,9,20,0,4,1,5,5,3,0,2,2,0,1,0,0,0,1,1,4,2,2,0,0,0,0,0,0,3,4,2,7,0,1,6,0,0,18,0,0,0,0,1,2,0,0,11,0,2,1,1,25,1,2,14,2,2,2,2,0,0,0,0,0,0,0,0,5,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,5,0,0
E01003288,1720,1343,0,0,0,0,0,0,0,0,0,46,12,17,76,13,4,28,1,0,7,1,1,5,4,5,1,1,1,2,1,0,0,1,23,19,0,1,1,2,0,0,0,7,24,8,9,0,4,1,2,2,57,6,4,2,0,9,0,0,3,22,0,1,6,4,77,23,5,38,1,0,3,1,0,6,0,0,0,0,0,0,17,1,1,2,0,5,1,0,1,0,1,1,0,0,3,1,2,2,2,2,0,0
E01003290,1649,1354,0,0,0,0,0,0,0,0,0,33,15,38,79,3,4,41,3,3,13,5,0,1,0,2,1,0,2,1,0,0,0,0,10,6,0,3,0,1,0,0,0,6,9,4,5,0,0,2,0,3,34,4,0,5,0,5,0,0,0,13,0,5,2,0,29,2,3,17,0,3,0,2,0,2,0,0,0,0,0,0,29,0,0,5,0,0,8,2,0,0,4,1,1,3,5,0,4,4,0,0,0,0
E01003291,1420,1150,0,1,0,0,0,0,0,0,1,29,15,5,55,7,5,18,0,0,1,6,3,3,1,4,5,0,2,0,0,0,0,0,18,17,0,1,0,0,0,0,0,3,7,3,6,0,2,4,0,0,33,3,4,2,0,4,2,0,0,18,0,0,0,0,48,7,9,25,1,0,5,0,0,1,0,0,0,0,0,0,44,0,1,16,0,5,7,3,1,0,0,1,2,3,1,4,3,3,0,0,0,0
E01003292,1478,1203,0,1,0,0,0,0,1,0,0,14,20,18,75,6,5,42,3,1,3,6,4,0,0,1,1,0,2,1,0,0,0,0,8,3,2,1,0,2,0,0,0,3,11,5,0,0,0,0,0,0,59,3,1,1,0,5,6,0,0,31,0,6,4,2,32,2,11,12,4,0,2,1,0,0,0,0,0,0,0,0,25,0,0,8,0,1,3,1,0,2,0,2,0,0,3,5,4,4,0,0,0,0
E01003293,1419,1160,0,0,0,0,0,0,0,0,0,24,7,4,73,8,2,29,1,0,7,16,0,1,6,1,1,1,0,0,0,0,0,0,12,9,2,0,0,1,1,1,0,2,7,8,33,0,5,13,14,1,42,0,0,3,0,2,6,0,2,23,1,3,2,0,25,5,1,5,7,0,1,1,0,3,2,0,0,0,0,0,21,1,0,1,0,1,0,5,1,0,1,0,1,4,4,2,0,0,0,0,0,0
E01003295,1591,1343,0,0,0,0,0,0,0,0,0,31,5,5,83,8,12,35,0,1,12,6,4,0,0,2,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,5,11,10,10,0,0,6,4,0,27,2,0,0,0,1,0,0,0,23,0,1,0,0,22,0,2,9,4,2,1,0,1,2,1,0,0,0,0,0,29,0,3,10,0,1,6,6,0,0,1,0,0,0,0,2,5,5,4,1,3,0
E01003296,1947,1405,0,0,0,0,0,0,0,0,0,38,16,22,149,11,10,48,6,3,12,18,3,5,4,11,12,1,0,2,2,0,1,0,25,5,5,13,0,2,0,0,0,23,24,8,11,0,3,2,3,3,116,6,15,3,0,3,1,3,29,37,1,3,1,14,85,8,11,42,3,0,3,12,0,5,1,1,0,0,0,0,21,1,0,6,0,3,3,3,0,0,2,1,1,0,1,0,2,2,1,1,0,0
E01003297,1408,969,0,0,0,0,0,0,0,0,0,40,28,24,153,19,3,40,13,6,8,24,5,15,2,5,1,6,1,2,2,0,0,1,12,6,4,1,0,1,0,0,0,19,2,11,14,0,0,4,7,3,16,3,2,0,0,1,2,0,2,4,0,0,2,0,41,0,9,5,2,1,8,0,1,12,3,0,0,0,0,0,74,0,0,8,0,31,16,1,0,3,3,5,0,3,4,0,5,5,0,0,0,0
E01003298,1207,938,0,0,0,0,0,0,0,0,0,23,14,18,37,5,2,14,1,2,0,3,2,0,3,2,0,0,1,0,2,0,0,0,4,3,0,0,0,1,0,0,0,5,8,4,8,0,3,5,0,0,28,1,3,0,0,10,5,0,0,8,0,0,0,1,75,2,17,20,1,0,29,0,2,2,2,0,0,0,0,0,45,1,3,8,0,6,10,5,1,2,0,0,0,1,0,8,0,0,0,0,0,0
E01003299,1540,1217,0,0,0,0,0,0,0,0,0,25,16,49,67,14,8,19,2,1,5,7,0,3,2,2,0,3,0,0,1,0,0,0,9,2,0,3,0,4,0,0,0,2,2,8,10,0,0,8,2,0,15,7,0,1,0,0,1,0,0,0,1,0,4,1,47,3,8,12,16,1,7,0,0,0,0,0,0,1,0,1,70,0,2,41,2,7,2,5,0,2,0,1,1,2,2,3,0,0,2,1,1,0
E01003300,1289,1003,0,0,0,0,0,0,0,0,0,27,2,14,67,8,1,29,7,1,3,6,0,0,6,2,1,0,1,2,0,0,0,0,7,3,2,2,0,0,0,0,0,2,12,1,7,0,2,5,0,0,17,2,1,0,0,9,2,0,1,1,0,0,0,1,81,5,6,27,0,0,36,0,0,3,4,0,0,0,0,0,48,2,0,23,0,6,6,3,0,2,1,0,1,4,0,0,0,0,1,1,0,0
E01003301,2067,1498,1,4,0,0,0,4,0,0,0,57,48,43,142,15,11,45,4,0,8,17,1,17,4,4,7,3,5,0,0,0,0,1,23,11,6,1,1,4,0,0,0,14,12,9,20,0,8,9,2,1,41,1,3,0,3,15,1,0,0,9,0,0,0,9,116,6,21,45,0,4,27,0,3,6,4,0,0,0,0,0,34,1,0,4,0,3,14,3,0,1,3,0,0,3,2,0,5,5,0,0,0,0
E01003302,1441,1091,0,1,0,0,0,0,0,1,0,24,28,22,66,13,5,20,0,1,6,9,1,1,4,0,1,0,1,3,1,0,0,0,10,8,1,1,0,0,0,0,0,2,10,5,22,1,5,12,3,1,28,6,0,0,0,0,4,0,0,17,0,1,0,0,76,0,24,23,0,0,24,1,1,3,0,0,0,0,0,0,53,0,2,18,4,5,12,2,2,3,0,0,1,2,1,1,3,3,0,0,0,0
E01003303,1470,990,0,1,1,0,0,0,0,0,0,52,29,28,94,14,6,23,2,0,12,8,1,7,2,5,3,7,1,1,0,0,2,0,14,11,0,1,0,2,0,0,0,2,11,6,15,2,5,8,0,0,52,5,1,4,0,16,1,0,1,22,0,0,0,2,120,17,17,43,6,1,26,3,3,1,3,0,0,1,0,1,52,2,0,16,0,8,8,4,0,0,2,0,0,4,7,1,2,2,1,1,0,0
