OA11CD,Rural Urban,All categories: Ethnic group,White,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
E00016176,Total,317,267,228,9,0,30,20,2,0,12,6,24,9,0,0,12,3,4,2,0,2,2,0,2
E00016184,Total,245,187,140,5,0,42,7,3,3,1,0,31,16,1,0,8,6,17,9,6,2,3,0,3
E00016186,Total,310,220,168,10,0,42,13,3,1,6,3,45,27,0,0,6,12,28,15,10,3,4,0,4
E00016188,Total,283,227,183,9,0,35,15,10,2,3,0,16,6,0,0,7,3,21,5,16,0,4,0,4
E00016164,Total,359,224,170,5,0,49,21,16,1,0,4,13,2,0,0,3,8,91,28,52,11,10,1,9
E00016170,Total,323,152,93,13,0,46,37,12,7,6,12,49,13,1,1,22,12,68,31,28,9,17,2,15
E00016175,Total,315,204,163,8,0,33,16,3,4,5,4,21,7,0,0,9,5,74,25,35,14,0,0,0
E00016181,Total,332,187,153,8,0,26,45,28,5,5,7,9,5,1,0,2,1,76,27,22,27,15,5,10
E00016182,Total,335,264,219,7,0,38,29,5,8,11,5,7,3,0,0,3,1,34,14,18,2,1,0,1
E00016162,Total,257,213,190,4,0,19,11,3,0,5,3,16,5,0,0,5,6,11,4,5,2,6,3,3
E00016198,Total,277,167,123,10,0,34,10,1,4,2,3,29,4,2,3,7,13,66,43,16,7,5,2,3
E00016202,Total,304,105,78,3,0,24,28,14,9,0,5,39,2,5,2,14,16,127,60,51,16,5,1,4
E00016205,Total,262,248,212,5,1,30,5,0,2,2,1,4,0,0,0,2,2,3,2,1,0,2,0,2
E00016208,Total,291,186,149,5,0,32,33,11,3,1,18,9,0,0,1,2,6,48,11,16,21,15,2,13
E00016199,Total,307,132,104,6,0,22,25,13,7,1,4,40,7,1,2,11,19,106,57,30,19,4,0,4
E00016200,Total,199,39,31,4,0,4,17,12,0,0,5,27,4,2,0,6,15,109,71,17,21,7,3,4
E00016201,Total,165,54,32,5,0,17,9,6,3,0,0,17,0,0,1,5,11,74,38,24,12,11,0,11
E00016203,Total,300,102,85,6,1,10,22,14,2,5,1,30,2,0,3,18,7,140,75,40,25,6,2,4
E00016207,Total,361,151,125,5,0,21,34,21,6,0,7,34,6,5,3,11,9,132,39,64,29,10,7,3
E00016163,Total,332,223,170,5,0,48,35,14,3,2,16,15,1,0,0,8,6,46,13,13,20,13,2,11
E00016165,Total,275,232,174,5,0,53,11,4,0,1,6,13,3,0,0,9,1,13,1,4,8,6,1,5
E00016168,Total,178,153,127,2,0,24,5,3,1,1,0,6,1,0,0,2,3,11,3,2,6,3,0,3
E00016169,Total,291,234,205,4,0,25,11,2,0,4,5,20,2,0,6,5,7,13,6,5,2,13,1,12
E00016172,Total,249,120,79,4,0,37,23,12,0,0,11,34,10,3,1,7,13,51,12,29,10,21,2,19
E00016177,Total,257,204,175,3,0,26,16,2,1,5,8,14,3,0,0,5,6,18,1,4,13,5,0,5
E00016219,Total,264,173,133,4,0,36,22,9,8,1,4,2,0,0,0,0,2,58,27,21,10,9,1,8
E00016220,Total,276,186,145,7,0,34,24,4,8,11,1,15,6,0,0,1,8,44,11,22,11,7,3,4
E00016221,Total,312,188,149,3,3,33,27,12,7,2,6,20,3,6,0,0,11,76,27,33,16,1,1,0
E00016223,Total,224,157,125,6,1,25,19,9,1,1,8,9,0,0,0,5,4,39,9,18,12,0,0,0
E00016225,Total,264,163,118,2,0,43,20,7,2,7,4,13,1,1,0,8,3,63,32,28,3,5,4,1
E00016255,Total,226,170,123,5,0,42,11,4,2,1,4,15,6,0,0,8,1,26,8,6,12,4,0,4
E00016218,Total,248,171,114,6,0,51,14,4,1,0,9,24,2,3,6,9,4,36,14,17,5,3,3,0
E00016222,Total,362,197,152,5,1,39,32,9,2,3,18,19,4,0,2,8,5,103,46,46,11,11,2,9
E00016224,Total,335,238,184,6,0,48,28,7,3,6,12,23,7,3,0,7,6,46,18,21,7,0,0,0
E00016226,Total,331,208,133,17,1,57,17,4,1,5,7,18,5,0,2,4,7,85,33,41,11,3,2,1
E00016227,Total,372,267,197,10,0,60,17,4,4,3,6,44,6,2,3,18,15,41,13,20,8,3,1,2
E00016228,Total,290,193,147,6,0,40,27,13,4,8,2,11,6,0,0,0,5,54,10,32,12,5,0,5
E00016229,Total,431,278,219,11,0,48,40,15,11,4,10,17,6,0,0,4,7,85,33,36,16,11,2,9
E00016230,Total,352,215,171,10,0,34,30,8,4,3,15,16,5,0,0,1,10,85,21,46,18,6,3,3
E00016231,Total,312,138,108,4,0,26,22,12,3,2,5,20,6,0,8,0,6,124,52,58,14,8,1,7
E00016232,Total,309,155,113,3,0,39,23,11,6,5,1,26,12,0,0,1,13,98,43,36,19,7,5,2
E00016233,Total,368,135,92,11,0,32,37,19,3,0,15,21,4,1,5,0,11,169,73,84,12,6,4,2
E00016212,Total,326,190,155,6,0,29,15,5,0,5,5,18,5,0,0,10,3,95,54,35,6,8,0,8
E00016249,Total,247,116,102,7,0,7,31,14,11,5,1,20,3,0,1,12,4,73,29,30,14,7,4,3
E00016254,Total,324,222,183,11,0,28,20,8,2,3,7,24,1,1,7,10,5,46,19,25,2,12,1,11
E00173952,Total,243,149,114,7,1,27,16,4,2,5,5,18,0,0,0,10,8,54,28,20,6,6,0,6
E00174016,Total,243,135,111,7,0,17,9,3,1,1,4,30,2,0,8,14,6,57,31,19,7,12,2,10
E00174022,Total,214,148,122,4,0,22,10,2,1,3,4,15,2,0,0,8,5,33,13,15,5,8,2,6
E00174008,Total,219,147,107,8,0,32,5,1,0,1,3,53,36,1,0,13,3,10,5,5,0,4,1,3
E00174010,Total,204,111,66,11,0,34,9,2,2,3,2,68,48,1,1,14,4,11,10,1,0,5,1,4
E00174013,Total,227,143,81,10,0,52,12,3,5,2,2,58,36,1,1,10,10,11,11,0,0,3,2,1
E00174015,Total,181,121,69,9,1,42,7,2,0,3,2,39,25,6,1,6,1,7,3,4,0,7,3,4
E00174025,Total,216,134,72,12,0,50,9,0,2,2,5,64,45,0,0,12,7,3,3,0,0,6,1,5
E00174027,Total,158,113,74,4,0,35,4,0,0,1,3,33,16,1,0,12,4,5,5,0,0,3,2,1
E00016178,Total,264,180,143,7,0,30,19,12,1,3,3,9,0,3,0,0,6,56,22,21,13,0,0,0
E00016179,Total,281,174,142,7,0,25,25,16,1,8,0,13,8,0,1,0,4,65,27,25,13,4,0,4
E00016180,Total,261,197,160,11,1,25,12,2,1,6,3,13,4,2,0,5,2,29,12,13,4,10,1,9
E00016187,Total,351,292,262,3,0,27,10,0,2,4,4,13,2,0,1,5,5,35,16,17,2,1,0,1
E00016189,Total,304,274,237,10,0,27,9,1,0,6,2,7,2,0,1,2,2,13,7,5,1,1,0,1
E00016166,Total,185,163,127,10,0,26,9,5,0,2,2,3,0,0,0,0,3,8,4,4,0,2,1,1
E00016167,Total,295,264,238,6,0,20,3,0,0,2,1,13,0,0,0,13,0,1,0,1,0,14,4,10
E00016171,Total,297,240,195,10,0,35,12,3,1,5,3,36,6,0,0,7,23,5,2,2,1,4,1,3
E00016174,Total,248,228,200,2,0,26,7,1,0,4,2,8,2,0,0,3,3,2,0,0,2,3,0,3
E00016204,Total,266,213,176,5,0,32,15,8,2,0,5,21,7,5,0,8,1,14,3,9,2,3,0,3
E00016206,Total,262,211,185,4,0,22,14,4,2,2,6,25,12,2,0,2,9,4,2,2,0,8,1,7
E00016160,Total,299,235,197,5,1,32,10,2,1,1,6,45,14,6,4,15,6,8,4,1,3,1,0,1
E00016183,Total,256,216,164,9,0,43,11,4,0,5,2,21,7,0,1,5,8,2,0,1,1,6,4,2
E00016185,Total,235,214,181,7,0,26,8,2,2,1,3,1,0,0,0,0,1,12,10,2,0,0,0,0
E00016191,Total,246,214,186,6,0,22,10,5,1,1,3,22,4,0,3,6,9,0,0,0,0,0,0,0
E00016195,Total,258,227,178,9,0,40,12,4,2,5,1,9,3,1,3,1,1,9,4,4,1,1,0,1
E00016197,Total,265,214,159,6,0,49,11,3,1,4,3,20,5,0,0,2,13,18,12,4,2,2,1,1
E00016161,Total,334,270,199,15,0,56,8,3,2,1,2,17,7,0,0,2,8,32,13,15,4,7,0,7
E00016190,Total,241,154,112,13,0,29,13,10,0,1,2,17,2,1,0,5,9,51,19,30,2,6,0,6
E00016192,Total,309,183,134,7,0,42,23,6,4,2,11,27,1,0,0,9,17,72,38,21,13,4,2,2
E00016193,Total,247,147,91,7,0,49,10,2,0,1,7,50,19,0,2,22,7,37,25,5,7,3,2,1
E00016194,Total,260,132,81,2,0,49,28,23,4,0,1,20,7,0,0,7,6,74,33,33,8,6,0,6
E00016196,Total,378,233,190,8,0,35,17,5,1,1,10,29,4,0,4,6,15,87,55,25,7,12,9,3
E00016905,Total,296,119,88,5,0,26,21,10,1,3,7,19,2,2,2,12,1,130,34,70,26,7,1,6
E00016907,Total,314,146,123,7,0,16,33,8,4,8,13,31,0,4,6,7,14,95,25,67,3,9,4,5
E00016908,Total,226,59,48,5,0,6,22,5,4,7,6,16,3,0,0,6,7,125,46,69,10,4,2,2
E00016910,Total,318,60,35,0,0,25,22,7,9,2,4,16,5,0,0,5,6,211,105,67,39,9,2,7
E00016912,Total,224,51,36,0,0,15,25,16,5,1,3,13,0,0,0,2,11,130,64,52,14,5,0,5
E00016909,Total,405,97,73,0,0,24,40,6,19,10,5,28,0,4,0,8,16,232,126,65,41,8,0,8
E00016911,Total,443,156,100,3,0,53,37,20,11,0,6,35,4,5,0,6,20,209,100,86,23,6,1,5
E00016913,Total,451,124,89,3,0,32,45,21,17,0,7,29,0,0,0,10,19,239,103,95,41,14,0,14
E00016914,Total,337,101,53,5,0,43,51,10,26,9,6,16,0,0,4,3,9,166,85,43,38,3,0,3
E00016896,Total,300,183,143,2,0,38,23,13,0,6,4,23,4,0,0,15,4,49,15,30,4,22,1,21
E00016898,Total,277,154,118,5,0,31,24,8,5,0,11,32,0,0,1,21,10,63,22,30,11,4,2,2
E00016900,Total,331,200,158,12,0,30,26,9,7,5,5,17,1,3,0,7,6,80,31,28,21,8,0,8
E00016901,Total,207,91,59,0,0,32,14,3,2,1,8,24,3,8,0,6,7,65,38,8,19,13,1,12
E00016904,Total,261,109,68,1,0,40,38,9,9,5,15,12,0,0,0,9,3,90,47,31,12,12,1,11
E00016906,Total,265,149,97,6,0,46,15,5,3,2,5,12,4,2,0,1,5,81,44,29,8,8,1,7
