OA11CD,United Kingdom,Europe,Africa,Middle East and Asia,The Americas and the Caribbean,Antarctica and Oceania,Other
E00016933,73.10924369747899,7.142857142857143,9.453781512605042,3.991596638655462,5.882352941176471,0.21008403361344538,0.21008403361344108
E00016953,78.09917355371901,8.677685950413224,7.43801652892562,2.0661157024793386,3.3057851239669422,0.0,0.41322314049587305
E00016957,72.20338983050847,7.796610169491525,11.525423728813559,2.3728813559322033,6.101694915254237,0.0,-1.4210854715202004e-14
E00016960,72.06477732793522,10.526315789473685,6.0728744939271255,3.6437246963562755,6.882591093117409,0.8097165991902834,0.0
E00016966,73.89162561576354,7.8817733990147785,9.35960591133005,2.955665024630542,5.911330049261084,0.0,0.0
E00016940,59.16955017301038,6.57439446366782,15.570934256055363,11.07266435986159,7.26643598615917,0.3460207612456747,1.4210854715202004e-14
E00016941,70.32085561497327,3.4759358288770055,11.229946524064172,4.81283422459893,9.090909090909092,1.0695187165775402,0.0
E00016942,67.52767527675277,4.428044280442805,13.653136531365314,8.487084870848708,5.535055350553505,0.36900369003690037,-1.4210854715202004e-14
E00016943,67.98245614035088,10.964912280701755,8.333333333333334,3.9473684210526314,8.771929824561404,0.0,0.0
E00016944,67.93650793650794,14.603174603174605,3.8095238095238093,7.301587301587301,6.349206349206349,0.0,-1.4210854715202004e-14
E00016945,73.23232323232324,8.080808080808081,11.616161616161616,1.5151515151515151,5.555555555555555,0.0,-1.4210854715202004e-14
E00016728,61.26482213438735,13.043478260869566,12.648221343873518,4.743083003952569,7.509881422924901,0.7905138339920948,0.0
E00016764,65.0,12.857142857142856,11.428571428571429,2.142857142857143,6.785714285714286,1.7857142857142858,-1.4210854715202004e-14
E00016766,62.77173913043478,7.880434782608695,18.206521739130434,4.619565217391305,6.25,0.2717391304347826,0.0
E00016768,65.79925650557621,13.382899628252787,7.434944237918216,6.319702602230484,6.691449814126394,0.0,0.371747211895908
E00016772,67.3529411764706,8.529411764705882,5.588235294117647,6.764705882352941,11.176470588235293,0.5882352941176471,-1.4210854715202004e-14
E00016737,75.2895752895753,10.424710424710426,6.563706563706564,2.3166023166023164,3.861003861003861,1.5444015444015444,0.0
E00016748,74.60317460317461,12.698412698412698,5.9523809523809526,3.5714285714285716,2.380952380952381,0.7936507936507936,0.0
E00016756,59.78260869565217,9.420289855072463,17.753623188405797,3.6231884057971016,9.057971014492754,0.36231884057971014,1.4210854715202004e-14
