Postcode7,Postcode8,PostcodeNatural,IntroductionDate,TerminationDate,Usertype,OA11CD,LSOA11CD,MSOA11CD,LAD19CD,WD22CD_proposed
BR1 5EN,BR1  5EN,BR1 5EN,198001,,0,E00016387,E01032564,E02006783,E09000023,E05013720
BR1 5EP,BR1  5EP,BR1 5EP,198001,,0,E00016382,E01003237,E02006783,E09000023,E05013720
BR1 5EQ,BR1  5EQ,BR1 5EQ,198001,,0,E00016374,E01003236,E02006783,E09000023,E05013720
BR1 5ER,BR1  5ER,BR1 5ER,198001,,0,E00016382,E01003237,E02006783,E09000023,E05013720
BR1 5ES,BR1  5ES,BR1 5ES,198001,,0,E00016376,E01003239,E02006783,E09000023,E05013720
BR1 5ET,BR1  5ET,BR1 5ET,198001,,0,E00016349,E01003239,E02006783,E09000023,E05013720
BR1 5EU,BR1  5EU,BR1 5EU,198001,,0,E00016966,E01003351,E02000678,E09000023,E05013720
BR1 5EW,BR1  5EW,BR1 5EW,198001,,0,E00016352,E01003237,E02006783,E09000023,E05013720
BR1 5EX,BR1  5EX,BR1 5EX,198001,,0,E00016933,E01003351,E02000678,E09000023,E05013720
BR1 5EY,BR1  5EY,BR1 5EY,198001,,0,E00016930,E01003346,E02000678,E09000023,E05013724
BR1 5EZ,BR1  5EZ,BR1 5EZ,198001,,0,E00016933,E01003351,E02000678,E09000023,E05013720
BR1 5FD,BR1  5FD,BR1 5FD,201910,,0,E00016971,E01003348,E02000682,E09000023,E05013717
BR1 5GN,BR1  5GN,BR1 5GN,200208,,0,E00016939,E01003353,E02000682,E09000023,E05013717
BR1 5HA,BR1  5HA,BR1 5HA,198001,,0,E00016933,E01003351,E02000678,E09000023,E05013720
BR1 5HB,BR1  5HB,BR1 5HB,198001,,0,E00016966,E01003351,E02000678,E09000023,E05013720
BR1 5HD,BR1  5HD,BR1 5HD,198001,,0,E00016964,E01003346,E02000678,E09000023,E05013720
BR1 5HG,BR1  5HG,BR1 5HG,199706,,0,E00016373,E01003237,E02006783,E09000023,E05013720
BR1 5HH,BR1  5HH,BR1 5HH,198001,,0,E00016933,E01003351,E02000678,E09000023,E05013720
BR1 5HJ,BR1  5HJ,BR1 5HJ,198001,,0,E00016964,E01003346,E02000678,E09000023,E05013720
BR1 5HL,BR1  5HL,BR1 5HL,198001,,0,E00016960,E01003351,E02000678,E09000023,E05013720
BR1 5HN,BR1  5HN,BR1 5HN,198001,,0,E00016370,E01003236,E02006783,E09000023,E05013723
BR1 5HP,BR1  5HP,BR1 5HP,198001,,0,E00016373,E01003237,E02006783,E09000023,E05013720
BR1 5HQ,BR1  5HQ,BR1 5HQ,199101,199212.0,1,E00016348,E01003238,E02006783,E09000023,E05013720
BR1 5HR,BR1  5HR,BR1 5HR,198001,,0,E00016381,E01003237,E02006783,E09000023,E05013720
BR1 5HS,BR1  5HS,BR1 5HS,198001,,0,E00016381,E01003237,E02006783,E09000023,E05013720
BR1 5HT,BR1  5HT,BR1 5HT,199308,,0,E00016953,E01003351,E02000678,E09000023,E05013720
BR1 5HU,BR1  5HU,BR1 5HU,198001,,0,E00016373,E01003237,E02006783,E09000023,E05013720
BR1 5HW,BR1  5HW,BR1 5HW,198001,,0,E00016371,E01003236,E02006783,E09000023,E05013720
BR1 5HX,BR1  5HX,BR1 5HX,198001,,0,E00016369,E01003236,E02006783,E09000023,E05013720
BR1 5HY,BR1  5HY,BR1 5HY,199712,,0,E00016351,E01003239,E02006783,E09000023,E05013720
BR1 5HZ,BR1  5HZ,BR1 5HZ,200402,,0,E00016373,E01003237,E02006783,E09000023,E05013720
BR1 5JA,BR1  5JA,BR1 5JA,198402,201101.0,1,E00016351,E01003239,E02006783,E09000023,E05013720
BR1 5JB,BR1  5JB,BR1 5JB,198001,,0,E00016369,E01003236,E02006783,E09000023,E05013720
BR1 5JD,BR1  5JD,BR1 5JD,198001,,0,E00016373,E01003237,E02006783,E09000023,E05013720
BR1 5JE,BR1  5JE,BR1 5JE,198001,,0,E00016369,E01003236,E02006783,E09000023,E05013720
BR1 5JF,BR1  5JF,BR1 5JF,198001,,0,E00016371,E01003236,E02006783,E09000023,E05013720
BR1 5JG,BR1  5JG,BR1 5JG,198001,,0,E00016932,E01003349,E02000678,E09000023,E05013720
BR1 5JH,BR1  5JH,BR1 5JH,198001,,0,E00016372,E01003238,E02006783,E09000023,E05013720
BR1 5JJ,BR1  5JJ,BR1 5JJ,198001,,0,E00016929,E01003349,E02000678,E09000023,E05013720
BR1 5JL,BR1  5JL,BR1 5JL,198001,,0,E00016953,E01003351,E02000678,E09000023,E05013720
BR1 5JN,BR1  5JN,BR1 5JN,198001,,0,E00016953,E01003351,E02000678,E09000023,E05013720
BR1 5JP,BR1  5JP,BR1 5JP,198001,,0,E00016369,E01003236,E02006783,E09000023,E05013720
BR1 5JQ,BR1  5JQ,BR1 5JQ,198001,,0,E00016931,E01003349,E02000678,E09000023,E05013720
BR1 5JR,BR1  5JR,BR1 5JR,198001,,0,E00016372,E01003238,E02006783,E09000023,E05013720
BR1 5JS,BR1  5JS,BR1 5JS,198001,,0,E00016377,E01003238,E02006783,E09000023,E05013720
BR1 5JT,BR1  5JT,BR1 5JT,198001,,0,E00016372,E01003238,E02006783,E09000023,E05013720
BR1 5JU,BR1  5JU,BR1 5JU,198001,,0,E00016960,E01003351,E02000678,E09000023,E05013720
BR1 5JW,BR1  5JW,BR1 5JW,198001,,0,E00016929,E01003349,E02000678,E09000023,E05013720
BR1 5JX,BR1  5JX,BR1 5JX,198001,,0,E00016960,E01003351,E02000678,E09000023,E05013720
BR1 5JY,BR1  5JY,BR1 5JY,198001,,0,E00016961,E01003349,E02000678,E09000023,E05013720
BR1 5JZ,BR1  5JZ,BR1 5JZ,198001,,0,E00016957,E01003351,E02000678,E09000023,E05013720
BR1 5LA,BR1  5LA,BR1 5LA,199501,,0,E00016375,E01003238,E02006783,E09000023,E05013720
BR1 5LB,BR1  5LB,BR1 5LB,198001,,0,E00016372,E01003238,E02006783,E09000023,E05013720
BR1 5LD,BR1  5LD,BR1 5LD,198001,,0,E00016954,E01003349,E02000678,E09000023,E05013720
BR1 5LE,BR1  5LE,BR1 5LE,198001,,0,E00016957,E01003351,E02000678,E09000023,E05013720
