OA11CD,Total,0-18,19-65,66+
E00016612,92,31,47,14
E00016616,192,43,140,9
E00016589,157,31,103,23
E00016595,183,68,106,9
E00016597,72,19,43,10
E00016599,192,55,130,7
E00016601,174,61,103,10
E00016607,92,19,62,11
E00016590,220,46,150,24
E00016591,183,43,118,22
E00016603,257,63,164,30
E00016606,223,65,139,19
E00016610,187,58,117,12
E00016635,295,39,243,13
E00016640,156,38,92,26
E00016641,219,67,140,12
E00016642,251,57,162,32
E00016643,158,34,87,37
E00016630,215,34,169,12
E00016647,181,52,122,7
E00016648,140,29,103,8
E00016649,122,28,82,12
E00016651,219,66,141,12
E00016629,177,42,119,16
E00016650,125,26,93,6
E00016652,121,41,63,17
E00016654,121,42,74,5
E00016657,126,35,86,5
E00016653,159,43,106,10
E00016655,191,41,143,7
E00016656,160,37,105,18
E00016662,122,30,83,9
E00016664,180,44,120,16
E00016631,168,42,117,9
E00016658,147,26,116,5
E00016659,122,28,89,5
E00016660,160,41,99,20
E00016663,168,38,117,13
E00016632,266,106,152,8
E00016666,145,26,109,10
E00016667,201,72,112,17
E00016669,163,56,100,7
E00016673,163,43,95,25
E00016633,199,34,149,16
E00016636,270,16,249,5
E00016638,1300,209,1081,10
E00016639,481,134,329,18
E00016674,224,57,153,14
E00174018,345,21,324,0
E00174019,94,14,69,11
E00174021,61,8,52,1
E00016680,113,16,89,8
E00016716,162,32,129,1
E00016717,101,23,78,0
E00016719,181,56,122,3
E00016720,160,39,120,1
E00016725,112,19,91,2
E00016678,141,40,94,7
E00016722,158,62,82,14
E00016724,149,22,124,3
E00016727,158,34,100,24
E00016706,185,28,146,11
E00016708,146,33,109,4
E00016709,175,34,130,11
E00016714,166,42,114,10
E00016715,164,31,129,4
