OA11CD,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E00016383,165,9,14,14,11,15,9,9,10,11,18,13,12,9,4,3,1,1,2
E00016353,147,7,16,13,10,12,4,13,10,16,10,13,5,6,2,4,3,1,2
E00016360,222,17,20,17,10,11,14,18,18,24,16,15,13,13,2,5,1,5,3
E00016380,148,12,19,10,12,9,10,9,17,11,11,5,5,4,4,7,0,1,2
E00016389,144,13,18,14,9,8,5,6,14,16,7,7,6,5,3,6,4,0,3
E00016390,111,4,5,11,6,7,6,11,16,10,8,3,8,7,0,2,3,3,1
E00016392,132,4,11,9,7,6,10,7,17,8,10,12,9,7,4,8,1,1,1
E00016359,158,5,8,10,7,7,6,7,15,12,12,18,11,9,9,7,6,4,5
E00016384,154,7,7,6,7,5,11,10,20,10,7,19,7,11,8,5,10,4,0
E00016385,235,9,15,17,10,11,14,15,26,18,19,20,11,14,11,9,2,8,6
E00016386,116,1,5,6,2,2,2,5,5,14,6,7,8,7,18,8,12,6,2
E00016388,137,2,10,9,3,5,3,7,10,16,9,15,12,8,4,8,7,5,4
E00016346,134,6,14,11,10,11,9,8,9,10,12,7,8,8,0,7,4,0,0
E00016354,137,14,14,11,4,7,4,6,8,18,15,6,12,7,3,1,4,1,2
E00016357,137,3,17,11,5,15,10,12,8,11,11,10,9,6,3,3,2,0,1
E00016358,157,13,13,10,8,23,7,13,25,11,6,9,7,2,3,1,4,1,1
E00016391,146,7,14,7,5,10,4,13,14,14,8,11,10,6,7,4,5,4,3
E00016403,172,15,24,17,8,11,5,7,14,11,19,13,9,15,0,3,0,0,1
E00016437,242,8,15,22,17,38,23,20,18,14,21,16,11,14,0,1,3,1,0
E00016439,223,14,23,17,6,21,20,24,23,20,19,12,6,9,3,2,1,3,0
E00016442,217,17,29,28,11,15,12,6,10,13,19,18,14,10,5,4,5,1,0
E00016399,253,22,18,18,34,17,38,27,19,7,4,8,14,13,12,2,0,0,0
E00016401,292,23,30,33,19,11,27,38,34,23,15,10,9,11,8,0,1,0,0
E00016406,152,8,11,12,27,9,20,23,5,4,8,8,3,3,3,1,1,0,6
E00016435,211,11,15,15,22,19,30,21,20,14,12,12,8,4,7,0,0,1,0
E00016412,214,11,14,14,11,26,15,27,29,11,9,17,9,11,3,2,1,3,1
E00016414,143,6,7,4,7,9,12,13,17,6,10,16,15,12,4,0,1,2,2
E00016418,375,14,16,19,13,42,54,88,48,22,10,21,11,9,3,2,0,3,0
E00016422,231,9,21,39,18,17,14,17,17,12,13,18,17,7,5,1,2,2,2
E00016395,301,14,7,2,5,27,67,69,42,24,17,12,9,2,0,0,1,1,2
E00016404,208,4,4,4,8,29,46,30,24,6,13,6,12,8,3,3,0,0,8
E00016405,189,8,7,5,5,14,46,35,21,12,9,6,15,5,0,1,0,0,0
