OA11CD,Total,0-18,19-65,66+
E00016707,551,77,447,27
E00016711,452,79,356,17
E00016679,241,39,157,45
E00016689,261,45,187,29
E00016693,335,72,222,41
E00016701,411,120,268,23
E00173939,720,204,473,43
E00016750,271,48,200,23
E00016752,336,74,196,66
E00016753,329,76,229,24
E00016758,309,65,214,30
E00016763,317,69,218,30
E00016738,431,91,274,66
E00016739,357,103,224,30
E00016740,313,63,216,34
E00016749,346,85,244,17
E00016755,492,129,318,45
E00016728,259,65,155,39
E00016764,250,59,172,19
E00016766,380,101,224,55
E00016768,314,102,193,19
E00016772,349,88,218,43
E00016737,287,49,221,17
E00016748,271,49,198,24
E00016756,303,87,192,24
E00016760,367,72,283,12
E00173704,375,59,298,18
E00173705,115,18,94,3
E00173707,5,0,5,0
E00016729,306,65,188,53
E00016730,331,83,202,46
E00016759,324,86,182,56
E00016761,328,86,191,51
E00016762,431,136,260,35
E00016765,264,48,191,25
E00016767,252,50,166,36
E00016770,146,22,117,7
E00016771,346,81,230,35
E00016774,393,106,247,40
E00016777,354,90,209,55
E00016731,314,77,219,18
E00016769,346,126,200,20
E00016773,248,77,162,9
E00016775,256,83,161,12
E00016776,353,68,244,41
E00016745,441,128,297,16
E00016746,385,94,260,31
E00016751,349,79,247,23
E00016754,309,80,196,33
E00016757,344,108,220,16
E00016732,351,58,272,21
E00016735,415,95,294,26
E00016741,273,48,194,31
E00016742,354,67,263,24
E00016733,330,85,207,38
E00016734,278,59,195,24
E00016743,273,66,186,21
E00016744,338,67,234,37
E00016747,304,63,206,35
E00016779,265,63,192,10
E00016789,430,119,255,56
E00016797,393,90,263,40
E00016798,555,168,364,23
E00016821,1337,371,909,57
E00016780,470,87,322,61
E00016782,415,86,290,39
E00016790,234,62,165,7
E00016792,598,217,368,13
E00016795,299,63,198,38
E00016796,521,168,322,31
E00016799,404,110,258,36
E00016804,382,105,200,77
E00016805,437,114,295,28
E00016806,275,69,182,24
E00016781,229,44,161,24
E00016793,182,35,141,6
E00016794,200,52,138,10
E00016801,261,59,183,19
E00016803,269,64,184,21
E00016808,229,67,145,17
E00016783,352,86,233,33
E00016802,437,127,283,27
E00016807,417,124,264,29
E00016809,348,67,241,40
E00016810,478,110,343,25
E00016784,284,52,208,24
E00016811,362,85,250,27
E00016812,300,56,219,25
E00016816,288,59,201,28
E00016817,311,84,197,30
E00016813,280,54,202,24
E00016814,279,68,193,18
E00016815,330,80,225,25
E00016818,260,71,167,22
E00016819,280,47,213,20
E00016785,291,57,199,35
E00016786,286,58,210,18
E00016787,658,223,418,17
