OA11CD,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E00173946,26,0,2,0,0,1,3,4,6,1,2,1,1,1,0,1,1,0,2
E00016397,667,52,28,15,10,38,138,161,96,64,19,11,12,6,5,9,1,0,2
E00016433,737,48,17,18,14,58,161,154,90,42,20,25,19,20,12,10,15,5,9
E00016436,177,14,12,14,11,8,23,27,20,12,8,10,8,2,4,3,1,0,0
E00016440,166,7,17,14,11,15,18,14,14,15,14,7,12,6,0,0,1,1,0
E00016441,183,11,11,13,8,9,20,18,12,14,16,11,12,4,8,7,4,2,3
E00016415,216,6,17,17,15,19,30,17,18,11,20,12,11,4,7,5,2,2,3
E00016416,208,11,10,14,13,21,26,27,10,19,10,9,19,5,3,3,3,2,3
E00016419,233,17,19,23,27,16,32,17,10,17,14,6,14,7,1,8,3,1,1
E00016420,247,29,26,25,12,9,27,28,21,17,14,7,7,13,1,3,0,6,2
E00173947,187,17,14,15,15,10,21,17,8,11,14,19,13,7,2,3,1,0,0
E00173948,100,1,6,6,7,10,20,19,15,5,6,0,3,1,1,0,0,0,0
E00016417,176,5,13,19,6,9,11,11,15,11,13,13,12,18,3,6,3,5,3
E00016421,152,6,10,16,9,6,14,4,19,6,14,11,14,13,3,2,2,0,3
E00016423,177,10,15,18,15,10,14,15,8,13,8,24,12,5,2,3,1,3,1
E00016424,178,13,20,16,10,7,10,20,13,13,12,15,9,10,3,2,1,1,3
E00016427,113,7,10,13,6,6,4,8,9,6,8,11,6,10,1,3,1,3,1
E00016396,115,7,6,1,5,6,15,19,10,4,6,4,12,5,9,1,4,1,0
