LSOA11CD,Total,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
E01003323,719,54,34,38,23,24,65,79,100,42,46,34,68,49,12,9,20,8,14
E01003324,919,91,97,50,39,50,58,62,85,113,74,54,35,37,23,15,13,16,7
E01003325,880,49,65,56,68,37,71,84,100,76,51,60,38,44,25,14,8,21,13
E01003326,832,100,37,39,16,49,44,73,63,75,53,45,64,30,26,21,19,34,44
E01003327,876,49,62,44,33,35,77,71,100,76,61,56,62,51,34,24,18,9,14
E01003328,908,50,59,70,34,22,82,82,101,62,70,71,58,40,37,28,14,15,13
E01003329,882,72,62,59,42,19,47,81,98,94,62,58,47,46,34,23,19,13,6
E01003330,971,60,70,73,57,43,68,80,81,71,55,81,72,40,17,29,25,24,25
E01003331,815,43,46,58,38,52,46,52,59,50,58,50,59,32,33,38,28,28,45
E01003332,784,46,37,60,40,23,45,65,82,60,67,73,54,50,26,22,17,13,4
E01003333,772,45,39,34,35,44,61,79,85,64,66,55,41,41,28,23,12,9,11
E01003334,944,56,59,67,32,44,53,107,94,86,61,82,53,53,38,21,17,14,7
E01003335,741,32,46,60,48,20,47,74,57,52,58,44,45,34,39,33,14,20,18
E01003336,732,41,50,76,41,44,47,50,63,64,52,36,55,36,28,13,10,18,8
E01003337,852,54,103,61,37,44,45,109,49,78,52,48,57,36,23,19,22,2,13
E01003338,1058,57,61,69,54,75,127,95,87,70,72,64,76,46,20,24,23,24,14
E01003339,823,37,47,48,36,68,85,67,56,57,57,75,44,59,29,10,15,13,20
E01003340,934,42,30,33,29,97,176,127,85,55,52,59,38,38,33,19,4,10,7
E01003341,726,35,50,44,29,63,69,64,74,55,43,37,69,36,25,14,10,5,4
E01003342,834,81,54,37,30,28,85,106,109,63,47,62,37,25,13,23,6,12,16
E01003343,738,68,66,31,10,51,62,57,71,52,62,42,36,50,47,13,9,4,7
E01003344,987,50,31,46,39,131,86,158,72,62,55,65,62,53,43,15,7,7,5
E01003345,1041,81,75,46,35,86,136,121,120,93,41,58,40,44,35,15,6,2,7
E01003346,820,46,57,53,52,41,42,54,52,57,61,74,63,50,31,18,24,21,24
E01003347,1027,59,70,118,76,57,70,84,100,85,56,68,45,45,22,23,12,13,24
E01003348,864,60,58,80,58,43,35,55,71,57,60,54,69,56,25,26,17,26,14
E01003349,850,47,66,75,68,48,42,72,91,75,74,53,57,19,11,14,16,8,14
E01003350,657,40,33,61,55,57,32,30,31,57,47,65,47,30,27,18,12,10,5
E01003351,844,63,51,89,43,36,39,61,76,60,66,58,58,43,20,23,24,11,23
E01003352,1209,77,92,94,77,52,86,111,90,74,106,66,73,48,59,31,25,23,25
E01003353,931,44,64,75,58,50,44,47,58,102,65,60,57,49,51,41,29,24,13
E01003354,975,100,56,54,57,40,59,93,98,78,54,72,100,34,23,17,22,8,10
E01032564,708,45,35,64,51,40,43,49,67,49,44,67,67,32,13,15,13,8,6
E01032565,787,40,44,72,57,22,35,37,70,67,50,64,65,42,39,25,10,18,30
E01032579,986,55,38,57,37,95,172,119,106,53,68,53,58,40,17,2,9,1,6
E01033320,915,76,57,34,42,35,73,81,96,81,60,61,63,45,33,31,19,11,17
E01033322,637,41,24,29,24,24,91,106,102,66,45,30,25,7,12,2,4,3,2
E01033324,881,47,42,39,52,117,73,114,66,30,45,55,44,44,48,24,19,12,10
E01033325,650,37,1,1,17,58,154,143,95,53,37,19,14,2,9,1,3,3,3
E01033327,1050,73,31,39,25,77,207,153,108,81,69,52,34,8,32,16,11,20,14
E01033341,643,56,52,40,50,30,60,57,62,56,48,35,28,26,18,6,8,7,4
