OA11CD,Total,0-18,19-65,66+
E00016455,126,25,88,13
E00016446,188,28,141,19
E00016453,111,18,80,13
E00016456,153,33,106,14
E00016457,151,20,126,5
E00016462,157,31,113,13
E00173944,137,20,110,7
E00173945,132,12,116,4
E00016460,199,62,126,11
E00016463,275,73,193,9
E00016467,153,23,102,28
E00016469,183,43,131,9
E00016471,182,58,115,9
E00016472,152,21,101,30
E00016447,155,37,105,13
E00016458,153,31,110,12
E00016459,142,34,78,30
E00016464,146,39,97,10
E00016465,113,26,51,36
E00016466,155,26,94,35
E00016475,107,34,67,6
E00016476,169,45,115,9
E00016478,82,16,62,4
E00016479,117,39,75,3
E00016480,115,35,78,2
E00016482,139,39,96,4
E00016468,127,29,81,17
E00016470,150,34,104,12
E00016473,203,55,130,18
E00016474,127,28,86,13
E00016477,123,20,90,13
E00016481,199,46,148,5
E00016444,200,38,137,25
E00016484,205,58,121,26
E00016485,171,55,98,18
E00016488,186,49,107,30
E00016489,180,58,100,22
E00016443,166,40,95,31
E00016483,128,25,85,18
E00016486,222,56,145,21
E00016487,146,39,85,22
E00016491,117,23,77,17
E00016449,161,47,103,11
E00016450,126,24,96,6
E00016451,173,53,109,11
E00016490,202,58,133,11
E00016492,162,43,103,16
E00016513,166,42,112,12
E00016514,118,27,73,18
E00016515,185,35,113,37
E00016516,175,46,118,11
E00016519,134,26,97,11
E00016521,143,40,91,12
E00016496,152,37,99,16
E00016517,123,27,86,10
E00016518,150,29,95,26
E00016523,121,27,80,14
E00016524,180,44,112,24
E00016525,108,9,50,49
E00016497,142,35,101,6
E00016527,118,30,82,6
E00016528,113,30,80,3
E00016531,195,41,135,19
E00016532,121,21,94,6
E00016535,135,35,94,6
E00016520,162,39,101,22
E00016522,158,33,99,26
E00016526,147,27,89,31
E00016529,131,27,84,20
E00016530,166,51,93,22
E00016533,148,31,95,22
E00016534,134,25,86,23
E00016536,153,37,89,27
E00016537,149,44,88,17
E00016538,167,41,112,14
E00016539,175,44,102,29
E00016493,175,48,108,19
E00016499,248,68,152,28
E00016502,126,21,91,14
E00016503,107,17,79,11
E00016507,126,31,82,13
E00016540,162,30,108,24
E00016498,314,65,216,33
E00016500,168,48,103,17
E00016505,204,56,127,21
E00016541,192,32,120,40
E00016494,181,45,117,19
E00016495,90,17,67,6
E00016501,245,50,148,47
E00016508,182,44,102,36
E00016511,193,39,131,23
E00016504,135,26,80,29
E00016506,168,39,101,28
E00016509,211,37,133,41
E00016510,124,31,74,19
E00016512,151,27,99,25
E00016573,182,39,126,17
E00016579,128,13,103,12
E00016580,224,36,163,25
E00016581,294,58,214,22
E00016582,274,37,212,25
E00016564,199,41,131,27
E00016567,117,35,75,7
E00016569,187,45,121,21
E00016571,175,32,114,29
E00173700,92,16,64,12
E00173702,96,18,69,9
E00016546,174,35,125,14
E00016547,182,35,126,21
E00016548,193,40,130,23
E00016550,183,40,125,18
E00016583,131,21,85,25
E00016542,174,39,111,24
E00016552,181,37,123,21
E00016554,139,29,98,12
E00016555,177,31,92,54
E00016556,183,42,119,22
E00016543,188,32,144,12
E00016545,235,73,144,18
E00016549,205,60,124,21
E00016551,248,64,147,37
E00016553,199,63,120,16
E00016558,123,20,95,8
E00016561,149,21,114,14
E00016566,153,29,110,14
E00016568,178,36,126,16
E00016572,151,24,117,10
E00016575,126,16,103,7
E00016557,112,28,77,7
E00016559,185,32,145,8
E00016560,158,25,122,11
E00016562,172,32,123,17
E00016563,234,52,162,20
E00016565,156,25,116,15
E00016544,213,34,146,33
E00016574,148,19,104,25
E00016576,162,35,115,12
E00016577,206,44,144,18
E00016578,129,20,92,17
E00016613,197,47,116,34
E00016614,211,56,127,28
E00016615,180,48,112,20
E00016618,162,46,100,16
E00016621,124,28,88,8
E00016609,142,27,91,24
E00016617,179,45,104,30
E00016619,157,34,94,29
E00016620,158,38,94,26
E00016622,136,25,95,16
E00016584,316,64,231,21
E00016596,194,49,134,11
E00016598,260,50,178,32
E00016623,198,30,163,5
E00174036,122,11,99,12
E00174038,215,39,158,18
E00016585,185,38,129,18
E00016593,215,52,134,29
E00016600,198,42,126,30
E00016602,156,36,101,19
E00016624,137,20,104,13
E00016625,180,25,125,30
E00016587,218,48,145,25
E00016594,166,39,115,12
E00016605,263,55,193,15
E00016608,101,26,61,14
