OA11CD,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications and above,Other qualifications
E00016371,32.5,14.5,15.5,2.0,6.0,24.5,5.0
E00016372,28.181818181818183,13.181818181818182,17.727272727272727,2.272727272727273,11.818181818181818,13.181818181818182,13.636363636363637
E00016373,36.52173913043478,9.130434782608695,14.347826086956522,1.7391304347826086,8.695652173913043,22.17391304347826,7.391304347826087
E00016374,27.941176470588236,21.568627450980394,16.176470588235293,4.901960784313726,9.313725490196079,9.313725490196079,10.784313725490197
E00016375,21.05263157894737,17.36842105263158,15.263157894736842,1.5789473684210527,7.894736842105263,28.94736842105263,7.894736842105263
E00016376,33.333333333333336,12.745098039215685,16.666666666666668,1.4705882352941178,9.313725490196079,18.137254901960784,8.333333333333334
E00016377,32.85024154589372,18.357487922705314,13.043478260869565,3.3816425120772946,9.66183574879227,14.009661835748792,8.695652173913043
E00016378,33.17972350230415,15.2073732718894,13.36405529953917,1.8433179723502304,10.138248847926267,18.433179723502302,7.8341013824884795
E00016379,35.68281938325991,11.894273127753303,15.859030837004406,2.202643171806167,10.572687224669604,17.621145374449338,6.167400881057269
E00016380,38.12154696132597,12.707182320441989,15.469613259668508,0.0,8.839779005524862,18.784530386740332,6.077348066298343
E00016381,25.81967213114754,18.442622950819672,15.573770491803279,0.819672131147541,8.19672131147541,20.491803278688526,10.655737704918034
E00016382,40.625,13.541666666666666,11.458333333333334,1.5625,9.375,18.75,4.6875
E00016383,32.098765432098766,11.522633744855968,15.22633744855967,1.646090534979424,13.580246913580247,18.106995884773664,7.818930041152264
E00016384,18.726591760299627,11.235955056179776,15.730337078651685,1.4981273408239701,11.235955056179776,31.46067415730337,10.112359550561798
E00016385,34.21052631578947,13.486842105263158,11.842105263157896,2.6315789473684212,7.565789473684211,22.039473684210527,8.223684210526315
E00016386,34.97267759562842,15.846994535519126,13.114754098360656,0.546448087431694,9.836065573770492,22.404371584699454,3.278688524590164
E00016387,28.517110266159698,19.011406844106464,15.209125475285171,1.1406844106463878,9.885931558935361,19.39163498098859,6.844106463878327
E00016388,25.0,10.384615384615385,17.692307692307693,5.0,9.23076923076923,25.384615384615383,7.3076923076923075
E00016389,35.84905660377358,20.754716981132077,16.50943396226415,1.8867924528301887,5.188679245283019,11.79245283018868,8.018867924528301
E00016390,31.547619047619047,17.261904761904763,11.904761904761905,0.5952380952380952,8.333333333333334,24.404761904761905,5.9523809523809526
E00016391,21.16182572614108,14.522821576763485,13.692946058091286,3.319502074688797,11.203319502074688,29.04564315352697,7.053941908713693
E00016392,28.24074074074074,14.814814814814815,18.055555555555557,1.8518518518518519,13.88888888888889,14.814814814814815,8.333333333333334
E00016393,29.437229437229437,15.151515151515152,16.017316017316016,3.463203463203463,6.4935064935064934,22.07792207792208,7.359307359307359
E00016394,36.36363636363637,12.272727272727273,10.909090909090908,2.727272727272727,12.272727272727273,18.636363636363637,6.818181818181818
E00016395,18.0327868852459,7.786885245901639,10.655737704918034,1.2295081967213115,12.704918032786885,35.24590163934426,14.344262295081966
E00016396,30.088495575221238,19.02654867256637,16.8141592920354,0.0,5.752212389380531,19.02654867256637,9.29203539823009
E00016397,10.42654028436019,4.739336492890995,6.398104265402844,0.47393364928909953,6.398104265402844,63.27014218009479,8.293838862559241
E00016398,17.674418604651162,16.74418604651163,13.953488372093023,0.9302325581395349,11.162790697674419,32.093023255813954,7.441860465116279
E00016399,28.338762214983714,17.58957654723127,15.960912052117264,2.9315960912052117,10.749185667752442,17.263843648208468,7.166123778501628
E00016401,14.8,9.2,8.4,1.2,7.6,50.4,8.4
E00016402,25.114155251141554,10.502283105022832,12.785388127853881,1.82648401826484,13.698630136986301,26.027397260273972,10.045662100456621
E00016403,13.135593220338983,15.677966101694915,15.254237288135593,1.271186440677966,6.779661016949152,37.71186440677966,10.169491525423728
E00016404,15.576323987538942,5.607476635514018,10.59190031152648,1.2461059190031152,14.330218068535826,40.18691588785047,12.461059190031152
E00016405,11.913357400722022,11.552346570397113,9.025270758122744,1.444043321299639,11.552346570397113,40.7942238267148,13.71841155234657
E00016406,24.644549763033176,18.48341232227488,12.796208530805687,0.9478672985781991,7.5829383886255926,28.90995260663507,6.6350710900473935
E00016407,6.944444444444445,10.648148148148149,12.962962962962964,2.314814814814815,6.481481481481482,44.907407407407405,15.74074074074074
E00016408,3.6231884057971016,2.1739130434782608,13.768115942028986,1.4492753623188406,5.072463768115942,60.869565217391305,13.043478260869565
E00016409,23.66412213740458,11.450381679389313,17.557251908396946,1.9083969465648856,7.251908396946565,25.954198473282442,12.213740458015268
E00016410,14.093959731543624,7.046979865771812,8.724832214765101,1.0067114093959733,11.409395973154362,43.95973154362416,13.758389261744966
E00016411,8.59106529209622,9.621993127147766,10.309278350515465,1.0309278350515463,11.683848797250858,47.422680412371136,11.34020618556701
E00016412,19.5364238410596,10.927152317880795,11.920529801324504,0.9933774834437086,7.947019867549669,32.78145695364238,15.894039735099337
E00016413,25.738396624472575,10.970464135021096,10.126582278481013,0.8438818565400844,12.658227848101266,22.78481012658228,16.877637130801688
