OA11CD,Total,No qualifications,Level 1 qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications and above,Other qualifications
E00016494,279,24,30,33,5,28,138,21
E00016495,167,15,22,17,4,22,69,18
E00016496,207,24,42,30,3,15,71,22
E00016497,210,46,22,25,2,31,61,23
E00016498,470,96,65,49,9,66,148,37
E00016499,247,50,22,32,7,30,77,29
E00016500,222,66,35,24,4,26,56,11
E00016501,325,55,51,52,5,32,110,20
E00016502,210,39,24,37,7,18,70,15
E00016503,169,17,14,20,1,20,77,20
E00016504,264,58,29,30,3,31,103,10
E00016505,250,57,34,33,5,29,81,11
E00016506,289,45,50,36,14,34,91,19
E00016507,200,31,29,26,4,21,76,13
E00016508,287,44,37,42,7,33,91,33
E00016509,332,81,44,48,5,36,99,19
E00016510,223,45,32,28,7,38,67,6
E00016511,278,45,37,47,11,31,85,22
E00016512,265,37,33,35,7,31,105,17
E00016513,254,48,39,32,7,24,83,21
E00016514,185,42,25,24,4,17,47,26
E00016515,256,72,27,34,4,15,82,22
E00016516,197,48,27,33,2,26,49,12
E00016517,176,35,27,31,2,25,45,11
E00016518,228,61,28,46,5,21,56,11
E00016519,191,36,20,24,4,21,76,10
E00016520,207,74,28,24,6,21,34,20
E00016521,201,62,29,28,5,19,40,18
E00016522,221,72,31,22,3,30,50,13
E00016523,209,50,30,21,1,22,67,18
E00016524,262,44,35,42,11,27,82,21
E00016525,216,71,14,35,6,23,45,22
E00016526,228,78,34,31,7,19,46,13
E00016527,176,22,27,28,2,17,57,23
E00016528,176,24,25,22,2,22,59,22
E00016529,214,50,40,34,2,34,41,13
E00016530,221,71,37,32,2,16,45,18
E00016531,247,85,39,28,3,22,53,17
E00016532,166,41,25,22,1,28,33,16
E00016533,255,72,42,35,4,33,62,7
E00016534,239,56,23,46,9,31,55,19
E00016535,189,45,27,32,2,24,49,10
E00016536,240,78,43,35,4,19,44,17
E00016537,205,70,32,24,6,14,46,13
E00016538,251,80,40,49,3,26,39,14
E00016539,248,92,34,42,5,18,41,16
E00016540,238,48,34,44,8,21,73,10
E00016541,300,49,46,41,4,26,115,19
E00016542,271,43,32,56,2,30,78,30
E00016543,279,45,32,28,1,25,132,16
E00016544,280,52,17,31,2,31,128,19
E00016545,241,40,27,39,1,30,81,23
E00016546,272,23,23,27,5,22,146,26
E00016547,353,39,24,32,4,20,189,45
E00016548,269,26,20,35,6,42,121,19
E00016549,298,48,25,43,4,21,137,20
E00016550,278,31,32,36,0,26,123,30
E00016551,339,47,39,49,7,43,138,16
E00016552,244,61,45,37,2,29,51,19
E00016553,285,39,36,30,3,39,113,25
E00016554,243,32,25,33,2,27,112,12
E00016555,304,120,36,34,8,26,50,30
E00016556,279,37,37,25,4,30,107,39
E00016557,169,21,10,19,3,21,78,17
E00016558,211,12,21,20,1,32,111,14
E00016559,287,33,25,29,4,31,121,44
E00016560,312,32,18,45,1,43,114,59
E00016561,238,24,22,32,2,23,120,15
E00016562,283,27,19,27,2,44,146,18
E00016563,256,31,17,24,9,26,121,28
E00016564,265,50,24,34,5,16,110,26
E00016565,294,37,24,36,4,34,141,18
E00016566,227,33,15,30,4,34,84,27
E00016567,162,35,30,21,2,20,37,17
E00016568,262,29,19,22,5,15,152,20
E00016569,261,43,24,37,4,22,107,24
E00016571,258,20,33,21,4,35,132,13
E00016572,258,26,15,32,5,32,133,15
E00016573,260,14,19,26,3,21,164,13
E00016574,279,40,38,27,6,31,123,14
E00016575,221,19,10,19,5,28,132,8
E00016576,253,23,25,21,2,35,135,12
E00016577,288,33,31,38,3,33,139,11
E00016578,231,21,14,31,2,20,123,20
E00016579,286,35,16,34,2,43,133,23
E00016580,343,39,39,34,2,57,142,30
E00016581,373,38,28,43,2,72,148,42
E00016582,385,50,24,30,9,72,158,42
E00016583,205,23,24,21,4,17,108,8
E00016584,516,60,40,45,11,39,273,48
E00016585,226,20,24,23,0,22,104,33
E00016587,358,73,37,50,5,29,137,27
E00016588,307,31,29,36,8,38,150,15
E00016589,247,51,28,33,4,34,84,13
E00016590,327,44,23,32,5,32,176,15
E00016591,256,26,25,30,0,27,140,8
E00016592,305,34,34,37,2,35,150,13
E00016593,403,31,25,31,4,37,245,30
E00016594,271,35,19,30,7,17,147,16
E00016595,185,43,33,30,5,24,36,14
E00016596,248,38,29,21,3,17,118,22
E00016597,189,75,15,24,2,14,38,21
E00016598,414,71,34,42,4,35,185,43
E00016599,243,48,24,30,6,28,92,15
E00016600,289,45,13,19,2,16,189,5
E00016601,260,90,26,27,2,28,59,28
E00016602,250,28,12,20,4,29,152,5
E00016603,394,35,40,33,3,36,232,15
E00016604,167,26,11,16,1,15,87,11
E00016605,355,38,41,41,3,36,158,38
E00016606,318,24,20,28,1,30,206,9
E00016607,170,37,26,13,2,18,62,12
E00016608,169,16,14,10,1,15,100,13
E00016609,223,26,28,22,6,25,103,13
E00016610,244,35,18,16,3,24,131,17
E00016611,175,15,23,20,2,24,76,15
E00016612,174,25,18,23,2,21,73,12
E00016613,336,59,45,47,4,38,127,16
E00016614,282,68,43,49,6,25,70,21
E00016615,258,37,24,46,10,28,91,22
E00016616,215,18,20,22,4,36,93,22
E00016617,282,41,21,44,7,37,116,16
E00016618,188,53,20,19,4,22,51,19
E00016619,257,44,27,47,9,26,92,12
E00016620,253,27,34,42,1,31,101,17
E00016621,178,43,25,28,5,22,41,14
E00016622,196,32,29,32,1,18,74,10
E00016623,316,20,24,34,5,21,157,55
E00016624,221,27,13,19,3,25,125,9
E00016625,268,39,16,24,0,17,156,16
E00016626,274,32,24,36,4,28,140,10
E00016628,285,28,22,30,4,32,135,34
E00016629,289,60,44,38,2,26,79,40
E00016630,290,55,21,25,4,29,133,23
E00016631,257,35,23,27,4,32,119,17
E00016632,264,38,21,33,2,26,120,24
E00016633,206,51,26,32,3,13,57,24
E00016635,337,47,26,27,5,25,148,59
E00016636,206,10,12,19,2,6,125,32
E00016637,386,76,29,40,3,28,146,64
E00016638,138,14,3,8,4,7,76,26
E00016639,344,83,40,68,7,32,92,22
E00016640,265,96,24,30,4,19,70,22
E00016641,287,51,37,47,5,24,92,31
E00016642,322,60,35,45,13,24,108,37
E00016643,268,77,25,34,5,21,74,32
E00016644,360,55,49,36,5,35,123,57
E00016645,316,54,30,34,2,25,139,32
E00016646,313,48,43,38,3,30,113,38
E00016647,305,44,27,45,7,37,114,31
E00016648,289,36,29,29,4,32,134,25
E00016649,281,73,32,26,8,21,104,17
E00016650,250,43,33,28,8,23,94,21
E00016651,287,36,32,36,5,32,119,27
