OA11CD,One person household,One family household,Other household types
E00016589,39.097744360902254,51.12781954887218,9.774436090225564
E00016595,39.37007874015748,50.39370078740158,10.236220472440944
E00016597,58.64661654135338,32.330827067669176,9.022556390977444
E00016599,38.1294964028777,51.798561151079134,10.071942446043165
E00016601,35.25179856115108,49.64028776978417,15.107913669064748
E00016607,53.04347826086956,42.608695652173914,4.3478260869565215
E00016573,27.692307692307693,53.84615384615385,18.46153846153846
E00016579,25.37313432835821,46.26865671641791,28.35820895522388
E00016580,38.095238095238095,37.5,24.404761904761905
E00016581,25.268817204301076,53.763440860215056,20.967741935483872
E00016582,35.55555555555556,36.666666666666664,27.77777777777778
E00016546,38.297872340425535,37.5886524822695,24.113475177304963
E00016547,17.073170731707318,64.63414634146342,18.29268292682927
E00016548,27.00729927007299,60.583941605839414,12.408759124087592
E00016550,46.835443037974684,37.34177215189873,15.822784810126583
E00016583,32.231404958677686,57.02479338842975,10.743801652892563
E00016542,24.444444444444443,63.7037037037037,11.851851851851851
E00016552,38.028169014084504,54.929577464788736,7.042253521126761
E00016554,34.146341463414636,53.65853658536585,12.195121951219512
E00016555,35.96491228070175,50.0,14.035087719298245
E00016556,32.53968253968254,50.0,17.46031746031746
E00016543,36.30952380952381,55.357142857142854,8.333333333333334
E00016545,23.4375,63.28125,13.28125
E00016549,15.671641791044776,65.67164179104478,18.65671641791045
E00016551,12.142857142857142,76.42857142857143,11.428571428571429
E00016553,23.846153846153847,60.0,16.153846153846153
E00016335,23.076923076923077,57.142857142857146,19.78021978021978
E00016336,23.529411764705884,61.029411764705884,15.441176470588236
E00016339,11.11111111111111,78.63247863247864,10.256410256410257
E00016340,18.3206106870229,73.2824427480916,8.396946564885496
E00016341,21.73913043478261,66.95652173913044,11.304347826086957
E00016309,40.41095890410959,45.205479452054796,14.383561643835616
E00016323,34.21052631578947,54.3859649122807,11.403508771929825
E00016324,32.298136645962735,50.93167701863354,16.770186335403725
E00016325,34.50704225352113,45.070422535211264,20.422535211267604
E00016327,31.451612903225808,49.193548387096776,19.35483870967742
E00016326,26.612903225806452,59.67741935483871,13.709677419354838
E00016329,21.52777777777778,60.416666666666664,18.055555555555557
E00016332,21.62162162162162,59.45945945945946,18.91891891891892
E00016333,27.92792792792793,49.549549549549546,22.52252252252252
E00016337,21.311475409836067,63.9344262295082,14.754098360655737
E00016311,28.571428571428573,54.76190476190476,16.666666666666668
E00016328,35.714285714285715,50.79365079365079,13.492063492063492
E00016330,32.47863247863248,52.136752136752136,15.384615384615385
E00016331,21.16788321167883,56.2043795620438,22.62773722627737
E00016334,14.110429447852761,63.190184049079754,22.699386503067483
E00016613,22.0,68.0,10.0
E00016614,18.75,64.84375,16.40625
E00016615,28.688524590163933,57.377049180327866,13.934426229508198
E00016618,28.448275862068964,57.758620689655174,13.793103448275861
E00016621,41.48148148148148,52.592592592592595,5.925925925925926
E00016609,23.076923076923077,65.38461538461539,11.538461538461538
E00016617,29.927007299270073,58.394160583941606,11.678832116788321
E00016619,36.029411764705884,54.411764705882355,9.558823529411764
E00016620,18.803418803418804,73.5042735042735,7.6923076923076925
E00016622,38.3177570093458,51.401869158878505,10.280373831775702
E00016588,39.63414634146341,48.170731707317074,12.195121951219512
E00016592,40.54054054054054,52.432432432432435,7.027027027027027
E00016604,49.056603773584904,42.45283018867924,8.49056603773585
E00016611,42.857142857142854,44.76190476190476,12.380952380952381
E00016612,27.77777777777778,65.55555555555556,6.666666666666667
E00016616,38.46153846153846,34.18803418803419,27.35042735042735
E00016590,29.82456140350877,57.30994152046784,12.865497076023392
E00016591,26.923076923076923,66.92307692307692,6.153846153846154
E00016603,32.323232323232325,57.07070707070707,10.606060606060606
E00016606,26.060606060606062,63.63636363636363,10.303030303030303
E00016610,28.571428571428573,58.64661654135338,12.781954887218046
E00016653,26.771653543307085,54.330708661417326,18.89763779527559
E00016655,39.86013986013986,38.46153846153846,21.678321678321677
E00016656,37.01298701298701,46.753246753246756,16.233766233766232
E00016662,27.35042735042735,60.68376068376068,11.965811965811966
E00016664,33.54037267080745,52.17391304347826,14.285714285714286
E00016631,29.285714285714285,57.142857142857146,13.571428571428571
E00016658,42.05607476635514,38.3177570093458,19.626168224299064
E00016659,43.80165289256198,43.80165289256198,12.396694214876034
E00016660,39.62264150943396,47.79874213836478,12.578616352201259
E00016663,26.174496644295303,54.36241610738255,19.463087248322147
E00016632,39.097744360902254,39.849624060150376,21.05263157894737
E00016666,39.37007874015748,49.60629921259842,11.023622047244094
E00016667,25.157232704402517,52.83018867924528,22.0125786163522
E00016669,33.6283185840708,53.982300884955755,12.389380530973451
E00016673,25.619834710743802,52.06611570247934,22.31404958677686
E00016668,47.00854700854701,42.73504273504273,10.256410256410257
E00016670,28.82882882882883,56.75675675675676,14.414414414414415
E00016671,49.333333333333336,40.0,10.666666666666666
E00016672,30.49645390070922,51.06382978723404,18.43971631205674
E00173708,40.963855421686745,39.75903614457831,19.27710843373494
E00173710,36.440677966101696,50.847457627118644,12.711864406779661
E00016661,41.32231404958678,46.28099173553719,12.396694214876034
E00173936,39.823008849557525,50.442477876106196,9.734513274336283
E00173937,35.45454545454545,48.18181818181818,16.363636363636363
E00173938,34.899328859060404,40.939597315436245,24.161073825503355
E00174035,29.702970297029704,38.613861386138616,31.683168316831683
E00016796,34.394904458598724,55.4140127388535,10.19108280254777
E00016799,28.985507246376812,47.82608695652174,23.18840579710145
E00016804,53.24074074074074,37.03703703703704,9.722222222222221
E00016805,27.536231884057973,54.34782608695652,18.115942028985508
E00016806,34.95145631067961,56.310679611650485,8.737864077669903
E00016781,35.45454545454545,56.36363636363637,8.181818181818182
E00016793,32.743362831858406,61.06194690265487,6.1946902654867255
E00016794,43.36283185840708,53.982300884955755,2.6548672566371683
E00016801,42.05607476635514,45.794392523364486,12.149532710280374
E00016803,31.683168316831683,52.475247524752476,15.841584158415841
E00016808,36.79245283018868,55.660377358490564,7.547169811320755
E00016813,38.888888888888886,45.833333333333336,15.277777777777779
E00016814,31.782945736434108,46.51162790697674,21.705426356589147
E00016815,33.027522935779814,51.37614678899082,15.596330275229358
E00016818,36.15384615384615,50.0,13.846153846153847
E00016819,37.5,46.42857142857143,16.071428571428573
E00016778,32.857142857142854,50.714285714285715,16.428571428571427
E00016788,26.495726495726494,63.24786324786325,10.256410256410257
E00016791,27.2,52.8,20.0
E00016800,33.035714285714285,52.67857142857143,14.285714285714286
E00016820,45.283018867924525,41.509433962264154,13.20754716981132
E00016823,34.42622950819672,50.0,15.573770491803279
E00016300,33.78378378378378,43.24324324324324,22.972972972972972
E00016310,18.681318681318682,63.73626373626374,17.582417582417584
E00016312,22.857142857142858,60.0,17.142857142857142
E00016343,24.087591240875913,65.69343065693431,10.218978102189782
E00016344,30.569948186528496,45.07772020725388,24.352331606217618
E00016301,32.098765432098766,56.17283950617284,11.728395061728396
E00016302,34.166666666666664,46.666666666666664,19.166666666666668
E00016316,19.327731092436974,65.54621848739495,15.126050420168067
E00016338,37.27810650887574,51.4792899408284,11.242603550295858
E00016342,25.0,59.25925925925926,15.74074074074074
E00016303,26.54320987654321,61.111111111111114,12.345679012345679
E00016304,29.487179487179485,59.61538461538461,10.897435897435898
E00016313,34.905660377358494,55.660377358490564,9.433962264150944
E00016318,32.28346456692913,55.90551181102362,11.811023622047244
E00016345,30.327868852459016,57.377049180327866,12.295081967213115
E00016307,51.204819277108435,37.34939759036145,11.44578313253012
E00016314,37.98449612403101,47.286821705426355,14.728682170542635
E00016319,46.666666666666664,45.0,8.333333333333334
E00016321,42.138364779874216,36.477987421383645,21.38364779874214
E00016322,39.285714285714285,50.595238095238095,10.119047619047619
E00016305,34.48275862068966,51.724137931034484,13.793103448275861
E00016306,48.23529411764706,40.0,11.764705882352942
E00016308,37.93103448275862,45.51724137931034,16.551724137931036
E00016315,32.98969072164948,53.09278350515464,13.917525773195877
E00016317,30.252100840336134,57.983193277310924,11.764705882352942
E00016320,28.688524590163933,54.91803278688525,16.39344262295082
E00016779,18.181818181818183,67.04545454545455,14.772727272727273
E00016789,28.47222222222222,61.80555555555556,9.722222222222221
E00016797,23.61111111111111,68.05555555555556,8.333333333333334
E00016798,28.289473684210527,61.18421052631579,10.526315789473685
E00016821,29.375,55.0,15.625
E00016780,39.1025641025641,40.38461538461539,20.512820512820515
E00016782,46.55172413793103,46.55172413793103,6.896551724137931
E00016790,53.84615384615385,35.16483516483517,10.989010989010989
E00016792,44.705882352941174,41.1764705882353,14.117647058823529
E00016795,35.96491228070175,48.24561403508772,15.789473684210526
E00016783,39.61038961038961,47.4025974025974,12.987012987012987
E00016802,34.161490683229815,52.79503105590062,13.043478260869565
E00016807,43.29896907216495,43.81443298969072,12.88659793814433
E00016809,42.67515923566879,47.13375796178344,10.19108280254777
E00016810,27.77777777777778,51.388888888888886,20.833333333333332
E00016784,45.52845528455285,39.02439024390244,15.447154471544716
E00016811,35.82089552238806,41.04477611940298,23.134328358208954
E00016812,29.914529914529915,52.99145299145299,17.094017094017094
E00016816,43.26923076923077,44.23076923076923,12.5
E00016817,26.956521739130434,55.65217391304348,17.391304347826086
E00016785,56.36363636363637,35.45454545454545,8.181818181818182
E00016786,27.551020408163264,59.183673469387756,13.26530612244898
E00016787,66.42335766423358,28.83211678832117,4.744525547445256
E00016822,34.10852713178294,50.3875968992248,15.503875968992247
E00016824,25.49019607843137,58.8235294117647,15.686274509803921
E00016445,35.15625,50.0,14.84375
E00016448,16.93548387096774,75.80645161290323,7.258064516129032
E00016452,20.338983050847457,69.49152542372882,10.169491525423728
E00016454,40.33613445378151,49.57983193277311,10.084033613445378
E00016455,37.16814159292036,49.557522123893804,13.274336283185841
E00016446,38.92215568862275,47.30538922155689,13.77245508982036
E00016453,53.333333333333336,36.666666666666664,10.0
E00016456,33.59375,52.34375,14.0625
E00016457,48.148148148148145,40.0,11.851851851851851
E00016462,46.97986577181208,43.624161073825505,9.395973154362416
E00173944,41.221374045801525,31.297709923664122,27.480916030534353
E00173945,46.26865671641791,47.014925373134325,6.7164179104477615
E00016444,22.52252252252252,69.36936936936937,8.108108108108109
E00016484,13.970588235294118,72.79411764705883,13.235294117647058
E00016485,43.58974358974359,45.2991452991453,11.11111111111111
E00016488,15.929203539823009,73.45132743362832,10.619469026548673
E00016489,20.098039215686274,72.05882352941177,7.8431372549019605
E00016443,22.48062015503876,68.21705426356588,9.30232558139535
E00016483,31.818181818181817,51.81818181818182,16.363636363636363
E00016486,14.598540145985401,74.45255474452554,10.94890510948905
E00016487,40.65040650406504,49.59349593495935,9.75609756097561
E00016491,39.166666666666664,50.833333333333336,10.0
E00016449,33.85826771653543,51.968503937007874,14.173228346456693
E00016450,48.36065573770492,42.622950819672134,9.01639344262295
E00016451,24.8062015503876,66.66666666666667,8.527131782945736
E00016490,29.770992366412212,62.595419847328245,7.633587786259542
E00016492,40.869565217391305,52.17391304347826,6.956521739130435
E00016281,31.85185185185185,54.81481481481482,13.333333333333334
E00016290,23.770491803278688,63.9344262295082,12.295081967213115
E00016292,21.49532710280374,65.42056074766356,13.08411214953271
E00016293,20.32520325203252,64.22764227642277,15.447154471544716
E00016295,28.14814814814815,55.55555555555556,16.296296296296298
E00016258,21.21212121212121,71.21212121212122,7.575757575757576
E00016259,35.38461538461539,51.53846153846154,13.076923076923077
E00016298,14.388489208633093,69.06474820143885,16.546762589928058
E00016299,24.63768115942029,59.42028985507246,15.942028985507246
E00016274,29.310344827586206,59.48275862068966,11.206896551724139
E00016276,44.0,43.333333333333336,12.666666666666666
E00016277,31.451612903225808,48.38709677419355,20.161290322580644
E00016278,20.192307692307693,61.53846153846154,18.26923076923077
E00016285,33.63636363636363,54.54545454545455,11.818181818181818
E00016256,26.446280991735538,54.54545454545455,19.00826446280992
E00016284,36.8421052631579,50.0,13.157894736842104
E00016286,25.735294117647058,61.029411764705884,13.235294117647058
E00016296,27.5,56.666666666666664,15.833333333333334
E00016297,37.68115942028985,53.6231884057971,8.695652173913043
E00016275,35.22012578616352,48.42767295597484,16.352201257861637
E00016279,22.321428571428573,61.607142857142854,16.071428571428573
E00016280,22.54901960784314,60.78431372549019,16.666666666666668
E00016283,27.40740740740741,57.03703703703704,15.555555555555555
E00016287,19.491525423728813,62.71186440677966,17.796610169491526
E00016513,26.717557251908396,67.17557251908397,6.106870229007634
E00016514,55.2,35.2,9.6
E00016515,31.782945736434108,57.36434108527132,10.852713178294573
E00016516,30.63063063063063,61.26126126126126,8.108108108108109
E00016519,39.285714285714285,53.57142857142857,7.142857142857143
E00016521,45.038167938931295,47.32824427480916,7.633587786259542
E00016493,39.75155279503105,40.37267080745342,19.875776397515526
E00016499,27.73109243697479,57.983193277310924,14.285714285714286
E00016502,29.906542056074766,57.94392523364486,12.149532710280374
E00016503,55.96330275229358,33.944954128440365,10.091743119266056
E00016507,30.097087378640776,49.51456310679612,20.388349514563107
E00016540,26.89075630252101,66.38655462184875,6.722689075630252
E00016498,26.87224669603524,61.23348017621145,11.894273127753303
E00016500,31.496062992125985,59.05511811023622,9.448818897637794
E00016505,39.743589743589745,47.43589743589744,12.820512820512821
E00016541,21.16788321167883,61.31386861313869,17.51824817518248
E00016494,41.02564102564103,49.35897435897436,9.615384615384615
E00016495,46.788990825688074,47.706422018348626,5.504587155963303
E00016501,19.463087248322147,69.12751677852349,11.409395973154362
E00016508,28.057553956834532,57.55395683453237,14.388489208633093
E00016511,24.8,65.6,9.6
E00016504,17.391304347826086,74.78260869565217,7.826086956521739
E00016506,15.037593984962406,74.43609022556392,10.526315789473685
E00016509,20.88607594936709,67.0886075949367,12.025316455696203
E00016510,16.822429906542055,73.83177570093459,9.345794392523365
E00016512,20.967741935483872,67.74193548387096,11.290322580645162
E00016750,27.586206896551722,52.58620689655172,19.82758620689655
E00016752,22.307692307692307,66.15384615384616,11.538461538461538
E00016753,23.14814814814815,68.51851851851852,8.333333333333334
E00016758,40.42553191489362,52.4822695035461,7.092198581560283
E00016763,28.03030303030303,56.81818181818182,15.151515151515152
E00016738,34.883720930232556,46.51162790697674,18.6046511627907
E00016739,26.050420168067227,65.54621848739495,8.403361344537815
E00016740,28.571428571428573,50.0,21.428571428571427
E00016749,30.708661417322833,58.267716535433074,11.023622047244094
E00016755,36.93181818181818,51.70454545454545,11.363636363636363
E00016745,25.0,53.125,21.875
E00016746,28.37837837837838,53.37837837837838,18.243243243243242
E00016751,29.921259842519685,54.330708661417326,15.748031496062993
E00016754,34.35114503816794,51.14503816793893,14.50381679389313
E00016757,32.47863247863248,53.84615384615385,13.675213675213675
E00016732,36.96969696969697,35.75757575757576,27.272727272727273
E00016735,34.21052631578947,55.26315789473684,10.526315789473685
E00016741,40.90909090909091,46.21212121212121,12.878787878787879
E00016742,36.666666666666664,50.0,13.333333333333334
E00016733,25.384615384615383,62.30769230769231,12.307692307692308
E00016734,28.8135593220339,57.6271186440678,13.559322033898304
E00016743,22.22222222222222,62.39316239316239,15.384615384615385
E00016744,27.692307692307693,56.15384615384615,16.153846153846153
E00016747,37.719298245614034,42.10526315789474,20.17543859649123
E00016261,24.369747899159663,57.142857142857146,18.48739495798319
E00016282,44.827586206896555,37.93103448275862,17.24137931034483
E00016288,36.312849162011176,47.486033519553075,16.201117318435752
E00016289,30.4,51.2,18.4
E00016294,28.09917355371901,53.71900826446281,18.181818181818183
E00016260,31.654676258992804,58.273381294964025,10.071942446043165
E00016262,41.81818181818182,49.09090909090909,9.090909090909092
E00016266,26.515151515151516,56.81818181818182,16.666666666666668
E00016267,27.45098039215686,58.8235294117647,13.72549019607843
E00016271,29.054054054054053,57.432432432432435,13.513513513513514
E00016257,19.047619047619047,55.10204081632653,25.85034013605442
E00016263,45.45454545454545,42.42424242424242,12.121212121212121
E00016265,32.795698924731184,52.68817204301075,14.516129032258064
E00016268,22.941176470588236,62.35294117647059,14.705882352941176
E00016291,46.706586826347305,38.32335329341317,14.970059880239521
E00016264,27.82608695652174,63.47826086956522,8.695652173913043
E00016269,22.4,67.2,10.4
E00016270,18.0,69.0,13.0
E00016272,28.244274809160306,52.67175572519084,19.083969465648856
E00016273,20.454545454545453,55.303030303030305,24.242424242424242
E00016930,28.703703703703702,59.72222222222222,11.574074074074074
E00016946,21.476510067114095,67.78523489932886,10.738255033557047
E00016952,40.33613445378151,45.378151260504204,14.285714285714286
E00016964,33.333333333333336,61.40350877192982,5.2631578947368425
E00016929,26.126126126126128,63.96396396396396,9.90990990990991
E00016931,21.359223300970875,66.99029126213593,11.650485436893204
