OA11CD,No cars or vans,One car or van,Two cars or vans,Three cars or vans,Four cars or vans
E00016602,27.06766917293233,56.390977443609025,15.037593984962406,0.7518796992481203,0.7518796992481203
E00016624,49.6124031007752,43.41085271317829,5.426356589147287,1.550387596899225,0.0
E00016625,35.97122302158273,54.67625899280576,9.352517985611511,0.0,0.0
E00016587,41.84782608695652,45.65217391304348,9.782608695652174,2.1739130434782608,0.5434782608695652
E00016594,36.94267515923567,52.86624203821656,8.9171974522293,1.2738853503184713,0.0
E00016605,40.331491712707184,50.828729281767956,8.287292817679559,0.5524861878453039,0.0
E00016608,41.75824175824176,47.252747252747255,9.89010989010989,0.0,1.098901098901099
E00016626,30.37037037037037,60.0,7.407407407407407,2.2222222222222223,0.0
E00016589,43.609022556390975,39.849624060150376,13.533834586466165,2.255639097744361,0.7518796992481203
E00016595,70.07874015748031,28.346456692913385,1.5748031496062993,0.0,0.0
E00016597,78.19548872180451,20.30075187969925,1.5037593984962405,0.0,0.0
E00016599,47.48201438848921,45.32374100719424,7.194244604316546,0.0,0.0
E00016601,51.07913669064748,43.884892086330936,3.597122302158273,1.4388489208633093,0.0
E00016607,53.04347826086956,39.130434782608695,7.826086956521739,0.0,0.0
E00016573,36.15384615384615,46.15384615384615,16.923076923076923,0.0,0.7692307692307693
E00016579,52.985074626865675,38.80597014925373,8.208955223880597,0.0,0.0
E00016580,47.61904761904762,48.214285714285715,3.5714285714285716,0.5952380952380952,0.0
E00016581,49.46236559139785,43.54838709677419,5.913978494623656,0.5376344086021505,0.5376344086021505
E00016582,46.111111111111114,45.55555555555556,6.111111111111111,2.2222222222222223,0.0
E00016546,60.99290780141844,34.04255319148936,4.25531914893617,0.7092198581560284,0.0
E00016547,42.073170731707314,48.170731707317074,6.7073170731707314,1.2195121951219512,1.829268292682927
E00016548,25.547445255474454,59.85401459854015,13.86861313868613,0.7299270072992701,0.0
E00016550,58.22784810126582,33.54430379746835,6.329113924050633,1.8987341772151898,0.0
E00016583,55.37190082644628,38.01652892561984,6.6115702479338845,0.0,0.0
E00016542,42.22222222222222,47.407407407407405,6.666666666666667,1.4814814814814814,2.2222222222222223
E00016552,50.70422535211268,40.84507042253521,8.450704225352112,0.0,0.0
E00016554,37.39837398373984,53.65853658536585,7.317073170731708,0.8130081300813008,0.8130081300813008
