OA11CD,Rural Urban,All categories: Tenure,Owned: Total,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Total,Social rented: Rented from council (Local Authority),Social rented: Other social rented,Private rented: Total,Private rented: Private landlord or letting agency,Private rented: Employer of a household member,Private rented: Relative or friend of household member,Private rented: Other,Living rent free
E00016166,Total,101,41,19,22,0,8,7,1,52,52,0,0,0,0
E00016167,Total,120,85,60,25,0,4,3,1,28,26,0,1,1,3
E00016171,Total,153,31,16,15,0,2,1,1,113,109,4,0,0,7
E00016174,Total,121,78,39,39,0,20,1,19,23,23,0,0,0,0
E00016204,Total,140,63,25,38,0,35,35,0,42,41,0,1,0,0
E00016206,Total,121,62,25,37,1,26,21,5,31,31,0,0,0,1
E00016160,Total,131,107,72,35,1,5,4,1,17,17,0,0,0,1
E00016183,Total,119,69,32,37,0,2,2,0,47,46,0,1,0,1
E00016185,Total,114,87,50,37,0,4,3,1,23,21,0,2,0,0
E00016191,Total,122,76,47,29,0,7,1,6,39,38,0,1,0,0
E00016195,Total,128,81,35,46,0,16,16,0,31,30,0,1,0,0
E00016197,Total,150,48,19,29,0,6,1,5,96,95,0,0,1,0
E00016161,Total,166,62,19,43,0,35,25,10,67,64,0,3,0,2
E00016190,Total,156,31,14,17,0,91,86,5,34,34,0,0,0,0
E00016192,Total,173,49,15,34,0,69,36,33,52,51,0,1,0,3
E00016193,Total,154,52,15,37,0,3,0,3,98,94,0,3,1,1
E00016194,Total,152,25,6,19,1,75,8,67,51,51,0,0,0,0
E00016196,Total,179,69,13,56,2,68,63,5,38,36,0,2,0,2
E00016905,Total,114,32,8,24,1,50,45,5,29,25,0,2,2,2
E00016907,Total,115,43,14,29,0,51,42,9,19,17,0,0,2,2
E00016908,Total,123,14,3,11,9,81,64,17,18,15,0,2,1,1
E00016910,Total,128,16,3,13,0,98,95,3,14,11,0,1,2,0
E00016912,Total,97,8,1,7,2,79,72,7,8,7,0,1,0,0
E00016909,Total,146,21,4,17,1,108,87,21,15,14,0,0,1,1
E00016911,Total,171,30,9,21,28,103,58,45,8,7,0,1,0,2
E00016913,Total,158,16,2,14,9,119,92,27,14,14,0,0,0,0
E00016914,Total,125,19,4,15,0,94,91,3,12,12,0,0,0,0
E00016896,Total,140,53,15,38,4,22,10,12,60,60,0,0,0,1
E00016898,Total,113,42,17,25,0,20,13,7,51,48,0,3,0,0
E00016900,Total,144,72,22,50,0,22,15,7,50,49,0,1,0,0
E00016901,Total,85,28,7,21,0,9,8,1,42,42,0,0,0,6
E00016904,Total,107,36,8,28,3,26,11,15,40,39,0,1,0,2
E00016906,Total,113,63,14,49,0,15,10,5,35,33,0,2,0,0
E00016883,Total,142,52,18,34,0,46,26,20,44,40,0,4,0,0
