OA11CD,Owned,Shared ownership,Social rented,Private rented,Rent free
E00173952,22.22222222222222,0.0,51.851851851851855,25.925925925925927,0.0
E00174016,42.857142857142854,2.0408163265306123,28.571428571428573,25.510204081632654,1.0204081632653061
E00174022,50.54945054945055,0.0,19.78021978021978,26.373626373626372,3.2967032967032965
E00174008,28.46153846153846,11.538461538461538,0.7692307692307693,59.23076923076923,0.0
E00174010,26.666666666666668,0.0,1.6666666666666667,71.66666666666667,0.0
E00174013,28.571428571428573,0.0,1.5873015873015872,69.84126984126983,0.0
E00174015,39.25233644859813,0.0,3.7383177570093458,57.00934579439252,0.0
E00174025,28.346456692913385,5.511811023622047,1.5748031496062993,63.77952755905512,0.7874015748031497
E00174027,44.791666666666664,0.0,0.0,54.166666666666664,1.0416666666666667
E00016178,28.925619834710744,0.0,61.15702479338843,9.917355371900827,0.0
E00016179,42.1875,0.0,37.5,20.3125,0.0
E00016180,51.515151515151516,0.0,26.515151515151516,21.96969696969697,0.0
E00016187,68.46153846153847,0.7692307692307693,10.0,20.76923076923077,0.0
E00016189,76.5625,0.0,7.8125,15.625,0.0
E00016166,40.59405940594059,0.0,7.920792079207921,51.48514851485149,0.0
E00016167,70.83333333333333,0.0,3.3333333333333335,23.333333333333332,2.5
E00016171,20.26143790849673,0.0,1.3071895424836601,73.85620915032679,4.57516339869281
E00016174,64.46280991735537,0.0,16.52892561983471,19.00826446280992,0.0
E00016204,45.0,0.0,25.0,30.0,0.0
E00016206,51.239669421487605,0.8264462809917356,21.487603305785125,25.619834710743802,0.8264462809917356
E00016160,81.6793893129771,0.7633587786259542,3.816793893129771,12.977099236641221,0.7633587786259542
E00016183,57.983193277310924,0.0,1.680672268907563,39.49579831932773,0.8403361344537815
E00016185,76.3157894736842,0.0,3.508771929824561,20.17543859649123,0.0
E00016191,62.295081967213115,0.0,5.737704918032787,31.9672131147541,0.0
E00016195,63.28125,0.0,12.5,24.21875,0.0
E00016197,32.0,0.0,4.0,64.0,0.0
E00016161,37.34939759036145,0.0,21.08433734939759,40.36144578313253,1.2048192771084338
E00016190,19.871794871794872,0.0,58.333333333333336,21.794871794871796,0.0
E00016192,28.32369942196532,0.0,39.884393063583815,30.057803468208093,1.7341040462427746
E00016193,33.76623376623377,0.0,1.948051948051948,63.63636363636363,0.6493506493506493
E00016194,16.44736842105263,0.6578947368421053,49.3421052631579,33.55263157894737,0.0
E00016196,38.547486033519554,1.1173184357541899,37.98882681564246,21.22905027932961,1.1173184357541899
E00016905,28.07017543859649,0.8771929824561403,43.85964912280702,25.43859649122807,1.7543859649122806
E00016907,37.391304347826086,0.0,44.34782608695652,16.52173913043478,1.7391304347826086
E00016908,11.382113821138212,7.317073170731708,65.85365853658537,14.634146341463415,0.8130081300813008
E00016910,12.5,0.0,76.5625,10.9375,0.0
E00016912,8.24742268041237,2.0618556701030926,81.44329896907216,8.24742268041237,0.0
E00016909,14.383561643835616,0.684931506849315,73.97260273972603,10.273972602739725,0.684931506849315
E00016911,17.54385964912281,16.374269005847953,60.23391812865497,4.678362573099415,1.1695906432748537
