"date","geography","geography code","Rural Urban","Central Heating: All categories: Type of central heating in household; measures: Value","Central Heating: Does not have central heating; measures: Value","Central Heating: Does have central heating; measures: Value","Central Heating: Occupancy rating (rooms) of -1 or less; measures: Value","Central Heating: Occupancy rating (bedrooms) of -1 or less; measures: Value","Central Heating: Average household size; measures: Value","Central Heating: Average number of rooms per household; measures: Value","Central Heating: Average number of bedrooms per household; measures: Value"
"2011","E00023386","E00023386","Total",131,0,131,10,3,2.2,5.0,2.6
"2011","E00023387","E00023387","Total",155,2,153,42,25,2.6,4.3,2.4
"2011","E00023388","E00023388","Total",170,0,170,49,25,2.3,4.0,2.1
"2011","E00023390","E00023390","Total",121,1,120,18,11,2.4,4.7,2.7
"2011","E00023392","E00023392","Total",138,5,133,31,21,2.3,4.2,2.3
"2011","E00023379","E00023379","Total",131,4,127,13,12,2.1,4.4,2.2
"2011","E00023380","E00023380","Total",121,1,120,22,8,2.3,4.3,2.3
"2011","E00023381","E00023381","Total",132,3,129,7,4,2.3,5.0,2.5
"2011","E00023394","E00023394","Total",164,1,163,23,10,2.3,4.7,2.6
"2011","E00170907","E00170907","Total",91,0,91,5,6,2.5,6.8,3.6
"2011","E00170908","E00170908","Total",131,2,129,70,10,1.6,2.7,1.5
"2011","E00170909","E00170909","Total",100,1,99,13,2,2.4,6.1,3.3
"2011","E00023382","E00023382","Total",142,2,140,54,21,2.2,3.8,2.0
"2011","E00023383","E00023383","Total",149,2,147,55,24,2.5,3.9,2.2
"2011","E00023385","E00023385","Total",148,2,146,21,11,2.1,4.0,2.0
"2011","E00023389","E00023389","Total",141,1,140,29,18,2.6,4.2,2.3
"2011","E00023391","E00023391","Total",142,1,141,31,13,2.2,3.9,2.1
"2011","E00023393","E00023393","Total",122,1,121,8,7,2.6,5.4,3.1
"2011","E00022487","E00022487","Total",140,0,140,18,6,2.8,6.2,3.4
"2011","E00022508","E00022508","Total",156,2,154,6,5,2.9,6.4,3.7
"2011","E00022509","E00022509","Total",125,1,124,4,2,2.7,6.6,3.8
"2011","E00022513","E00022513","Total",68,1,67,8,3,2.3,6.2,3.3
"2011","E00022516","E00022516","Total",118,0,118,5,3,2.9,7.0,3.7
"2011","E00022507","E00022507","Total",125,0,125,4,2,2.8,6.4,3.6
"2011","E00022510","E00022510","Total",153,3,150,10,4,2.8,5.9,3.4
"2011","E00022511","E00022511","Total",135,1,134,8,5,3.1,6.5,3.7
"2011","E00022514","E00022514","Total",125,4,121,3,1,2.8,6.3,3.6
"2011","E00022491","E00022491","Total",135,2,133,10,5,2.4,5.0,2.8
"2011","E00022518","E00022518","Total",102,3,99,9,1,2.9,7.0,3.8
"2011","E00022524","E00022524","Total",133,9,124,30,11,2.0,4.4,2.2
"2011","E00022525","E00022525","Total",125,5,120,15,9,2.7,6.4,3.4
"2011","E00022527","E00022527","Total",118,2,116,21,4,2.7,6.1,3.3
"2011","E00022861","E00022861","Total",63,0,63,0,0,3.1,7.3,4.2
"2011","E00022898","E00022898","Total",162,6,156,31,14,2.3,5.0,2.7
"2011","E00022899","E00022899","Total",41,1,40,6,2,1.3,3.3,1.3
"2011","E00022900","E00022900","Total",101,0,101,1,1,2.3,6.0,2.9
"2011","E00022901","E00022901","Total",114,0,114,18,11,2.4,4.7,2.4
"2011","E00022902","E00022902","Total",89,1,88,71,62,2.6,3.0,1.4
"2011","E00022908","E00022908","Total",108,1,107,4,2,2.9,6.6,3.8
"2011","E00022930","E00022930","Total",115,1,114,8,5,2.7,5.7,3.2
"2011","E00022934","E00022934","Total",125,6,119,3,3,2.9,6.3,3.6
"2011","E00022941","E00022941","Total",124,1,123,10,5,2.9,6.1,3.5
"2011","E00022943","E00022943","Total",115,3,112,26,7,2.8,5.6,3.2
"2011","E00022581","E00022581","Total",154,7,147,39,11,2.0,3.8,2.0
"2011","E00022612","E00022612","Total",164,4,160,42,18,2.0,3.8,1.9
"2011","E00022613","E00022613","Total",143,0,143,22,7,2.0,3.8,1.9
"2011","E00022614","E00022614","Total",132,5,127,14,12,2.3,4.6,2.3
"2011","E00022615","E00022615","Total",169,7,162,41,12,2.6,4.4,2.4
"2011","E00022699","E00022699","Total",147,6,141,30,10,1.8,3.6,1.7
"2011","E00022700","E00022700","Total",134,9,125,24,14,2.0,3.7,1.8
"2011","E00022704","E00022704","Total",112,3,109,12,13,2.4,4.5,2.3
"2011","E00022706","E00022706","Total",145,6,139,37,17,2.3,4.0,2.3
"2011","E00022707","E00022707","Total",142,3,139,27,15,2.4,4.4,2.4
"2011","E00022708","E00022708","Total",153,2,151,43,31,2.5,4.1,2.3
"2011","E00023149","E00023149","Total",130,2,128,55,44,2.5,3.8,1.9
"2011","E00023151","E00023151","Total",84,1,83,24,24,2.7,4.1,2.0
"2011","E00023152","E00023152","Total",164,0,164,57,35,2.5,3.9,2.0
"2011","E00023153","E00023153","Total",153,2,151,50,30,2.5,3.9,2.0
"2011","E00170917","E00170917","Total",123,2,121,91,11,1.7,2.5,1.3
"2011","E00170918","E00170918","Total",124,5,119,69,11,2.1,3.0,1.8
"2011","E00170919","E00170919","Total",115,11,104,43,10,2.2,3.8,2.0
"2011","E00023139","E00023139","Total",230,4,226,50,17,2.2,4.2,2.2
"2011","E00023155","E00023155","Total",109,5,104,15,8,2.0,4.3,2.1
"2011","E00023156","E00023156","Total",112,6,106,22,16,2.5,4.4,2.3
"2011","E00023157","E00023157","Total",114,3,111,14,7,2.0,4.4,2.1
"2011","E00023158","E00023158","Total",167,4,163,41,20,2.6,4.3,2.4
"2011","E00170920","E00170920","Total",117,1,116,19,12,2.6,4.4,2.4
"2011","E00170921","E00170921","Total",157,0,157,72,9,1.7,2.9,1.6
"2011","E00022616","E00022616","Total",123,2,121,20,6,2.5,4.3,2.2
"2011","E00022618","E00022618","Total",111,1,110,8,4,2.4,4.6,2.4
"2011","E00022619","E00022619","Total",168,6,162,30,6,2.0,4.0,2.1
"2011","E00022620","E00022620","Total",129,0,129,9,2,2.2,4.7,2.4
"2011","E00022621","E00022621","Total",134,4,130,15,9,2.1,4.2,2.1
"2011","E00170914","E00170914","Total",64,3,61,9,3,2.0,4.0,2.1
"2011","E00170915","E00170915","Total",74,6,68,12,8,1.9,3.7,1.8
"2011","E00022697","E00022697","Total",117,2,115,13,3,2.5,5.4,3.0
"2011","E00022701","E00022701","Total",117,3,114,9,3,2.5,5.7,3.0
"2011","E00022702","E00022702","Total",119,0,119,12,4,2.2,4.7,2.5
"2011","E00022703","E00022703","Total",133,4,129,15,8,2.5,5.0,2.7
"2011","E00022705","E00022705","Total",132,4,128,21,9,2.3,4.7,2.5
"2011","E00023284","E00023284","Total",129,5,124,20,16,2.3,4.2,2.2
"2011","E00023313","E00023313","Total",95,6,89,11,7,2.5,5.4,2.9
"2011","E00023315","E00023315","Total",95,6,89,1,1,2.5,6.3,3.3
"2011","E00023317","E00023317","Total",111,9,102,20,9,2.1,4.0,2.1
"2011","E00023318","E00023318","Total",128,5,123,23,8,2.1,4.4,2.2
"2011","E00023319","E00023319","Total",144,1,143,9,6,2.5,5.1,2.7
"2011","E00023283","E00023283","Total",147,2,145,24,13,2.6,5.1,2.8
"2011","E00023288","E00023288","Total",121,10,111,16,7,2.6,5.3,2.9
"2011","E00023305","E00023305","Total",127,3,124,21,10,2.6,5.3,2.8
"2011","E00023314","E00023314","Total",105,2,103,7,4,3.0,7.3,4.1
"2011","E00023316","E00023316","Total",159,1,158,40,3,1.9,3.9,1.9
"2011","E00023279","E00023279","Total",130,4,126,3,2,2.7,5.7,3.2
"2011","E00023281","E00023281","Total",146,3,143,23,7,2.3,4.7,2.5
"2011","E00023282","E00023282","Total",122,4,118,16,7,2.3,4.9,2.7
"2011","E00023287","E00023287","Total",114,3,111,13,6,2.7,5.3,3.0
"2011","E00023291","E00023291","Total",200,5,195,37,14,2.2,4.4,2.3
"2011","E00023306","E00023306","Total",129,1,128,25,6,2.3,4.5,2.5
"2011","E00023307","E00023307","Total",140,3,137,5,2,2.8,6.5,3.6
"2011","E00023309","E00023309","Total",133,1,132,8,5,2.5,5.3,2.9
"2011","E00023310","E00023310","Total",115,4,111,10,4,2.4,5.1,2.9
"2011","E00023311","E00023311","Total",114,1,113,9,5,2.8,6.4,3.7
"2011","E00022635","E00022635","Total",120,6,114,20,4,2.0,4.4,2.2
"2011","E00022637","E00022637","Total",119,3,116,17,3,2.2,4.3,2.2
"2011","E00022640","E00022640","Total",126,4,122,35,11,2.1,4.1,2.1
"2011","E00022641","E00022641","Total",111,5,106,34,15,2.4,4.2,2.2
