OA11CD,No central heating,Central heating,-1 or less (rooms),-1 or less (bedrooms),Average household size,Average no of rooms,Average no of bedrooms
E00016550,3.1645569620253164,96.83544303797468,40,24,2.1,3.9,2.0
E00016583,4.132231404958677,95.86776859504133,30,11,2.3,4.5,2.3
E00016542,0.0,100.0,31,21,2.7,4.5,2.5
E00016552,0.704225352112676,99.29577464788733,40,23,2.3,3.9,2.0
E00016554,4.878048780487805,95.1219512195122,15,11,2.5,5.0,2.7
E00016555,0.0,100.0,25,13,2.5,5.2,2.6
E00016556,1.5873015873015872,98.41269841269842,25,15,2.8,5.0,2.6
E00016543,3.5714285714285716,96.42857142857143,43,21,2.1,4.0,1.9
E00016545,1.5625,98.4375,33,22,2.7,4.4,2.3
E00016549,2.985074626865672,97.01492537313433,9,12,2.9,5.7,3.1
E00016551,2.857142857142857,97.14285714285714,7,8,3.1,6.2,3.3
E00016553,2.3076923076923075,97.6923076923077,9,9,2.8,5.7,2.8
E00016335,3.2967032967032965,96.7032967032967,6,4,2.3,5.2,2.7
E00016336,0.7352941176470589,99.26470588235294,8,11,2.6,5.2,2.8
E00016339,0.8547008547008547,99.14529914529915,7,4,2.7,5.6,3.0
E00016340,3.816793893129771,96.18320610687023,6,6,2.5,5.4,2.6
E00016341,2.608695652173913,97.3913043478261,4,2,2.6,5.6,3.1
E00016309,6.164383561643835,93.83561643835617,38,14,2.1,4.7,2.5
E00016323,4.385964912280702,95.6140350877193,22,11,2.4,4.8,2.5
E00016324,2.484472049689441,97.51552795031056,35,23,2.7,4.6,2.5
E00016325,4.929577464788732,95.07042253521126,38,14,2.1,4.1,2.2
E00016327,3.225806451612903,96.7741935483871,21,12,2.4,4.7,2.6
E00016326,2.4193548387096775,97.58064516129032,20,14,2.5,4.9,2.6
E00016329,0.6944444444444444,99.30555555555556,21,13,2.7,5.0,2.8
E00016332,4.054054054054054,95.94594594594595,13,9,2.6,5.4,3.1
E00016333,2.7027027027027026,97.29729729729729,8,9,2.5,5.1,2.7
E00016337,1.639344262295082,98.36065573770492,7,4,2.8,5.8,3.2
E00016311,5.555555555555555,94.44444444444444,6,7,2.5,5.3,2.7
E00016328,3.9682539682539684,96.03174603174604,8,5,2.1,5.1,2.4
E00016330,4.273504273504273,95.72649572649573,24,13,2.2,4.4,2.3
E00016331,1.4598540145985401,98.54014598540147,17,15,2.8,5.3,2.8
E00016334,3.067484662576687,96.93251533742331,13,10,3.0,5.5,2.9
E00016613,3.3333333333333335,96.66666666666667,9,6,2.6,6.1,3.3
E00016614,0.78125,99.21875,12,12,3.1,5.4,3.2
E00016615,4.918032786885246,95.08196721311475,15,12,2.5,5.2,2.7
E00016618,1.7241379310344827,98.27586206896552,29,19,2.3,4.1,2.1
E00016621,1.4814814814814814,98.51851851851852,29,12,1.8,3.7,1.8
E00016609,3.8461538461538463,96.15384615384616,5,5,2.8,5.6,3.0
E00016617,0.7299270072992701,99.27007299270073,8,8,2.5,5.5,2.9
E00016619,0.7352941176470589,99.26470588235294,14,7,2.3,5.2,2.7
E00016620,3.4188034188034186,96.58119658119658,8,4,2.8,5.7,3.1
E00016622,2.803738317757009,97.19626168224299,23,14,2.4,4.4,2.2
E00016588,2.4390243902439024,97.5609756097561,22,14,2.3,4.7,2.5
E00016592,2.1621621621621623,97.83783783783784,18,4,2.0,4.7,2.4
E00016604,4.716981132075472,95.28301886792453,8,6,2.0,4.7,2.4
E00016611,5.714285714285714,94.28571428571429,16,12,1.9,4.1,2.0
E00016612,1.1111111111111112,98.88888888888889,5,2,2.3,5.7,3.1
E00016616,1.7094017094017093,98.2905982905983,26,11,2.2,4.1,2.3
E00016590,2.3391812865497075,97.6608187134503,13,13,2.2,4.8,2.4
E00016591,2.3076923076923075,97.6923076923077,19,7,2.5,5.9,3.0
E00016603,2.525252525252525,97.47474747474747,26,13,2.4,5.7,2.9
E00016606,2.4242424242424243,97.57575757575758,7,3,2.4,5.5,2.9
E00016610,3.7593984962406015,96.2406015037594,11,9,2.4,5.1,2.6
E00016653,1.5748031496062993,98.4251968503937,15,13,2.3,4.9,2.6
E00016655,2.097902097902098,97.9020979020979,49,25,2.2,3.8,2.1
E00016656,5.8441558441558445,94.15584415584415,31,18,2.2,4.5,2.1
E00016662,2.5641025641025643,97.43589743589743,5,5,2.3,5.1,2.6
E00016664,3.7267080745341614,96.27329192546584,20,14,2.2,4.5,2.3
E00016631,0.7142857142857143,99.28571428571429,26,15,2.4,4.6,2.4
E00016658,5.607476635514018,94.39252336448598,46,19,2.1,3.7,1.9
E00016659,2.479338842975207,97.52066115702479,21,9,2.0,3.8,1.8
E00016660,2.5157232704402515,97.48427672955975,29,23,2.2,4.1,2.0
E00016663,2.0134228187919465,97.98657718120805,45,29,2.5,4.2,2.2
E00016632,3.007518796992481,96.99248120300751,28,25,2.4,4.5,2.1
E00016666,4.724409448818897,95.2755905511811,20,13,2.2,5.1,2.6
E00016667,5.031446540880503,94.96855345911949,46,22,2.6,4.6,2.5
E00016669,5.3097345132743365,94.69026548672566,39,24,2.5,3.9,2.0
E00016673,4.132231404958677,95.86776859504133,42,31,2.7,4.3,2.2
E00016668,5.982905982905983,94.01709401709402,22,14,2.1,4.3,2.2
E00016670,2.7027027027027026,97.29729729729729,14,11,2.5,5.1,2.7
E00016671,13.333333333333334,86.66666666666667,20,4,2.1,4.6,2.2
E00016672,2.8368794326241136,97.16312056737588,37,27,2.6,4.8,2.4
E00173708,3.6144578313253013,96.3855421686747,18,10,1.8,3.6,1.8
E00173710,0.847457627118644,99.15254237288136,24,10,2.4,4.3,2.3
E00016661,4.958677685950414,95.04132231404958,26,16,2.2,4.3,2.2
E00173936,0.8849557522123894,99.11504424778761,51,20,2.3,3.6,1.9
E00173937,3.6363636363636362,96.36363636363636,74,11,1.8,2.6,1.3
E00173938,8.053691275167786,91.94630872483222,50,22,2.0,3.5,1.7
E00174035,11.881188118811881,88.11881188118812,55,22,2.1,3.0,1.8
E00016796,1.910828025477707,98.08917197452229,51,22,2.5,4.1,2.2
E00016799,1.4492753623188406,98.55072463768116,33,24,2.8,4.8,2.5
E00016804,3.7037037037037037,96.29629629629629,60,28,2.0,3.7,1.8
E00016805,2.898550724637681,97.10144927536231,26,22,2.6,4.9,2.5
E00016806,0.0,100.0,15,15,2.5,4.7,2.3
E00016781,3.6363636363636362,96.36363636363636,18,16,2.4,4.6,2.4
E00016793,0.8849557522123894,99.11504424778761,25,21,2.4,4.3,2.1
E00016794,3.5398230088495577,96.46017699115045,34,16,2.0,3.6,1.8
E00016801,3.7383177570093458,96.26168224299066,22,13,2.2,4.5,2.4
E00016803,0.9900990099009901,99.00990099009901,22,13,2.5,4.6,2.3
E00016808,5.660377358490566,94.33962264150944,26,21,2.3,4.2,2.0
E00016813,6.944444444444445,93.05555555555556,29,14,2.1,4.4,2.2
E00016814,2.3255813953488373,97.67441860465117,30,20,2.4,4.7,2.5
E00016815,0.9174311926605505,99.08256880733946,22,17,2.6,4.8,2.4
E00016818,2.3076923076923075,97.6923076923077,27,13,2.4,4.8,2.5
E00016819,7.142857142857143,92.85714285714286,20,15,2.4,5.0,2.6
E00016778,6.428571428571429,93.57142857142857,33,17,2.6,4.4,2.3
E00016788,5.982905982905983,94.01709401709402,14,10,2.4,4.9,2.5
E00016791,6.4,93.6,38,28,2.6,4.6,2.5
E00016800,5.357142857142857,94.64285714285714,28,16,2.2,4.1,2.1
E00016820,2.830188679245283,97.16981132075472,33,19,2.2,4.1,2.1
E00016823,5.737704918032787,94.26229508196721,33,18,2.2,4.0,2.0
E00016300,3.3783783783783785,96.62162162162163,45,27,2.2,4.1,2.1
E00016310,4.395604395604396,95.6043956043956,4,4,2.7,6.0,3.1
E00016312,2.857142857142857,97.14285714285714,25,19,2.6,5.0,2.6
E00016343,1.4598540145985401,98.54014598540147,5,2,2.6,5.9,3.1
E00016344,7.253886010362694,92.74611398963731,48,31,2.3,4.4,2.4
E00016301,3.7037037037037037,96.29629629629629,15,12,2.4,5.2,2.7
E00016302,3.3333333333333335,96.66666666666667,19,15,2.3,4.8,2.4
E00016316,0.8403361344537815,99.15966386554622,10,6,2.7,5.8,3.0
E00016338,5.325443786982248,94.67455621301775,27,14,2.2,4.6,2.3
E00016342,5.555555555555555,94.44444444444444,13,7,2.7,5.2,2.8
E00016303,1.8518518518518519,98.14814814814815,16,11,2.3,5.0,2.7
E00016304,4.487179487179487,95.51282051282051,14,11,2.2,5.1,2.4
E00016313,3.7735849056603774,96.22641509433963,5,3,2.1,4.8,2.2
E00016318,6.299212598425197,93.7007874015748,5,3,2.3,5.3,2.8
E00016345,2.459016393442623,97.54098360655738,14,10,2.2,4.8,2.3
E00016307,4.216867469879518,95.78313253012048,32,16,2.0,4.0,2.0
E00016314,0.0,100.0,30,14,2.3,4.5,2.4
E00016319,0.8333333333333334,99.16666666666667,13,12,1.9,4.1,2.0
E00016321,1.8867924528301887,98.11320754716981,65,31,2.1,3.6,1.9
E00016322,1.1904761904761905,98.80952380952381,40,17,2.2,4.2,2.1
E00016305,0.8620689655172413,99.13793103448276,24,16,2.4,4.6,2.4
E00016306,0.5882352941176471,99.41176470588235,33,18,2.0,4.2,2.0
E00016308,4.827586206896552,95.17241379310344,37,18,2.2,4.2,2.1
E00016315,1.5463917525773196,98.45360824742268,49,34,2.2,4.3,2.2
E00016317,2.5210084033613445,97.47899159663865,19,12,2.4,4.9,2.5
E00016320,2.459016393442623,97.54098360655738,19,14,2.3,4.7,2.4
E00016779,10.227272727272727,89.77272727272727,23,17,3.3,4.9,2.7
E00016789,1.3888888888888888,98.61111111111111,14,10,2.6,5.6,3.0
E00016797,1.3888888888888888,98.61111111111111,16,13,2.7,5.6,2.9
E00016798,1.9736842105263157,98.02631578947368,47,28,2.8,4.3,2.3
E00016821,2.5,97.5,41,21,2.5,4.5,2.4
E00016780,1.9230769230769231,98.07692307692308,62,28,2.1,3.4,1.6
