OA11CD,Rural Urban,All categories: Household composition,One person household,One person household: Aged 65 and over,One person household: Other,One family household,One family only: All aged 65 and over,One family only: Married or same-sex civil partnership couple,One family only: Married or same-sex civil partnership couple: No children,One family only: Married or same-sex civil partnership couple: Dependent children,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Cohabiting couple,One family only: Cohabiting couple: No children,One family only: Cohabiting couple: Dependent children,One family only: Cohabiting couple: All children non-dependent,One family only: Lone parent,One family only: Lone parent: Dependent children,One family only: Lone parent: All children non-dependent,Other household types,Other household types: With dependent children,Other household types: All full-time students,Other household types: All aged 65 and over,Other household types: Other
E00016197,Total,150,76,18,58,47,4,19,9,9,1,17,13,4,0,7,6,1,27,2,1,0,24
E00016161,Total,166,69,9,60,70,6,39,19,19,1,18,14,3,1,7,4,3,27,3,0,0,24
E00016190,Total,156,105,41,64,41,5,14,5,6,3,7,5,2,0,15,10,5,10,1,1,1,7
E00016192,Total,173,96,35,61,57,2,20,9,11,0,18,15,3,0,17,14,3,20,5,0,0,15
E00016193,Total,154,95,5,90,41,0,26,14,11,1,11,7,3,1,4,3,1,18,0,2,0,16
E00016194,Total,152,87,4,83,53,1,18,13,5,0,11,8,3,0,23,18,5,12,5,1,0,6
E00016196,Total,179,77,11,66,86,1,45,13,31,1,19,9,9,1,21,20,1,16,4,1,0,11
E00016905,Total,114,27,4,23,53,0,18,3,13,2,7,3,3,1,28,19,9,34,9,1,1,23
E00016907,Total,115,28,6,22,58,0,27,7,15,5,3,2,1,0,28,20,8,29,12,1,0,16
E00016908,Total,123,66,34,32,42,4,11,4,7,0,4,1,3,0,23,19,4,15,4,0,0,11
E00016910,Total,128,48,9,39,62,1,15,3,11,1,7,4,3,0,39,30,9,18,11,1,0,6
E00016912,Total,97,35,14,21,50,1,10,2,8,0,6,1,4,1,33,25,8,12,7,0,0,5
E00016909,Total,146,41,4,37,88,2,31,5,21,5,25,2,23,0,30,23,7,17,6,0,0,11
E00016911,Total,171,59,10,49,92,3,23,6,10,7,21,3,18,0,45,34,11,20,9,0,0,11
E00016913,Total,158,36,3,33,105,0,23,1,18,4,20,1,17,2,62,48,14,17,7,0,0,10
E00016914,Total,125,37,5,32,74,1,20,2,17,1,24,3,21,0,29,19,10,14,7,1,0,6
E00016896,Total,140,44,4,40,58,2,19,7,10,2,24,21,3,0,13,10,3,38,4,2,0,32
E00016898,Total,113,25,6,19,56,1,27,6,17,4,12,10,2,0,16,13,3,32,3,2,0,27
E00016900,Total,144,46,9,37,63,1,29,7,19,3,23,18,4,1,10,7,3,35,8,3,0,24
E00016901,Total,85,16,4,12,46,1,12,6,4,2,17,6,11,0,16,12,4,23,4,1,0,18
E00016904,Total,107,26,4,22,65,1,28,9,18,1,14,7,6,1,22,16,6,16,4,0,0,12
E00016906,Total,113,31,5,26,73,1,37,18,16,3,20,14,6,0,15,11,4,9,3,0,0,6
E00016883,Total,142,45,6,39,75,2,33,8,19,6,19,11,8,0,21,14,7,22,3,2,0,17
E00016888,Total,129,41,11,30,63,3,34,8,18,8,14,6,8,0,12,8,4,25,2,1,0,22
E00016891,Total,171,57,12,45,79,0,32,14,13,5,24,18,6,0,23,12,11,35,7,3,0,25
E00016892,Total,126,31,1,30,74,2,25,9,12,4,29,23,6,0,18,10,8,21,5,4,0,12
E00016894,Total,151,46,5,41,65,0,23,11,12,0,17,14,3,0,25,17,8,40,5,2,1,32
E00016880,Total,115,21,5,16,73,1,27,6,15,6,18,10,8,0,27,17,10,21,9,0,0,12
E00016897,Total,180,60,7,53,84,1,36,13,16,7,37,30,7,0,10,3,7,36,3,3,0,30
E00016899,Total,159,61,2,59,69,1,32,15,15,2,17,14,3,0,19,16,3,29,3,0,0,26
