OA11CD,Rural Urban,Total,Part-time: Total,Part-time: 15 hours or less worked,Part-time: 16 to 30 hours worked,Full-time: Total,Full-time: 31 to 48 hours worked,Full-time: 49 or more hours worked
E00016328,Total,173,47,15,32,126,102,24
E00016330,Total,125,26,5,21,99,83,16
E00016331,Total,183,50,9,41,133,119,14
E00016334,Total,242,66,17,49,176,147,29
E00016613,Total,224,69,20,49,155,133,22
E00016614,Total,146,48,15,33,98,82,16
E00016615,Total,170,43,14,29,127,99,28
E00016618,Total,99,32,9,23,67,61,6
E00016621,Total,99,38,7,31,61,59,2
E00016609,Total,148,26,7,19,122,98,24
E00016617,Total,172,39,13,26,133,96,37
E00016619,Total,152,34,12,22,118,101,17
E00016620,Total,164,39,14,25,125,102,23
E00016622,Total,127,34,9,25,93,79,14
E00016588,Total,191,45,16,29,146,123,23
E00016592,Total,211,49,14,35,162,135,27
E00016604,Total,101,16,6,10,85,71,14
E00016611,Total,140,27,8,19,113,98,15
E00016612,Total,110,37,14,23,73,57,16
E00016616,Total,152,37,9,28,115,98,17
E00016590,Total,237,48,20,28,189,154,35
E00016591,Total,165,48,13,35,117,81,36
E00016603,Total,266,55,26,29,211,146,65
E00016606,Total,237,50,13,37,187,153,34
E00016610,Total,182,31,8,23,151,125,26
E00016653,Total,175,30,9,21,145,107,38
E00016655,Total,175,44,18,26,131,96,35
E00016656,Total,182,51,19,32,131,104,27
E00016662,Total,158,32,10,22,126,107,19
E00016664,Total,223,34,12,22,189,148,41
E00016631,Total,176,39,13,26,137,113,24
E00016658,Total,114,32,10,22,82,69,13
E00016659,Total,123,21,4,17,102,83,19
E00016660,Total,174,32,12,20,142,106,36
E00016663,Total,185,44,15,29,141,118,23
E00016632,Total,155,38,12,26,117,90,27
E00016666,Total,150,43,14,29,107,88,19
E00016667,Total,212,68,30,38,144,120,24
E00016669,Total,109,26,4,22,83,71,12
E00016673,Total,162,62,22,40,100,85,15
E00016668,Total,123,31,10,21,92,76,16
E00016670,Total,125,37,15,22,88,78,10
E00016671,Total,81,21,6,15,60,53,7
E00016672,Total,171,49,24,25,122,104,18
E00173708,Total,117,14,5,9,103,84,19
E00173710,Total,145,22,6,16,123,101,22
E00016661,Total,160,37,8,29,123,99,24
E00173936,Total,114,32,6,26,82,74,8
E00173937,Total,154,16,3,13,138,117,21
E00173938,Total,230,22,9,13,208,166,42
E00174035,Total,171,17,7,10,154,140,14
E00016796,Total,166,43,11,32,123,115,8
E00016799,Total,187,61,27,34,126,110,16
E00016804,Total,167,53,27,26,114,95,19
E00016805,Total,161,62,24,38,99,86,13
E00016806,Total,126,34,12,22,92,81,11
E00016781,Total,119,31,12,19,88,77,11
E00016793,Total,120,48,19,29,72,58,14
E00016794,Total,100,27,5,22,73,64,9
E00016801,Total,117,28,15,13,89,82,7
E00016803,Total,111,21,6,15,90,83,7
E00016808,Total,98,36,14,22,62,54,8
E00016813,Total,167,44,13,31,123,107,16
E00016814,Total,153,43,11,32,110,89,21
E00016815,Total,134,37,15,22,97,77,20
E00016818,Total,140,44,23,21,96,84,12
E00016819,Total,123,37,12,25,86,73,13
E00016778,Total,171,46,17,29,125,109,16
E00016788,Total,124,38,12,26,86,78,8
E00016791,Total,143,43,14,29,100,77,23
E00016800,Total,106,36,14,22,70,63,7
E00016820,Total,109,37,19,18,72,64,8
E00016823,Total,113,30,8,22,83,74,9
E00016300,Total,190,58,16,42,132,109,23
E00016310,Total,143,44,17,27,99,81,18
E00016312,Total,199,57,22,35,142,116,26
E00016343,Total,210,52,24,28,158,121,37
E00016344,Total,277,72,26,46,205,172,33
E00016301,Total,223,42,16,26,181,133,48
E00016302,Total,147,35,15,20,112,90,22
E00016316,Total,175,40,12,28,135,109,26
E00016338,Total,228,54,13,41,174,142,32
E00016342,Total,158,41,17,24,117,97,20
E00016303,Total,215,41,6,35,174,147,27
E00016304,Total,215,36,3,33,179,137,42
E00016313,Total,143,27,9,18,116,85,31
E00016318,Total,161,30,10,20,131,102,29
E00016345,Total,154,36,13,23,118,93,25
E00016307,Total,154,42,17,25,112,97,15
E00016314,Total,119,34,8,26,85,74,11
E00016319,Total,98,23,6,17,75,63,12
E00016321,Total,158,42,21,21,116,94,22
E00016322,Total,174,37,12,25,137,117,20
E00016305,Total,135,44,16,28,91,75,16
E00016306,Total,169,43,12,31,126,108,18
E00016308,Total,157,42,11,31,115,97,18
E00016315,Total,230,46,15,31,184,153,31
E00016317,Total,152,43,10,33,109,89,20
E00016320,Total,153,40,12,28,113,102,11
E00016779,Total,122,50,12,38,72,61,11
E00016789,Total,185,49,13,36,136,115,21
E00016797,Total,208,54,19,35,154,131,23
E00016798,Total,173,36,13,23,137,117,20
E00016821,Total,191,50,10,40,141,119,22
E00016780,Total,184,61,10,51,123,108,15
E00016782,Total,199,52,16,36,147,133,14
E00016790,Total,76,23,9,14,53,45,8
E00016792,Total,170,42,10,32,128,110,18
E00016795,Total,143,44,18,26,99,83,16
E00016783,Total,181,52,15,37,129,104,25
E00016802,Total,193,68,18,50,125,106,19
E00016807,Total,219,73,27,46,146,127,19
E00016809,Total,182,42,18,24,140,115,25
E00016810,Total,197,71,20,51,126,106,20
E00016784,Total,135,34,9,25,101,81,20
E00016811,Total,168,43,12,31,125,104,21
E00016812,Total,168,64,22,42,104,85,19
E00016816,Total,101,25,5,20,76,68,8
E00016817,Total,127,27,5,22,100,87,13
E00016785,Total,84,27,12,15,57,50,7
E00016786,Total,125,24,5,19,101,90,11
E00016787,Total,180,67,21,46,113,98,15
E00016822,Total,152,50,17,33,102,88,14
E00016824,Total,125,38,13,25,87,75,12
E00016445,Total,165,33,12,21,132,109,23
E00016448,Total,184,55,14,41,129,103,26
E00016452,Total,167,47,21,26,120,88,32
E00016454,Total,150,40,10,30,110,88,22
E00016455,Total,142,37,11,26,105,84,21
E00016446,Total,222,41,17,24,181,127,54
E00016453,Total,117,32,6,26,85,64,21
E00016456,Total,160,34,8,26,126,107,19
E00016457,Total,191,36,11,25,155,119,36
E00016462,Total,169,30,6,24,139,108,31
E00173944,Total,190,27,5,22,163,126,37
E00173945,Total,156,35,13,22,121,93,28
E00016444,Total,177,55,17,38,122,82,40
E00016484,Total,220,56,19,37,164,112,52
E00016485,Total,107,33,13,20,74,66,8
E00016488,Total,158,44,13,31,114,85,29
E00016489,Total,244,100,26,74,144,114,30
E00016443,Total,178,57,19,38,121,93,28
E00016483,Total,147,29,8,21,118,99,19
E00016486,Total,194,52,18,34,142,108,34
E00016487,Total,134,35,8,27,99,74,25
E00016491,Total,141,29,8,21,112,96,16
E00016449,Total,152,38,11,27,114,98,16
E00016450,Total,130,37,12,25,93,73,20
E00016451,Total,182,55,25,30,127,104,23
E00016490,Total,160,34,8,26,126,107,19
E00016492,Total,117,29,7,22,88,71,17
E00016281,Total,164,47,13,34,117,103,14
E00016290,Total,141,39,13,26,102,92,10
E00016292,Total,154,42,15,27,112,96,16
E00016293,Total,163,48,15,33,115,96,19
E00016295,Total,177,50,22,28,127,114,13
E00016258,Total,181,43,6,37,138,123,15
E00016259,Total,155,23,8,15,132,116,16
E00016298,Total,221,60,17,43,161,135,26
E00016299,Total,191,60,18,42,131,104,27
E00016274,Total,132,33,9,24,99,82,17
E00016276,Total,184,44,7,37,140,115,25
E00016277,Total,166,48,18,30,118,100,18
E00016278,Total,152,42,16,26,110,88,22
E00016285,Total,139,36,10,26,103,80,23
E00016256,Total,141,41,14,27,100,80,20
E00016284,Total,156,50,15,35,106,88,18
E00016286,Total,168,44,19,25,124,112,12
E00016296,Total,151,42,10,32,109,89,20
E00016297,Total,139,36,14,22,103,93,10
E00016275,Total,177,53,15,38,124,110,14
E00016279,Total,156,49,23,26,107,93,14
E00016280,Total,131,40,11,29,91,84,7
E00016283,Total,191,49,17,32,142,121,21
E00016287,Total,170,36,12,24,134,114,20
E00016513,Total,157,38,8,30,119,106,13
E00016514,Total,93,22,5,17,71,58,13
E00016515,Total,120,38,16,22,82,67,15
E00016516,Total,108,34,13,21,74,65,9
E00016519,Total,127,34,19,15,93,83,10
E00016521,Total,114,36,13,23,78,67,11
E00016493,Total,184,63,18,45,121,94,27
E00016499,Total,154,47,11,36,107,88,19
E00016502,Total,142,41,14,27,101,84,17
E00016503,Total,124,15,2,13,109,85,24
E00016507,Total,143,35,12,23,108,95,13
E00016540,Total,154,37,14,23,117,103,14
E00016498,Total,295,88,33,55,207,169,38
E00016500,Total,119,32,11,21,87,73,14
E00016505,Total,149,33,10,23,116,89,27
E00016541,Total,191,51,15,36,140,112,28
E00016494,Total,202,36,15,21,166,145,21
E00016495,Total,143,30,6,24,113,91,22
E00016501,Total,209,56,15,41,153,126,27
E00016508,Total,172,43,11,32,129,113,16
E00016511,Total,187,49,15,34,138,104,34
E00016504,Total,159,46,13,33,113,82,31
E00016506,Total,194,49,16,33,145,123,22
E00016509,Total,210,69,13,56,141,111,30
E00016510,Total,151,39,10,29,112,102,10
E00016512,Total,187,53,20,33,134,101,33
E00016750,Total,159,27,9,18,132,109,23
E00016752,Total,178,41,12,29,137,111,26
E00016753,Total,136,34,12,22,102,86,16
E00016758,Total,117,28,5,23,89,76,13
E00016763,Total,186,36,11,25,150,122,28
E00016738,Total,229,70,24,46,159,134,25
E00016739,Total,152,39,13,26,113,88,25
E00016740,Total,198,51,19,32,147,118,29
E00016749,Total,155,27,8,19,128,99,29
E00016755,Total,197,45,14,31,152,128,24
E00016745,Total,226,58,25,33,168,140,28
E00016746,Total,204,40,11,29,164,135,29
E00016751,Total,161,40,9,31,121,100,21
E00016754,Total,167,26,8,18,141,113,28
E00016757,Total,170,30,12,18,140,112,28
E00016732,Total,215,40,12,28,175,139,36
E00016735,Total,176,47,13,34,129,100,29
E00016741,Total,147,39,12,27,108,87,21
E00016742,Total,179,37,5,32,142,119,23
E00016733,Total,173,33,13,20,140,116,24
E00016734,Total,145,40,14,26,105,84,21
E00016743,Total,177,47,13,34,130,99,31
E00016744,Total,187,58,18,40,129,105,24
E00016747,Total,123,31,10,21,92,75,17
E00016261,Total,168,50,28,22,118,97,21
E00016282,Total,182,45,16,29,137,115,22
E00016288,Total,224,73,27,46,151,114,37
E00016289,Total,180,55,22,33,125,108,17
E00016294,Total,151,41,19,22,110,92,18
E00016260,Total,191,48,12,36,143,118,25
E00016262,Total,124,29,9,20,95,85,10
E00016266,Total,182,37,15,22,145,127,18
E00016267,Total,131,40,7,33,91,76,15
E00016271,Total,189,53,15,38,136,115,21
E00016257,Total,200,53,13,40,147,117,30
E00016263,Total,106,27,12,15,79,59,20
E00016265,Total,197,45,9,36,152,132,20
E00016268,Total,201,62,19,43,139,107,32
E00016291,Total,178,45,11,34,133,109,24
E00016264,Total,134,34,10,24,100,89,11
E00016269,Total,163,35,12,23,128,109,19
E00016270,Total,149,49,18,31,100,83,17
E00016272,Total,172,46,14,32,126,98,28
E00016273,Total,205,41,15,26,164,125,39
E00016930,Total,267,93,26,67,174,154,20
E00016946,Total,159,50,15,35,109,96,13
E00016952,Total,104,42,12,30,62,53,9
E00016964,Total,117,33,10,23,84,70,14
E00016929,Total,105,31,7,24,74,64,10
E00016931,Total,100,29,6,23,71,57,14
E00016932,Total,103,36,8,28,67,58,9
E00016954,Total,105,40,13,27,65,56,9
E00016961,Total,129,50,14,36,79,67,12
E00016933,Total,212,62,21,41,150,125,25
E00016953,Total,70,20,7,13,50,42,8
E00016957,Total,109,34,6,28,75,62,13
E00016960,Total,103,40,9,31,63,57,6
E00016966,Total,84,25,3,22,59,51,8
E00016940,Total,129,49,17,32,80,66,14
E00016941,Total,172,44,14,30,128,106,22
E00016942,Total,130,29,10,19,101,87,14
E00016943,Total,131,29,11,18,102,85,17
E00016944,Total,141,41,13,28,100,85,15
E00016945,Total,121,16,2,14,105,92,13
E00016728,Total,94,29,9,20,65,62,3
E00016764,Total,127,41,19,22,86,77,9
E00016766,Total,128,51,23,28,77,68,9
E00016768,Total,104,29,6,23,75,64,11
E00016772,Total,167,36,12,24,131,111,20
