OA11CD,Full-time,Part-time,Self-employed,Working student,Unemployed,Inactive
E00016562,47.58364312267658,12.267657992565056,10.780669144981413,5.5762081784386615,4.83271375464684,18.95910780669145
E00016563,39.166666666666664,10.833333333333334,11.25,7.5,6.25,25.0
E00016565,39.00709219858156,12.76595744680851,9.929078014184396,8.51063829787234,4.25531914893617,25.53191489361702
E00016544,42.745098039215684,13.333333333333334,7.8431372549019605,2.3529411764705883,3.5294117647058822,30.19607843137255
E00016574,38.34586466165413,12.781954887218046,10.526315789473685,8.646616541353383,3.3834586466165413,26.31578947368421
E00016576,48.97119341563786,9.053497942386832,11.522633744855968,6.995884773662551,4.526748971193416,18.930041152263374
E00016577,41.81818181818182,8.727272727272727,17.09090909090909,5.090909090909091,5.090909090909091,22.181818181818183
E00016578,44.4954128440367,11.46788990825688,15.596330275229358,6.422018348623853,3.669724770642202,18.34862385321101
E00016635,45.53846153846154,9.846153846153847,8.615384615384615,8.307692307692308,5.230769230769231,22.46153846153846
E00016640,36.27450980392157,7.8431372549019605,4.901960784313726,3.9215686274509802,6.862745098039215,40.19607843137255
E00016641,29.927007299270073,13.503649635036496,8.02919708029197,4.014598540145985,10.94890510948905,33.57664233576642
E00016642,33.0,13.0,6.0,8.333333333333334,5.666666666666667,34.0
E00016643,39.03508771929825,11.403508771929825,8.333333333333334,3.508771929824561,6.140350877192983,31.57894736842105
E00016630,43.66197183098591,8.450704225352112,12.32394366197183,2.816901408450704,7.746478873239437,25.0
E00016647,42.32081911262799,8.873720136518772,8.19112627986348,8.19112627986348,7.508532423208191,24.914675767918087
E00016648,44.44444444444444,11.827956989247312,9.67741935483871,6.451612903225806,7.885304659498208,19.71326164874552
E00016649,30.278884462151396,9.163346613545817,11.55378486055777,10.756972111553784,12.350597609561753,25.89641434262948
E00016651,49.46236559139785,10.394265232974911,7.885304659498208,1.4336917562724014,8.602150537634408,22.22222222222222
E00016629,33.214285714285715,14.285714285714286,4.285714285714286,2.142857142857143,10.0,36.07142857142857
E00016650,36.63793103448276,9.913793103448276,12.931034482758621,4.310344827586207,4.310344827586207,31.896551724137932
E00016652,34.48275862068966,10.344827586206897,9.770114942528735,4.597701149425287,5.747126436781609,35.05747126436781
E00016654,33.333333333333336,7.103825136612022,6.557377049180328,1.639344262295082,13.114754098360656,38.25136612021858
E00016657,35.0,14.5,3.5,2.0,10.5,34.5
E00016633,27.63819095477387,14.57286432160804,10.552763819095478,6.532663316582915,5.527638190954774,35.175879396984925
E00016636,62.926829268292686,9.268292682926829,8.292682926829269,1.951219512195122,3.902439024390244,13.658536585365853
E00016638,56.61764705882353,8.088235294117647,16.176470588235293,0.7352941176470589,2.9411764705882355,15.441176470588236
E00016639,34.25925925925926,13.271604938271604,6.481481481481482,4.62962962962963,6.172839506172839,35.18518518518518
E00016674,47.465437788018434,10.599078341013826,15.2073732718894,4.608294930875576,4.147465437788019,17.972350230414747
E00174018,61.40350877192982,7.894736842105263,9.064327485380117,6.140350877192983,5.2631578947368425,10.23391812865497
E00174019,42.96296296296296,8.148148148148149,4.444444444444445,3.7037037037037037,5.185185185185185,35.55555555555556
E00174021,56.043956043956044,7.6923076923076925,6.593406593406593,4.395604395604396,5.4945054945054945,19.78021978021978
E00016628,42.124542124542124,11.355311355311356,13.553113553113553,4.395604395604396,8.791208791208792,19.78021978021978
E00016637,42.608695652173914,10.434782608695652,9.855072463768115,4.927536231884058,6.086956521739131,26.08695652173913
E00174024,41.048034934497814,8.296943231441048,15.283842794759826,9.170305676855895,4.366812227074236,21.83406113537118
E00174029,47.48858447488585,8.67579908675799,13.698630136986301,3.1963470319634704,5.0228310502283104,21.91780821917808
E00174030,43.67816091954023,10.344827586206897,16.091954022988507,0.5747126436781609,9.195402298850574,20.114942528735632
E00016644,40.50991501416431,11.614730878186968,7.648725212464589,5.949008498583569,6.798866855524079,27.478753541076486
E00016645,40.46052631578947,14.473684210526315,9.868421052631579,2.960526315789474,5.2631578947368425,26.973684210526315
E00016646,38.11074918566775,13.355048859934854,8.143322475570033,3.583061889250814,6.840390879478828,29.96742671009772
E00016584,39.761431411530815,16.898608349900595,14.711729622266402,5.566600397614314,3.9761431411530817,19.08548707753479
E00016596,49.35622317596567,9.871244635193133,12.446351931330472,3.4334763948497855,4.721030042918455,20.17167381974249
E00016598,44.67005076142132,8.375634517766498,10.406091370558375,4.060913705583756,6.598984771573604,25.888324873096447
E00016623,58.65384615384615,11.538461538461538,8.012820512820513,6.410256410256411,4.166666666666667,11.217948717948717
E00174036,40.588235294117645,11.176470588235293,8.235294117647058,1.7647058823529411,5.294117647058823,32.94117647058823
E00174038,52.84552845528455,12.466124661246612,11.924119241192411,4.336043360433604,2.4390243902439024,15.989159891598916
E00016585,47.88732394366197,8.450704225352112,10.328638497652582,2.347417840375587,6.103286384976526,24.88262910798122
E00016593,44.07216494845361,11.082474226804123,13.144329896907216,4.123711340206185,6.443298969072165,21.1340206185567
E00016600,44.98141263940521,16.728624535315983,15.985130111524164,1.858736059479554,2.973977695167286,17.472118959107807
E00016602,51.69491525423729,12.288135593220339,16.10169491525424,0.423728813559322,3.389830508474576,16.10169491525424
E00016624,54.80769230769231,8.173076923076923,14.903846153846153,2.4038461538461537,6.25,13.461538461538462
E00016625,55.06072874493927,12.550607287449393,10.931174089068826,1.214574898785425,2.834008097165992,17.408906882591094
E00016587,39.33933933933934,10.21021021021021,9.90990990990991,4.504504504504505,7.207207207207207,28.82882882882883
E00016594,54.6875,9.765625,10.9375,0.78125,4.6875,19.140625
E00016605,49.112426035502956,11.538461538461538,6.804733727810651,5.621301775147929,7.6923076923076925,19.23076923076923
E00016608,55.828220858895705,6.748466257668712,11.656441717791411,3.6809815950920246,4.294478527607362,17.791411042944784
E00016626,47.69230769230769,13.461538461538462,9.23076923076923,1.1538461538461537,3.4615384615384617,25.0
E00016589,37.01923076923077,19.23076923076923,7.6923076923076925,0.0,5.288461538461538,30.76923076923077
E00016595,31.791907514450866,14.45086705202312,5.202312138728324,2.3121387283236996,10.404624277456648,35.83815028901734
E00016597,31.03448275862069,11.03448275862069,8.275862068965518,4.827586206896552,9.655172413793103,35.172413793103445
E00016599,39.301310043668124,10.480349344978166,11.353711790393014,4.8034934497816595,7.860262008733624,26.200873362445414
E00016601,30.901287553648068,14.163090128755364,5.579399141630901,5.150214592274678,6.008583690987124,38.197424892703864
E00016607,52.054794520547944,10.95890410958904,7.534246575342466,2.73972602739726,3.4246575342465753,23.28767123287671
E00016573,50.0,8.73015873015873,16.26984126984127,3.1746031746031744,3.9682539682539684,17.857142857142858
E00016579,40.0,8.571428571428571,13.214285714285714,1.7857142857142858,7.5,28.928571428571427
E00016580,42.121212121212125,10.303030303030303,9.696969696969697,7.2727272727272725,3.3333333333333335,27.272727272727273
E00016581,41.0958904109589,10.41095890410959,10.41095890410959,4.383561643835616,5.47945205479452,28.21917808219178
E00016582,37.26027397260274,8.219178082191782,11.232876712328768,9.04109589041096,4.383561643835616,29.863013698630137
E00016546,45.11278195488722,12.406015037593985,14.285714285714286,4.135338345864661,4.511278195488722,19.548872180451127
E00016547,44.510385756676556,16.023738872403563,10.385756676557863,5.9347181008902075,4.747774480712166,18.397626112759642
E00016548,39.76833976833977,13.127413127413128,15.444015444015443,3.861003861003861,4.2471042471042475,23.55212355212355
E00016550,45.220588235294116,15.441176470588236,9.926470588235293,5.514705882352941,3.3088235294117645,20.58823529411765
E00016583,42.71356783919598,9.547738693467336,10.050251256281408,3.0150753768844223,8.040201005025125,26.633165829145728
E00016542,36.96498054474708,12.062256809338521,11.284046692607005,5.836575875486381,8.560311284046692,25.291828793774318
E00016552,29.545454545454547,13.636363636363637,9.090909090909092,3.6363636363636362,5.909090909090909,38.18181818181818
E00016554,43.10344827586207,12.068965517241379,10.775862068965518,2.586206896551724,6.896551724137931,24.56896551724138
E00016555,29.493087557603687,11.52073732718894,6.912442396313364,3.686635944700461,6.912442396313364,41.474654377880185
E00016556,32.96296296296296,9.62962962962963,14.074074074074074,5.925925925925926,3.3333333333333335,34.074074074074076
E00016543,44.28044280442804,10.70110701107011,14.391143911439114,2.5830258302583027,4.797047970479705,23.247232472324722
E00016545,41.42259414225941,10.878661087866108,9.623430962343097,5.02092050209205,8.368200836820083,24.686192468619247
E00016549,45.12635379061372,12.274368231046932,12.635379061371841,3.9711191335740073,3.2490974729241877,22.743682310469314
E00016551,38.3177570093458,13.39563862928349,11.214953271028037,3.115264797507788,3.7383177570093458,30.218068535825545
E00016553,41.19850187265918,13.857677902621722,13.857677902621722,3.745318352059925,5.2434456928838955,22.09737827715356
E00016335,49.44444444444444,13.333333333333334,11.11111111111111,2.2222222222222223,4.444444444444445,19.444444444444443
E00016336,38.28996282527881,10.780669144981413,13.382899628252789,3.345724907063197,3.717472118959108,30.483271375464685
E00016339,41.77215189873418,11.39240506329114,18.9873417721519,3.7974683544303796,4.219409282700422,19.831223628691983
E00016340,47.808764940239044,12.350597609561753,14.342629482071713,1.9920318725099602,4.382470119521912,19.12350597609562
E00016341,44.0,11.11111111111111,14.222222222222221,3.5555555555555554,6.666666666666667,20.444444444444443
E00016309,40.08097165991903,10.526315789473685,10.931174089068826,6.0728744939271255,6.0728744939271255,26.31578947368421
E00016323,38.095238095238095,8.994708994708995,11.640211640211641,3.7037037037037037,6.349206349206349,31.21693121693122
E00016324,39.48220064724919,10.032362459546926,17.15210355987055,6.472491909385114,3.559870550161812,23.300970873786408
E00016325,43.65079365079365,13.492063492063492,13.492063492063492,2.7777777777777777,3.1746031746031744,23.41269841269841
E00016327,41.77215189873418,11.814345991561181,15.189873417721518,4.641350210970464,6.751054852320675,19.831223628691983
E00016326,48.08510638297872,8.936170212765957,11.914893617021276,4.680851063829787,3.8297872340425534,22.5531914893617
E00016329,44.13793103448276,9.655172413793103,10.344827586206897,2.7586206896551726,7.931034482758621,25.17241379310345
E00016332,34.35374149659864,14.965986394557824,12.92517006802721,2.0408163265306123,5.782312925170068,29.931972789115648
E00016333,42.99065420560748,12.616822429906541,13.551401869158878,4.672897196261682,4.672897196261682,21.49532710280374
E00016337,41.2,14.4,13.6,3.2,5.6,22.0
E00016311,43.93305439330544,12.133891213389122,14.644351464435147,2.092050209205021,5.02092050209205,22.175732217573223
E00016328,51.388888888888886,13.88888888888889,11.11111111111111,3.7037037037037037,4.166666666666667,15.74074074074074
E00016330,42.63959390862944,8.121827411167512,11.6751269035533,1.5228426395939085,5.583756345177665,30.456852791878173
E00016331,40.76655052264808,13.937282229965156,8.013937282229966,2.4390243902439024,5.923344947735192,28.9198606271777
E00016334,39.66480446927374,12.849162011173185,12.569832402234637,3.35195530726257,3.631284916201117,27.932960893854748
E00016613,40.0,15.737704918032787,14.754098360655737,3.6065573770491803,3.9344262295081966,21.9672131147541
E00016614,31.274131274131275,11.96911196911197,9.266409266409266,5.019305019305019,5.405405405405405,37.06563706563706
E00016615,41.07883817427386,13.692946058091286,14.937759336099585,1.2448132780082988,5.394190871369295,23.651452282157678
E00016618,32.947976878612714,10.404624277456648,11.560693641618498,4.624277456647399,3.468208092485549,36.994219653179194
E00016621,31.976744186046513,16.86046511627907,5.813953488372093,3.488372093023256,8.13953488372093,33.72093023255814
E00016609,50.98039215686274,8.823529411764707,11.27450980392157,1.4705882352941178,3.4313725490196076,24.019607843137255
E00016617,39.37007874015748,9.84251968503937,17.322834645669293,3.1496062992125986,3.543307086614173,26.771653543307085
E00016619,41.49377593360996,9.95850622406639,9.12863070539419,3.7344398340248963,2.4896265560165975,33.19502074688797
E00016620,43.04347826086956,10.869565217391305,13.478260869565217,3.9130434782608696,4.3478260869565215,24.347826086956523
E00016622,41.39784946236559,10.75268817204301,14.516129032258064,3.763440860215054,8.602150537634408,20.967741935483872
E00016588,42.12328767123287,9.931506849315069,11.986301369863014,2.3972602739726026,6.8493150684931505,26.71232876712329
E00016592,48.10996563573883,13.402061855670103,10.309278350515465,1.0309278350515463,3.7800687285223367,23.367697594501717
E00016604,54.411764705882355,7.352941176470588,11.764705882352942,2.2058823529411766,1.4705882352941178,22.794117647058822
E00016611,56.80473372781065,9.467455621301776,16.568047337278106,0.591715976331361,1.183431952662722,15.384615384615385
E00016612,38.1578947368421,20.394736842105264,11.18421052631579,2.6315789473684212,0.6578947368421053,26.973684210526315
E00016616,45.933014354066984,10.526315789473685,10.047846889952153,9.569377990430622,4.784688995215311,19.138755980861244
E00016590,50.98039215686274,10.457516339869281,13.72549019607843,3.2679738562091503,3.2679738562091503,18.30065359477124
E00016591,41.56378600823045,14.814814814814815,11.11111111111111,0.411522633744856,4.938271604938271,27.160493827160494
E00016603,47.4934036939314,9.234828496042216,10.817941952506596,2.9023746701846966,3.1662269129287597,26.385224274406333
E00016606,53.333333333333336,9.0,14.333333333333334,2.6666666666666665,4.0,16.666666666666668
E00016610,51.082251082251084,9.956709956709958,16.017316017316016,1.7316017316017316,3.0303030303030303,18.181818181818183
E00016653,55.06607929515418,9.251101321585903,11.013215859030836,3.9647577092511015,3.5242290748898677,17.180616740088105
E00016655,38.996138996138995,10.424710424710424,13.127413127413128,7.335907335907336,7.722007722007722,22.393822393822393
E00016656,41.98473282442748,11.068702290076336,10.687022900763358,7.633587786259542,5.7251908396946565,22.900763358778626
E00016662,50.0,9.345794392523365,10.74766355140187,5.140186915887851,3.7383177570093458,21.02803738317757
E00016664,55.830388692579504,8.12720848056537,10.954063604240282,5.30035335689046,6.360424028268551,13.42756183745583
E00016631,44.08163265306123,8.16326530612245,14.693877551020408,7.346938775510204,2.4489795918367347,23.26530612244898
E00016658,41.80790960451977,11.864406779661017,7.909604519774011,3.9548022598870056,3.9548022598870056,30.508474576271187
E00016659,48.1283422459893,10.695187165775401,5.882352941176471,1.6042780748663101,6.4171122994652405,27.272727272727273
E00016660,43.77358490566038,9.056603773584905,10.18867924528302,3.3962264150943398,4.90566037735849,28.67924528301887
E00016663,39.93174061433447,8.532423208191126,10.238907849829351,5.802047781569966,7.508532423208191,27.986348122866893
E00016632,35.43307086614173,6.299212598425197,13.779527559055119,8.26771653543307,7.874015748031496,28.346456692913385
E00016666,40.35874439461883,10.31390134529148,13.90134529147982,4.0358744394618835,6.726457399103139,24.663677130044842
E00016667,38.244514106583075,11.598746081504702,10.658307210031348,6.269592476489028,6.269592476489028,26.95924764890282
E00016669,30.58252427184466,9.223300970873787,10.679611650485437,3.883495145631068,13.106796116504855,32.52427184466019
E00016673,28.776978417266186,12.589928057553957,8.273381294964029,10.79136690647482,8.633093525179856,30.93525179856115
E00016668,44.086021505376344,11.827956989247312,8.602150537634408,2.150537634408602,4.838709677419355,28.49462365591398
E00016670,38.19095477386934,13.06532663316583,7.5376884422110555,4.0201005025125625,6.030150753768845,31.155778894472363
E00016671,37.69230769230769,13.076923076923077,8.461538461538462,3.076923076923077,3.8461538461538463,33.84615384615385
E00016672,37.634408602150536,9.31899641577061,7.885304659498208,7.885304659498208,7.885304659498208,29.39068100358423
E00173708,65.94202898550725,2.898550724637681,12.318840579710145,3.6231884057971016,2.898550724637681,12.318840579710145
E00173710,45.53191489361702,6.808510638297872,6.808510638297872,3.404255319148936,5.1063829787234045,32.340425531914896
E00016661,43.459915611814345,8.438818565400844,13.924050632911392,2.9535864978902953,2.5316455696202533,28.69198312236287
E00173936,39.884393063583815,14.45086705202312,7.514450867052023,4.046242774566474,11.560693641618498,22.54335260115607
E00173937,67.03296703296704,6.043956043956044,10.989010989010989,1.098901098901099,3.8461538461538463,10.989010989010989
E00173938,71.16104868913858,4.868913857677903,9.363295880149813,0.7490636704119851,3.745318352059925,10.112359550561798
E00174035,72.25130890052355,4.712041884816754,11.518324607329843,1.0471204188481675,5.2356020942408374,5.2356020942408374
E00016796,39.097744360902254,9.774436090225564,10.150375939849624,7.142857142857143,6.015037593984962,27.81954887218045
E00016799,37.15277777777778,13.88888888888889,7.986111111111111,6.944444444444445,6.25,27.77777777777778
E00016804,34.494773519163765,13.588850174216027,8.013937282229966,4.878048780487805,8.013937282229966,31.010452961672474
