OA11CD,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
E00016645,7.8817733990147785,29.064039408866996,20.19704433497537,9.35960591133005,6.403940886699507,10.344827586206897,7.389162561576355,1.9704433497536946,7.389162561576355
E00016646,10.471204188481675,17.277486910994764,16.75392670157068,9.424083769633508,10.471204188481675,9.424083769633508,7.329842931937173,5.2356020942408374,13.612565445026178
E00016584,12.207792207792208,28.31168831168831,20.25974025974026,9.35064935064935,6.233766233766234,6.4935064935064934,8.051948051948052,3.3766233766233764,5.714285714285714
E00016596,10.285714285714286,32.57142857142857,16.0,12.0,7.428571428571429,8.571428571428571,1.7142857142857142,2.2857142857142856,9.142857142857142
E00016598,11.787072243346008,32.69961977186312,12.927756653992395,12.167300380228136,7.604562737642586,5.7034220532319395,4.942965779467681,4.562737642585551,7.604562737642586
E00016623,18.702290076335878,29.00763358778626,19.46564885496183,10.687022900763358,3.053435114503817,6.488549618320611,5.7251908396946565,4.198473282442748,2.6717557251908395
E00174036,10.476190476190476,30.476190476190474,10.476190476190476,12.380952380952381,5.714285714285714,7.619047619047619,7.619047619047619,0.9523809523809523,14.285714285714286
E00174038,7.849829351535837,23.549488054607508,25.255972696245735,8.19112627986348,3.7542662116040955,7.849829351535837,10.238907849829351,0.0,13.310580204778157
E00016585,10.344827586206897,30.344827586206897,17.24137931034483,11.724137931034482,8.275862068965518,7.586206896551724,4.137931034482759,2.0689655172413794,8.275862068965518
E00016593,12.23021582733813,32.37410071942446,20.863309352517987,4.676258992805756,6.115107913669065,8.273381294964029,6.115107913669065,1.7985611510791366,7.553956834532374
E00016600,19.248826291079812,39.906103286384976,22.065727699530516,4.225352112676056,3.2863849765258215,3.755868544600939,1.8779342723004695,2.816901408450704,2.816901408450704
E00016602,15.343915343915343,39.682539682539684,21.164021164021165,6.349206349206349,4.761904761904762,4.761904761904762,4.232804232804233,0.5291005291005291,3.1746031746031744
E00016624,11.976047904191617,28.143712574850298,24.550898203592816,7.18562874251497,7.18562874251497,6.586826347305389,5.389221556886228,3.592814371257485,5.389221556886228
E00016625,11.73469387755102,34.183673469387756,20.918367346938776,8.16326530612245,5.612244897959184,7.142857142857143,4.081632653061225,2.0408163265306123,6.122448979591836
E00016587,13.461538461538462,28.365384615384617,20.673076923076923,10.096153846153847,1.4423076923076923,9.134615384615385,6.730769230769231,5.288461538461538,4.8076923076923075
E00016594,10.256410256410257,27.17948717948718,24.615384615384617,9.743589743589743,5.641025641025641,9.23076923076923,3.58974358974359,3.076923076923077,6.666666666666667
E00016605,10.833333333333334,26.25,15.833333333333334,12.083333333333334,7.916666666666667,6.25,6.25,2.5,12.083333333333334
E00016608,12.598425196850394,25.19685039370079,22.834645669291337,14.173228346456693,4.724409448818897,8.661417322834646,3.937007874015748,0.0,7.874015748031496
E00016626,14.516129032258064,27.956989247311828,17.204301075268816,13.978494623655914,9.13978494623656,7.526881720430108,3.225806451612903,2.150537634408602,4.301075268817204
E00016589,12.030075187969924,18.796992481203006,20.30075187969925,14.285714285714286,6.015037593984962,12.030075187969924,6.7669172932330826,2.255639097744361,7.518796992481203
E00016595,5.4945054945054945,13.186813186813186,7.6923076923076925,9.89010989010989,13.186813186813186,9.89010989010989,12.087912087912088,5.4945054945054945,23.076923076923077
E00016597,10.256410256410257,12.820512820512821,7.6923076923076925,6.410256410256411,10.256410256410257,15.384615384615385,7.6923076923076925,11.538461538461538,17.94871794871795
E00016599,5.960264900662252,28.47682119205298,19.867549668874172,9.271523178807946,8.609271523178808,5.960264900662252,8.609271523178808,3.9735099337748343,9.271523178807946
E00016601,9.375,17.96875,10.9375,7.03125,6.25,17.96875,11.71875,6.25,12.5
E00016607,11.214953271028037,26.16822429906542,12.149532710280374,16.822429906542055,8.411214953271028,13.08411214953271,3.7383177570093458,2.803738317757009,5.607476635514018
E00016573,12.755102040816327,33.673469387755105,26.020408163265305,7.653061224489796,4.591836734693878,4.081632653061225,2.0408163265306123,2.5510204081632653,6.63265306122449
E00016579,11.299435028248588,25.98870056497175,20.903954802259886,5.649717514124294,9.6045197740113,6.779661016949152,3.9548022598870056,2.2598870056497176,13.559322033898304
E00016580,10.81081081081081,29.72972972972973,12.612612612612613,11.26126126126126,8.108108108108109,8.108108108108109,5.405405405405405,3.6036036036036037,10.36036036036036
E00016581,12.033195020746888,24.481327800829874,17.012448132780083,8.298755186721992,5.394190871369295,9.95850622406639,7.053941908713693,2.4896265560165975,13.278008298755188
E00016582,8.225108225108226,21.21212121212121,22.51082251082251,9.956709956709958,9.956709956709958,8.658008658008658,7.792207792207792,1.7316017316017316,9.956709956709958
E00016546,9.5,30.0,21.0,9.5,6.0,7.5,9.0,2.5,5.0
E00016547,11.673151750972762,31.51750972762646,17.509727626459146,13.229571984435797,5.058365758754864,5.836575875486381,5.836575875486381,2.7237354085603114,6.614785992217898
E00016548,15.846994535519126,25.683060109289617,20.218579234972676,9.289617486338798,5.46448087431694,9.836065573770492,4.371584699453552,4.918032786885246,4.371584699453552
E00016550,8.292682926829269,23.414634146341463,12.195121951219512,14.634146341463415,9.75609756097561,8.78048780487805,7.804878048780488,1.951219512195122,13.170731707317072
E00016583,12.5,34.375,9.375,14.84375,9.375,3.125,7.8125,4.6875,3.90625
E00016542,9.146341463414634,18.902439024390244,12.195121951219512,13.414634146341463,7.926829268292683,10.365853658536585,8.536585365853659,9.146341463414634,10.365853658536585
E00016552,9.01639344262295,15.573770491803279,11.475409836065573,12.295081967213115,10.655737704918034,6.557377049180328,12.295081967213115,6.557377049180328,15.573770491803279
E00016554,7.006369426751593,35.031847133757964,11.464968152866241,10.828025477707007,8.280254777070065,8.9171974522293,6.369426751592357,3.1847133757961785,8.9171974522293
E00016555,10.185185185185185,13.88888888888889,4.62962962962963,10.185185185185185,13.88888888888889,17.59259259259259,8.333333333333334,7.407407407407407,13.88888888888889
E00016556,13.496932515337424,16.56441717791411,12.883435582822086,12.269938650306749,9.815950920245399,11.656441717791411,10.429447852760736,6.134969325153374,6.748466257668712
E00016543,7.216494845360825,32.47422680412371,23.195876288659793,10.309278350515465,3.6082474226804124,5.670103092783505,6.701030927835052,2.577319587628866,8.24742268041237
E00016545,10.759493670886076,25.31645569620253,9.49367088607595,16.455696202531644,4.430379746835443,15.822784810126583,3.7974683544303796,3.1645569620253164,10.759493670886076
E00016549,9.75609756097561,31.70731707317073,15.121951219512194,13.658536585365853,9.268292682926829,7.804878048780488,5.365853658536586,2.926829268292683,4.390243902439025
E00016551,14.563106796116505,31.067961165048544,13.106796116504855,11.650485436893204,6.310679611650485,6.796116504854369,2.912621359223301,5.825242718446602,7.766990291262136
E00016553,8.900523560209423,23.036649214659686,13.089005235602095,13.612565445026178,8.900523560209423,8.37696335078534,6.806282722513089,3.6649214659685865,13.612565445026178
E00016335,16.05839416058394,22.62773722627737,21.8978102189781,10.94890510948905,4.37956204379562,6.569343065693431,5.109489051094891,2.9197080291970803,9.489051094890511
E00016336,12.068965517241379,21.264367816091955,17.24137931034483,12.64367816091954,6.32183908045977,10.344827586206897,3.4482758620689653,4.022988505747127,12.64367816091954
E00016339,11.494252873563218,28.160919540229884,14.367816091954023,15.517241379310345,11.494252873563218,9.195402298850574,2.8735632183908044,2.8735632183908044,4.022988505747127
E00016340,11.052631578947368,28.42105263157895,18.42105263157895,12.631578947368421,7.368421052631579,6.315789473684211,7.368421052631579,1.5789473684210527,6.842105263157895
E00016341,10.365853658536585,27.4390243902439,19.51219512195122,10.975609756097562,4.878048780487805,6.097560975609756,9.75609756097561,4.878048780487805,6.097560975609756
E00016309,9.316770186335404,35.40372670807454,21.11801242236025,8.695652173913043,2.484472049689441,9.316770186335404,3.1055900621118013,2.484472049689441,8.074534161490684
E00016323,4.310344827586207,19.82758620689655,31.03448275862069,10.344827586206897,6.896551724137931,9.482758620689655,6.896551724137931,4.310344827586207,6.896551724137931
E00016324,7.174887892376682,28.251121076233183,16.143497757847534,13.452914798206278,8.071748878923767,6.726457399103139,6.726457399103139,4.484304932735426,8.968609865470851
E00016325,7.103825136612022,21.311475409836067,19.672131147540984,10.92896174863388,15.846994535519126,6.0109289617486334,6.557377049180328,6.0109289617486334,6.557377049180328
E00016327,12.280701754385966,22.80701754385965,21.637426900584796,9.35672514619883,6.432748538011696,8.771929824561404,4.678362573099415,2.9239766081871346,11.11111111111111
