OA11CD,Total,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,8. Process plant and machine operatives,9. Elementary occupations
E00016790,76,6,20,10,8,5,7,8,0,12
E00016792,170,19,22,21,22,19,19,18,6,24
E00016795,143,13,23,22,19,15,10,24,8,9
E00016783,181,15,31,28,32,19,22,10,14,10
E00016802,193,12,46,25,22,22,15,18,9,24
E00016807,219,12,26,26,15,40,49,14,10,27
E00016809,182,8,46,37,24,17,10,15,8,17
E00016810,197,16,25,29,13,23,20,26,6,39
E00016784,135,17,28,13,13,11,17,12,11,13
E00016811,168,12,29,28,21,23,18,10,8,19
E00016812,168,11,40,28,18,12,15,16,7,21
E00016816,101,10,18,13,13,14,11,8,6,8
E00016817,127,10,24,18,19,11,9,8,10,18
E00016785,84,7,18,19,4,8,9,6,2,11
E00016786,125,10,23,22,15,8,16,7,7,17
E00016787,180,8,12,19,22,12,18,25,19,45
E00016822,152,9,21,19,16,15,20,22,10,20
E00016824,125,8,28,15,17,8,17,14,7,11
E00016445,165,16,56,36,19,3,14,10,2,9
E00016448,184,21,66,30,21,16,15,7,5,3
E00016452,167,29,59,32,19,4,11,2,4,7
E00016454,150,22,65,27,9,7,7,3,4,6
E00016455,142,18,40,24,16,13,10,7,2,12
E00016446,222,29,63,68,25,10,7,2,2,16
E00016453,117,9,32,29,13,5,10,3,6,10
E00016456,160,15,51,47,13,7,9,8,2,8
E00016457,191,26,55,49,18,12,8,11,2,10
E00016462,169,16,64,41,16,7,15,3,2,5
E00173944,190,22,40,53,16,18,7,11,9,14
E00173945,156,18,53,30,15,13,9,6,2,10
E00016444,177,19,44,34,16,15,10,18,8,13
E00016484,220,37,69,53,10,12,10,13,1,15
E00016485,107,7,18,14,10,12,13,7,9,17
E00016488,158,18,60,25,17,5,8,5,4,16
E00016489,244,19,59,38,36,23,21,28,9,11
E00016443,178,19,70,37,24,4,7,10,2,5
E00016483,147,9,54,29,19,10,11,7,4,4
E00016486,194,19,54,38,24,12,16,15,7,9
E00016487,134,17,32,25,13,14,12,7,5,9
E00016491,141,5,48,27,13,10,11,12,5,10
E00016449,152,18,49,25,19,3,8,11,5,14
E00016450,130,16,34,25,15,8,15,7,2,8
E00016451,182,15,65,35,15,12,20,10,1,9
E00016490,160,18,43,35,26,10,10,4,4,10
E00016492,117,8,22,23,16,16,10,7,4,11
E00016281,164,17,29,26,24,14,16,17,7,14
