OA11CD,Rural Urban,Total,Economically active: Total,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed with employees: Part-time,Economically active: Self-employed with employees: Full-time,Economically active: Self-employed without employees: Part-time,Economically active: Self-employed without employees: Full-time,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Total,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other
E00016559,Total,273,225,33,124,0,4,5,15,22,22,48,18,14,6,5,5
E00016560,Total,302,245,23,141,2,4,4,18,14,39,57,19,18,4,4,12
E00016562,Total,269,218,33,128,0,2,8,19,13,15,51,19,12,9,8,3
E00016563,Total,240,180,26,94,2,1,4,20,15,18,60,22,13,10,4,11
E00016565,Total,282,210,36,110,0,7,13,8,12,24,72,20,26,10,9,7
E00016544,Total,255,178,34,109,0,3,5,12,9,6,77,35,20,6,11,5
E00016574,Total,266,196,34,102,0,9,4,15,9,23,70,25,13,9,13,10
E00016576,Total,243,197,22,119,1,1,11,15,11,17,46,23,12,3,6,2
E00016577,Total,275,214,24,115,1,1,17,28,14,14,61,24,20,10,2,5
E00016578,Total,218,178,25,97,0,2,11,21,8,14,40,18,10,6,3,3
E00016635,Total,325,252,32,148,2,7,6,13,17,27,73,27,11,14,12,9
E00016640,Total,204,122,16,74,0,0,3,7,14,8,82,38,10,12,12,10
E00016641,Total,274,182,37,82,5,2,6,9,30,11,92,15,29,24,16,8
E00016642,Total,300,198,39,99,1,1,7,9,17,25,102,29,22,22,16,13
E00016643,Total,228,156,26,89,1,3,6,9,14,8,72,34,11,11,10,6
E00016630,Total,284,213,24,124,1,8,7,19,22,8,71,18,12,12,18,11
E00016647,Total,293,220,26,124,1,2,6,15,22,24,73,15,25,11,13,9
E00016648,Total,279,224,33,124,2,0,6,19,22,18,55,8,19,6,14,8
E00016649,Total,251,186,23,76,0,3,10,16,31,27,65,24,13,11,12,5
E00016651,Total,279,217,29,138,0,1,1,20,24,4,62,12,19,12,11,8
E00016629,Total,280,179,40,93,1,1,4,6,28,6,101,19,25,20,28,9
E00016650,Total,232,158,23,85,1,4,6,19,10,10,74,21,9,4,25,15
E00016652,Total,174,113,18,60,1,2,5,9,10,8,61,18,15,16,7,5
E00016654,Total,183,113,13,61,0,1,2,9,24,3,70,13,15,11,14,17
E00016657,Total,200,131,29,70,1,0,3,3,21,4,69,15,15,11,23,5
E00016633,Total,199,129,29,55,0,6,5,10,11,13,70,22,26,3,14,5
E00016636,Total,205,177,19,129,0,7,5,5,8,4,28,4,8,8,3,5
E00016638,Total,136,115,11,77,1,2,8,11,4,1,21,1,3,10,1,6
E00016639,Total,324,210,43,111,0,6,1,14,20,15,114,29,25,25,23,12
E00016674,Total,217,178,23,103,0,6,9,18,9,10,39,13,11,2,3,10
E00174018,Total,342,307,27,210,0,5,3,23,18,21,35,0,24,6,3,2
E00174019,Total,135,87,11,58,0,1,0,5,7,5,48,16,12,4,8,8
