,2011 super output area - lower layer,LSOA11CD,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021
137,Lewisham 031B,E01003265,40,45,40,45,40,40,40,40,35,40,40,30,30,35,30,30,30,30,35,30,35,35,30,30,25,25,25,30,25,30,30,35,35,30,30,35,35,35,35,40,40,40,40,40,50,55,55,45,45,50,55,75,120,105,120,120,105,100,110,115,125,140,135,130,110,120,110,110,100
138,Lewisham 031C,E01003266,45,45,45,45,40,45,45,50,50,40,45,40,35,35,30,30,30,35,40,40,35,35,35,35,35,30,35,35,40,40,40,50,50,50,45,45,50,50,55,55,60,55,60,55,55,55,55,60,55,55,50,70,110,110,100,115,115,115,115,115,105,120,115,120,115,105,105,105,95
139,Lewisham 031D,E01003267,35,35,30,25,30,25,25,25,25,20,25,25,25,25,25,25,25,25,20,25,25,25,25,20,20,25,30,30,30,30,30,25,25,25,20,25,25,30,35,30,35,40,35,40,40,40,45,50,50,55,50,80,115,110,110,115,110,120,115,115,115,125,115,105,95,90,90,85,100
140,Lewisham 033A,E01003329,30,30,35,35,35,35,35,35,30,35,35,30,30,30,30,30,30,25,25,30,30,25,30,30,30,30,30,30,30,30,30,30,30,30,30,25,25,35,30,30,30,30,30,35,30,35,35,40,40,40,40,65,105,105,100,110,105,100,95,90,90,100,105,105,105,85,90,90,85
141,Lewisham 033B,E01003330,40,45,45,40,40,40,40,45,45,35,40,30,30,35,35,35,30,35,35,30,25,25,25,35,35,35,35,35,30,35,35,35,40,45,40,45,50,45,45,45,45,50,45,50,45,55,55,50,50,50,50,65,90,90,90,100,100,100,100,100,100,100,105,105,110,105,100,100,85
142,Lewisham 033C,E01003331,35,35,30,35,40,40,35,35,35,35,35,30,30,30,30,35,25,25,25,30,25,30,30,30,30,30,30,30,35,30,30,30,30,30,30,35,35,35,30,30,30,30,35,35,35,40,40,35,35,40,40,60,80,75,75,85,90,80,85,85,75,95,90,85,75,65,65,65,60
143,Lewisham 033D,E01003332,20,20,20,25,25,25,25,25,25,25,25,25,25,30,25,30,30,30,35,30,30,30,35,35,30,30,30,30,25,25,25,30,35,35,35,40,40,50,45,50,45,45,45,40,40,45,40,40,35,35,40,60,95,95,95,95,100,100,95,100,90,95,90,90,85,75,65,75,70
144,Lewisham 033E,E01003334,40,40,45,45,40,45,50,45,50,50,40,40,45,45,45,40,45,40,40,40,45,40,40,40,45,40,40,40,40,40,35,40,35,35,35,40,40,50,45,55,55,55,55,50,50,50,50,50,45,55,55,70,120,110,105,105,125,125,135,120,130,135,130,125,120,110,120,115,115
145,Lewisham 034A,E01003189,45,50,45,50,50,45,55,45,45,50,50,40,45,50,60,60,60,55,60,60,60,65,60,55,60,70,75,75,70,70,70,65,60,70,70,80,75,80,80,75,80,80,90,90,90,90,90,100,100,105,95,115,170,175,175,175,175,180,180,170,165,170,180,180,165,155,150,150,145
146,Lewisham 034B,E01003190,55,55,55,55,45,45,40,45,40,45,40,35,40,40,40,40,45,50,50,45,45,50,50,45,50,50,50,50,50,50,45,50,55,60,60,65,65,60,60,65,60,65,65,75,75,80,75,70,70,70,75,100,140,140,140,160,160,160,160,160,170,180,170,175,175,165,160,155,155
