,2011 super output area - lower layer,LSOA11CD,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021
60,Lewisham 014C,E01003275,15,20,15,15,15,20,20,20,20,25,20,20,20,20,15,15,20,20,15,20,15,15,20,20,20,20,20,15,15,15,20,20,20,25,25,25,25,25,25,25,25,30,30,30,30,35,35,30,35,35,35,45,65,60,65,65,65,75,70,70,70,75,80,75,70,75,75,65,70
61,Lewisham 014D,E01003276,15,20,20,15,20,10,15,15,10,15,20,15,15,15,15,15,20,15,15,15,15,15,15,15,10,15,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,15,20,20,20,20,20,20,30,45,45,45,50,55,50,50,55,55,50,50,45,45,45,40,45,35
62,Lewisham 015A,E01003225,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,5,5,5,10,10,10,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,5,0,0,0,0,0,5,5,5,5,5,5,5,10,25,25,25,25,25,20,25,25,25,20,25,25,25,20,20,20,25
63,Lewisham 015B,E01003231,15,15,20,15,20,15,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,15,15,20,15,10,15,15,10,15,15,15,10,15,15,20,20,20,20,20,20,20,25,20,20,20,20,30,50,50,50,55,50,45,55,50,55,60,65,65,65,60,55,50,50
64,Lewisham 015C,E01003232,15,10,10,10,10,10,15,15,10,15,15,10,5,5,10,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,5,0,5,5,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,35,50,55,50,50,50,50,55,45,50,60,55,50,40,40,30,30,30
65,Lewisham 015D,E01003233,10,10,5,5,5,10,10,10,10,10,10,5,5,5,10,10,10,10,10,10,10,5,10,10,10,5,10,10,10,10,5,5,10,15,15,10,15,15,15,15,15,15,15,15,15,20,15,10,15,10,10,25,45,45,45,50,55,50,45,50,45,45,45,45,40,40,35,40,35
66,Lewisham 016A,E01003280,10,10,10,10,10,10,15,15,15,10,10,15,15,15,15,15,15,20,20,20,15,15,20,15,15,15,15,15,15,15,15,10,15,15,15,15,15,15,10,10,15,15,20,15,15,15,15,15,15,20,20,35,60,50,55,50,50,45,50,50,60,60,60,60,60,60,50,50,50
67,Lewisham 016B,E01003281,5,5,10,10,10,10,10,10,10,10,15,15,10,10,10,10,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,5,5,5,5,0,0,5,5,5,5,5,5,5,5,10,20,25,25,25,30,35,30,30,35,30,30,35,30,30,30,25,25
68,Lewisham 016C,E01003285,10,15,10,10,10,10,10,10,10,10,10,10,15,10,10,10,10,10,10,10,15,10,15,15,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,10,10,15,15,15,15,15,15,10,10,10,10,30,55,55,55,55,55,50,45,50,50,60,60,60,60,55,50,50,50
69,Lewisham 016D,E01003287,10,10,10,10,10,10,10,10,10,10,10,10,5,10,5,5,10,15,15,15,15,15,15,15,15,10,10,10,10,10,15,10,10,10,10,5,5,10,5,5,5,5,5,5,10,10,10,10,5,5,5,25,35,25,25,40,35,35,35,40,40,40,40,40,30,30,30,30,25
70,Lewisham 017A,E01003292,15,15,15,10,10,10,10,5,10,10,10,10,10,10,10,10,15,15,15,15,15,15,20,15,15,15,15,15,15,20,15,15,15,15,15,15,15,15,15,10,15,15,15,15,15,20,15,15,15,15,15,35,50,45,45,50,55,50,55,50,50,60,55,55,55,50,45,45,40
71,Lewisham 017B,E01003293,25,20,20,20,20,20,15,15,15,15,15,20,20,20,20,20,20,20,20,25,20,15,15,15,15,15,15,15,15,15,15,15,15,15,10,15,15,20,20,20,30,35,35,30,30,35,35,40,40,35,35,55,70,70,75,65,75,70,75,70,75,75,70,70,70,65,60,55,55
72,Lewisham 017D,E01003295,25,20,25,25,30,25,25,25,25,25,20,25,25,30,30,30,30,30,25,25,30,30,25,25,25,25,25,30,30,30,25,25,25,25,30,35,35,35,35,35,35,35,35,35,35,40,35,35,40,35,40,55,85,75,80,85,90,90,90,85,80,85,80,85,75,70,65,60,60
73,Lewisham 017E,E01033320,15,10,10,15,10,10,15,10,15,15,15,15,15,15,15,20,15,15,10,10,10,15,15,15,15,15,15,15,15,15,15,10,10,15,15,15,15,20,15,20,25,20,20,30,25,25,25,25,25,20,20,25,45,40,45,45,50,50,55,55,65,65,70,70,70,65,60,65,65
74,Lewisham 017F,E01033322,5,5,5,5,10,10,10,10,15,15,10,10,10,10,15,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,10,15,15,15,10,10,15,15,10,15,15,20,20,20,15,10,15,20,20,20,20,25,40,40,40,40,40,35,40,45,40,50,45,45,50,40,40,35,30
75,Lewisham 018A,E01003319,20,20,20,20,20,20,20,20,20,25,25,25,25,25,20,20,20,15,20,20,20,20,20,25,20,20,20,15,15,15,15,15,15,15,15,20,20,25,25,30,30,30,25,25,30,25,30,25,25,30,30,45,80,70,75,70,60,60,65,70,70,70,70,75,75,65,75,65,55
76,Lewisham 018B,E01003320,25,25,25,25,20,20,20,15,15,15,10,15,15,15,20,25,25,20,20,20,20,15,15,15,15,20,20,20,20,20,20,20,20,20,15,15,20,25,25,25,25,30,30,30,30,35,35,30,35,35,30,35,60,65,65,65,60,65,75,65,75,75,70,70,65,65,60,55,55
77,Lewisham 018C,E01003323,20,20,20,15,15,20,20,20,15,15,10,15,15,15,15,20,15,20,20,20,15,20,20,15,15,15,20,15,15,15,10,10,10,15,15,20,20,20,15,20,15,20,20,25,25,20,20,20,20,25,20,25,35,40,40,40,40,40,40,40,45,45,40,45,35,40,45,45,40
